Noise,SigD,PSNR
1,2.25,63.9978094775
1,2.25,64.0200033319
1,2.25,63.8990020439
1,2.25,63.9714848881
1,2.25,63.994405945
1,2.25,63.8920463014
1,2.25,63.869469361
1,2.25,63.9756562509
1,2.25,63.9572707191
1,2.25,64.1367833258
1,2.25,63.8582013813
5,2.25,63.7665477883
5,2.25,63.7471889931
5,2.25,63.8487289525
5,2.25,63.8561231552
5,2.25,63.8761229186
5,2.25,63.1620794388
5,2.25,63.2957051449
5,2.25,63.6379052178
5,2.25,63.8783879273
5,2.25,63.8891051952
5,2.25,63.5275184159
5,2.25,64.0537141344
5,2.25,63.3174460467
5,2.25,63.7354564098
5,2.25,63.6880303365
10,2.25,61.9469776309
10,2.25,62.7386119336
10,2.25,63.8273511322
10,2.25,62.9154548836
10,2.25,62.7976973202
10,2.25,62.9430690115
10,2.25,63.3385334394
10,2.25,62.4263792475
10,2.25,63.6653957404
10,2.25,63.2342634453
10,2.25,63.2617348624
10,2.25,62.6720260659
10,2.25,62.7748570209
10,2.25,62.9995467
10,2.25,63.1635113524
20,2.25,60.866679621
20,2.25,60.7051955842
20,2.25,60.8851111002
20,2.25,61.0656936025
20,2.25,60.7353417953
20,2.25,61.3529041167
20,2.25,60.8974437628
20,2.25,59.7691161624
20,2.25,60.9464891651
20,2.25,61.2626741936
20,2.25,61.3546057598
20,2.25,58.0597933797
20,2.25,59.6324603223
20,2.25,59.3252651055
20,2.25,59.6912206215
30,2.25,54.3387494586
30,2.25,54.6058596285
30,2.25,55.4820258657
30,2.25,56.7802008622
30,2.25,55.1720903924
30,2.25,57.1586906217
30,2.25,58.1941739362
30,2.25,57.2370196528
30,2.25,57.7882605867
30,2.25,56.3393463765
30,2.25,55.4998874125
30,2.25,56.9597618457
30,2.25,60.4671138049
30,2.25,56.7621287473
30,2.25,59.1756697397
