Noise,SigD,PSNR
10,0.1,65.8627589053
10,0.1,66.0581336996
10,0.1,67.7319519484
10,0.1,65.2100060956
10,0.1,66.0062435306
10,1.0,69.2245159372
10,1.0,69.6742402082
10,1.0,69.6753239906
10,1.0,69.6597285402
10,1.0,69.3283576646
10,2.0,63.8422994179
10,2.0,63.3924976729
10,2.0,64.8375189508
10,2.0,64.1239005531
10,2.0,63.5876769559
10,2.25,63.2484810352
10,2.25,63.4990010348
10,2.25,63.6802194564
10,2.25,63.2068112888
10,2.25,63.2614456292
10,2.5,62.3491226198
10,2.5,61.8024028836
10,2.5,61.0860710675
10,2.5,62.0601049922
10,2.5,62.0113161584
10,2.75,61.1579022415
10,2.75,60.5370752533
10,2.75,60.9247638271
10,2.75,60.2706651663
10,2.75,59.8272708436
10,3.0,59.9083493437
10,3.0,59.8191663287
10,3.0,59.5619307285
10,3.0,60.3123465354
10,3.0,59.8674116717
10,4.0,56.790980798
10,4.0,56.9227362743
10,4.0,56.5339042083
10,4.0,56.5364790549
10,4.0,56.6392312042
20,0.1,51.9974751053
20,0.1,54.0951524184
20,0.1,54.4784128682
20,0.1,55.3290984567
20,0.1,53.0011054573
20,1.0,61.7762653634
20,1.0,60.5805423564
20,1.0,60.1102138845
20,1.0,61.9269093341
20,1.0,62.0302218286
20,2.0,61.918205437
20,2.0,58.8479680678
20,2.0,61.635947974
20,2.0,60.472817603
20,2.0,60.1916001593
20,2.25,60.6256723868
20,2.25,60.4691342617
20,2.25,60.4864546407
20,2.25,58.2400767289
20,2.25,58.4609307908
20,2.5,58.3323695029
20,2.5,59.6087129359
20,2.5,59.222129091
20,2.5,60.6587338272
20,2.5,58.9246710181
20,2.75,58.1977157129
20,2.75,57.8187487672
20,2.75,59.7866899546
20,2.75,58.920543267
20,2.75,59.5642580217
20,3.0,58.8177388903
20,3.0,57.7490998902
20,3.0,58.8776427052
20,3.0,58.4781675536
20,3.0,59.4606066668
20,4.0,56.4322056092
20,4.0,55.5436831058
20,4.0,54.9821624271
20,4.0,56.1219947081
20,4.0,55.3319430958
30,0.1,46.9544010926
30,0.1,45.6165109522
30,0.1,47.91832701
30,0.1,46.9231881707
30,0.1,47.009223679
30,1.0,54.2997579052
30,1.0,56.8671942
30,1.0,56.6346109661
30,1.0,56.5092931269
30,1.0,56.1795358521
30,2.0,57.6689592431
30,2.0,58.0550671097
30,2.0,56.5506807571
30,2.0,56.2657113525
30,2.0,56.460333667
30,2.25,58.7250577927
30,2.25,59.8100424037
30,2.25,56.0250857822
30,2.25,58.4353189339
30,2.25,57.8620813561
30,2.5,56.9118440692
30,2.5,55.3434079667
30,2.5,55.0567457764
30,2.5,58.2887771284
30,2.5,55.6009165455
30,2.75,58.7112388977
30,2.75,56.5970441497
30,2.75,57.8894715345
30,2.75,54.7864372805
30,2.75,58.4653124965
30,3.0,54.7719327875
30,3.0,54.5685407306
30,3.0,58.9662686648
30,3.0,55.5611952948
30,3.0,57.1826001773
30,4.0,55.2001167307
30,4.0,55.375284164
30,4.0,52.6471947992
30,4.0,55.8535471739
30,4.0,55.2908278408
1,0.1,112.04045315
1,0.1,113.710770721
1,0.1,112.603646269
1,0.1,111.3923217
1,0.1,111.140069252
1,1.0,74.7982051672
1,1.0,74.8441977984
1,1.0,74.7263373042
1,1.0,74.7844133931
1,1.0,74.8534635339
1,2.0,65.4790229432
1,2.0,65.4454065208
1,2.0,65.4148450799
1,2.0,65.6051156865
1,2.0,65.5446497996
1,2.25,63.9876038063
1,2.25,63.9654673339
1,2.25,63.9627829076
1,2.25,64.0477787623
1,2.25,63.9962455256
1,2.5,62.6387425632
1,2.5,62.6732870113
1,2.5,62.6715069442
1,2.5,62.6981832459
1,2.5,62.7142799429
1,2.75,61.5969283733
1,2.75,61.4704797405
1,2.75,61.5168995928
1,2.75,61.5288335806
1,2.75,61.4435591882
1,3.0,60.3981976489
1,3.0,60.3783896579
1,3.0,60.4556149298
1,3.0,60.4480019227
1,3.0,60.3296268078
1,4.0,56.7958785225
1,4.0,56.7521187752
1,4.0,56.7732154022
1,4.0,56.816012984
1,4.0,56.7499590191
5,0.1,78.7204123707
5,0.1,80.20744662
5,0.1,78.3037022751
5,0.1,80.1004453957
5,0.1,80.124520322
5,1.0,73.6364068515
5,1.0,73.2170398051
5,1.0,73.1080629714
5,1.0,72.8041453012
5,1.0,73.1304340511
5,2.0,65.471018999
5,2.0,65.1803272
5,2.0,64.8108099388
5,2.0,64.9558999373
5,2.0,65.438415721
5,2.25,63.789463779
5,2.25,63.6875578348
5,2.25,63.5973391059
5,2.25,63.6715740269
5,2.25,64.1512610947
5,2.5,62.7957659554
5,2.5,62.3780808142
5,2.5,62.6561155389
5,2.5,62.62964947
5,2.5,62.170100594
5,2.75,61.6130819219
5,2.75,61.5600992379
5,2.75,61.4414825659
5,2.75,61.3407313018
5,2.75,60.8190343181
5,3.0,60.3367622398
5,3.0,60.1626579118
5,3.0,60.4979723756
5,3.0,60.3643439133
5,3.0,60.1498526916
5,4.0,56.6548341064
5,4.0,56.6987433068
5,4.0,56.6411409774
5,4.0,56.3930911646
5,4.0,56.3794283921
1,0.1,112.875047705
1,0.1,111.373927853
1,0.1,111.953277259
1,0.1,113.100237862
1,0.1,110.819204154
1,0.1,111.565651465
1,0.1,111.771513977
1,0.1,110.02085469
1,0.1,111.402899902
1,0.1,111.834160776
1,0.1,111.151151429
1,0.1,112.176733882
1,0.1,113.588336568
1,0.1,111.128693094
1,0.1,112.556648097
1,1,74.8331011767
1,1,74.8408433294
1,1,74.8150346065
1,1,74.8314417824
1,1,74.6877082835
1,1,74.7703096556
1,1,74.7640484577
1,1,74.9274278172
1,1,74.7057690799
1,1,74.8910615525
1,1,74.7050443939
1,1,74.9272778862
1,1,74.8425181368
1,1,74.8352687013
1,1,74.7346859187
5,0.1,79.074006105
5,0.1,81.5280212413
5,0.1,77.8996409983
5,0.1,79.4534662946
5,0.1,78.4088427391
5,0.1,80.878053927
5,0.1,79.6973263373
5,0.1,80.3432855701
5,0.1,79.6742658664
5,0.1,81.7849157741
5,0.1,78.7721364893
5,0.1,79.71199941
5,0.1,80.6952182663
5,0.1,80.0720312618
5,0.1,80.0761299886
5,1,73.8857438598
5,1,72.9743112197
5,1,72.8174115262
5,1,73.3102930055
5,1,72.1600393196
5,1,72.7858429947
5,1,73.4607282833
5,1,72.8914050592
5,1,72.9015207139
5,1,73.2485806256
5,1,73.4780504868
5,1,73.3975786787
5,1,72.989296657
5,1,73.4552086413
5,1,73.7468598367
10,0.1,66.4925559527
10,0.1,65.261301868
10,0.1,66.2971121086
10,0.1,67.0087027801
10,0.1,66.7133691398
10,0.1,64.6095543497
10,0.1,66.9476228185
10,0.1,67.2604509267
10,0.1,66.7346211542
10,0.1,67.3137124903
10,0.1,66.7772773689
10,0.1,64.9364208935
10,0.1,66.1303706557
10,0.1,67.5805629915
10,0.1,66.7523875807
10,1,71.643155626
10,1,70.2159314043
10,1,68.4664412941
10,1,69.4731945116
10,1,68.9517386349
10,1,69.1140987651
10,1,69.4855920397
10,1,69.3989156658
10,1,68.8895569487
10,1,69.362073726
10,1,69.4052006634
10,1,68.8151316468
10,1,67.2742954872
10,1,68.4252630294
10,1,68.7398974155
20,0.1,54.06340889
20,0.1,54.2496634365
20,0.1,52.8329362282
20,0.1,52.185009967
20,0.1,54.4608980748
20,0.1,54.0916409605
20,0.1,51.3476274567
20,0.1,54.8693224032
20,0.1,54.044288182
20,0.1,53.2458199584
20,0.1,52.6647113805
20,0.1,54.0892465457
20,0.1,54.5471989529
20,0.1,52.4911373176
20,0.1,54.1067174755
20,1,62.184533956
20,1,62.6940841377
20,1,60.3033080295
20,1,62.1688341812
20,1,62.6237672423
20,1,61.7285817291
20,1,61.6690444884
20,1,61.9470959602
20,1,60.3559038511
20,1,63.2521769103
20,1,63.3408931464
20,1,61.7510835884
20,1,60.7415420966
20,1,62.3513496456
20,1,63.3465958616
30,0.1,46.2945480327
30,0.1,46.0798078123
30,0.1,47.969905534
30,0.1,45.8507695933
30,0.1,48.3318497523
30,0.1,46.3942030248
30,0.1,46.3332537648
30,0.1,51.4963546118
30,0.1,48.308426655
30,0.1,47.4804884995
30,0.1,44.0492811037
30,0.1,46.7476726401
30,0.1,47.5057785132
30,0.1,47.0523321321
30,0.1,47.998995293
30,1,56.6262015762
30,1,54.4180664166
30,1,55.4619374136
30,1,55.3382662757
30,1,52.8181577544
30,1,57.1446952111
30,1,57.4376679923
30,1,54.5231874644
30,1,55.501455348
30,1,55.3524841667
30,1,57.0579385831
30,1,54.4414363962
30,1,53.7508576967
30,1,55.1334010968
30,1,56.7976361017
1,2.25,63.8392657454
1,2.25,63.9731947661
1,2.25,63.9470869187
1,2.25,63.9630830022
