Noise,SigD,PSNR
30,2.75,51.984100723
1,2.25,71.8956609839
1,2.25,71.7008544987
1,2.25,71.6580387413
1,2.25,71.6369051145
1,2.25,71.4167660005
1,2.5,70.8785670095
1,2.5,70.8297780126
1,2.5,70.7109099332
1,2.5,70.9265075227
1,2.5,70.7268067129
1,2.75,70.3034484288
1,2.75,70.0516723732
1,2.75,70.1035763831
1,2.75,70.0584402657
1,2.75,70.1121615821
5,2.25,70.6472535267
5,2.25,70.4805186046
5,2.25,70.1827408187
5,2.25,70.3955920137
5,2.25,69.6798182279
5,2.5,69.676789839
5,2.5,69.3394038647
5,2.5,69.9100152149
5,2.5,69.2459775932
5,2.5,69.4626147375
5,2.75,69.4817115154
5,2.75,69.4459636714
5,2.75,69.3433988524
5,2.75,68.8762943714
5,2.75,68.7500362255
1,1,82.5882546907
1,1,82.5944254802
1,1,82.4772215211
1,1,82.711401228
1,1,82.496899852
1,1,82.3288349827
1,1,82.440348073
1,1,82.6078381495
1,1,82.5814239248
1,1,82.5695488688
1,1,82.5874892714
1,1,82.8665898244
1,1,82.4334567043
1,1,82.802518131
1,1,82.6757405066
1,4,68.119419876
1,4,68.1921427125
1,4,67.9253226407
1,4,68.0497531054
1,4,68.0756233234
1,4,67.9916533835
1,4,68.1096642641
1,4,67.9841595532
1,4,68.0423402503
1,4,68.112913328
1,4,68.0039362278
1,4,68.090774427
1,4,68.0646902279
1,4,67.9722106674
1,4,68.0180316662
5,1,76.7657279757
5,1,76.6062276959
5,1,77.4861263256
5,1,76.1559135282
5,1,76.6565476873
5,1,77.1177449048
5,1,77.3636518537
5,1,77.2542176364
5,1,77.7540964035
5,1,76.708774857
5,1,76.6763674908
5,1,76.8045648337
5,1,76.4995979055
5,1,77.309841052
5,1,77.3700699682
5,4,67.2582390619
5,4,67.4163494047
5,4,67.8336085821
5,4,67.208124839
5,4,67.8324880995
5,4,67.8111814495
5,4,67.7445912704
5,4,67.3408389007
5,4,67.0717135492
5,4,67.8442399494
5,4,66.8980517032
5,4,67.5853791165
5,4,67.5509150381
5,4,67.7920548591
5,4,67.2522751311
10,1,69.1188331998
10,1,66.7775944414
10,1,69.7721371832
10,1,70.0495323878
10,1,66.7971675072
10,1,68.5012577289
10,1,68.0763216373
10,1,69.1736930684
10,1,67.7939334505
10,1,70.6026170205
10,1,69.4142654156
10,1,68.2758686009
10,1,68.3002010382
10,1,69.1690517962
10,1,67.870626221
10,4,66.417528782
10,4,66.0708075545
10,4,66.1555143769
10,4,64.9861653053
10,4,66.8268225795
10,4,66.6038268101
10,4,66.3968059335
10,4,66.4386539078
10,4,66.2425858989
10,4,66.6457169233
10,4,66.453574862
10,4,65.2957852852
10,4,67.1352885554
10,4,66.7691530979
10,4,66.3073096529
20,1,59.1536306678
20,1,57.273986225
20,1,56.1545220946
20,1,55.7848955089
20,1,53.6872814015
20,1,55.6725843512
20,1,55.4513248525
20,1,59.3049943708
20,1,55.2000967004
20,1,57.3161965907
20,1,57.5216182387
20,1,58.1181674024
20,1,57.2919064018
20,1,55.1724220278
20,1,53.1372502429
20,4,61.3298573963
20,4,59.8313889364
20,4,62.7138749635
20,4,59.1009867341
20,4,60.9446544634
20,4,61.3683224984
20,4,60.5576063178
20,4,63.5974659763
20,4,62.9650642537
20,4,61.5726930994
20,4,62.1651213261
20,4,59.3698479463
20,4,61.7410308563
20,4,59.3296305282
20,4,61.7782286258
30,1,48.4464479764
30,1,47.0921812477
30,1,50.2680337151
30,1,46.9649236032
30,1,49.6151118199
30,1,52.1561379316
30,1,51.2638072573
30,1,47.5718314809
30,1,49.3763941906
30,1,50.2471682869
30,1,49.5455411654
30,1,52.198141992
30,1,48.6761913199
30,1,48.9571994027
30,1,47.8416403721
30,4,53.6947134407
30,4,58.3080358732
30,4,56.2313952848
30,4,56.039545029
30,4,58.6186548992
30,4,55.4286974674
30,4,54.2496094062
30,4,57.0535916357
30,4,56.4666823858
30,4,56.6339058238
30,4,56.7058217518
30,4,57.5918763988
30,4,57.1863340651
30,4,55.4260033444
30,4,57.7938129199
1,2.25,71.6739067151
1,2.25,71.642124328
1,2.25,71.7303418017
1,2.25,71.6107060396
1,2.25,71.6616326892
1,2.25,71.7619974094
1,2.25,71.5956908043
1,2.25,71.6435174025
1,2.25,71.5873038448
1,2.25,71.7254971657
1,2.25,71.6703827124
1,2.25,71.6831370731
1,2.25,71.7063220819
1,2.25,71.5749111
1,2.25,71.62383736
5,2.25,70.2955067487
5,2.25,71.1835848582
5,2.25,70.5369298101
5,2.25,70.6502024327
5,2.25,70.9147082036
5,2.25,70.447701386
5,2.25,70.0551154107
5,2.25,69.7884041758
5,2.25,70.0537410011
5,2.25,70.8946038892
5,2.25,70.834134926
5,2.25,70.541154844
5,2.25,70.1382882516
5,2.25,70.3344045428
5,2.25,70.2139677097
10,2.25,66.9782134288
10,2.25,67.471982168
10,2.25,69.203241756
10,2.25,66.6891085933
10,2.25,66.1144310614
10,2.25,68.2840104329
10,2.25,67.6958398485
10,2.25,67.9529556009
10,2.25,66.7465900781
10,2.25,68.0024858585
10,2.25,67.9958010095
10,2.25,68.0219226048
10,2.25,67.5922100575
10,2.25,67.2365474287
10,2.25,67.5418251549
20,2.25,57.4556715705
20,2.25,61.5372886778
20,2.25,59.2699125697
20,2.25,58.0286151659
20,2.25,61.1727599317
20,2.25,63.9265609123
20,2.25,57.6384057839
20,2.25,59.2771862976
20,2.25,59.6084649564
20,2.25,59.0080804804
20,2.25,60.9962149535
20,2.25,61.9957593413
20,2.25,60.4696169026
20,2.25,59.2532208449
20,2.25,60.4427539225
30,2.25,56.4187869086
30,2.25,55.0573588398
30,2.25,53.7382530498
30,2.25,52.9767423047
30,2.25,54.0133698706
30,2.25,55.1588772711
30,2.25,57.0265941117
30,2.25,54.9603170699
30,2.25,53.5946607836
30,2.25,52.0171611851
30,2.25,55.5229062309
30,2.25,53.0312723858
30,2.25,54.4975388762
30,2.25,57.0607754043
30,2.25,53.2366049757
