Noise,SigD,PSNR
10,0.1,61.181078606
10,0.1,60.6333989828
10,0.1,61.5375194051
10,0.1,59.4951525919
10,0.1,61.0468073679
10,1.0,67.5208709929
10,1.0,67.5861242955
10,1.0,69.1371987207
10,1.0,68.8676093214
10,1.0,68.8343220059
10,2.0,69.2605517191
10,2.0,67.3374729825
10,2.0,66.6842127694
10,2.0,63.7759491771
10,2.0,68.9726434736
10,3.0,67.5685272198
10,3.0,67.1251105979
10,3.0,66.8287599353
10,3.0,65.6591554642
10,3.0,67.1165598916
10,4.0,65.7380669993
10,4.0,65.4041783299
10,4.0,66.0808747113
10,4.0,66.4860459084
10,4.0,65.5478720603
20,0.1,46.6991399266
20,0.1,47.9921812773
20,0.1,46.4119313915
20,0.1,48.6567255256
20,0.1,46.0134059992
20,1.0,57.0816183703
20,1.0,55.3676151402
20,1.0,59.4045276709
20,1.0,56.0042534556
20,1.0,56.009816229
20,2.0,59.2325055713
20,2.0,59.6909783922
20,2.0,62.4328333607
20,2.0,61.8883487575
20,2.0,59.5004648626
20,3.0,59.0243273525
20,3.0,61.514516055
20,3.0,59.7328922534
20,3.0,61.2946334799
20,3.0,60.9082598568
20,4.0,61.2129083495
20,4.0,62.0245212013
20,4.0,60.618081142
20,4.0,60.7150493663
20,4.0,62.1045357849
30,0.1,40.2010220994
30,0.1,42.0576790949
30,0.1,40.6717112725
30,0.1,40.9382511158
30,0.1,39.453797782
30,1.0,50.9604919069
30,1.0,53.645707226
30,1.0,50.8350695861
30,1.0,51.1374214252
30,1.0,49.6125508245
30,2.0,55.8979578621
30,2.0,52.7450346776
30,2.0,56.8613628665
30,2.0,54.7866466031
30,2.0,55.2112883518
30,3.0,54.1824345322
30,3.0,55.8024751089
30,3.0,55.3907108624
30,3.0,56.9737416192
30,3.0,57.69806719
30,4.0,59.3199093812
30,4.0,55.6168824344
30,4.0,58.6490706922
30,4.0,55.5981623854
30,4.0,55.135904049
10,2.25,65.4948657943
10,2.25,66.1573223295
10,2.25,67.953456942
10,2.25,65.7157176981
10,2.25,67.5762889226
10,2.5,67.0012734161
10,2.5,66.7134326183
10,2.5,66.66973047
10,2.5,68.2710980561
10,2.5,68.1743452052
10,2.75,66.7931622192
10,2.75,67.2891249131
10,2.75,67.4366249008
10,2.75,66.8356292242
10,2.75,66.0155602982
20,2.25,59.7993039204
20,2.25,57.2235579074
20,2.25,63.3176953116
20,2.25,59.7846816783
20,2.25,59.3966172073
20,2.5,60.7046575521
20,2.5,61.2546273024
20,2.5,58.2148828373
20,2.5,58.1879718278
20,2.5,57.1851984573
20,2.75,59.8206423584
20,2.75,62.9116333857
20,2.75,59.3283004926
20,2.75,61.1403056847
20,2.75,61.6548921022
30,2.25,53.4292157541
30,2.25,56.4061190013
30,2.25,53.970048116
30,2.25,54.8780532444
30,2.25,52.4856413705
30,2.5,57.252908643
30,2.5,54.080953873
30,2.5,57.2927671755
30,2.5,55.1739920828
30,2.5,53.6666776199
30,2.75,54.0891757426
30,2.75,56.4360160418
30,2.75,55.0358233298
30,2.75,53.2001007634
