Noise,SigD,PSNR
10,2.25,77.9038877591
10,2.25,76.505915599
10,2.25,76.1112475252
10,2.25,76.1250767305
10,2.25,74.9785763452
10,2.25,76.7919225843
10,2.25,75.5679074531
10,2.25,75.4497340895
10,2.25,77.5258134105
10,2.25,75.1470352063
10,2.25,75.2996830913
20,2.25,65.604047869
20,2.25,62.3721148953
20,2.25,67.808429423
20,2.25,69.0840532406
20,2.25,64.4409699002
20,2.25,66.5482870233
20,2.25,66.0096152168
20,2.25,67.8828589377
20,2.25,69.2594528823
20,2.25,68.9745762343
20,2.25,68.5091751751
20,2.25,68.7220239438
20,2.25,66.0574625544
20,2.25,67.159475781
20,2.25,67.8615532545
30,2.25,61.8548232502
30,2.25,60.215290462
30,2.25,57.9788724147
30,2.25,58.4188479534
30,2.25,61.194937906
30,2.25,59.3531556014
30,2.25,57.973433232
30,2.25,57.3827755104
30,2.25,61.2151725596
30,2.25,60.4235071173
30,2.25,59.1606208879
30,2.25,62.5907978474
30,2.25,60.3057748611
30,2.25,60.4855810392
30,2.25,61.046812301
