Noise,SigD,SigI,PSNR
10,0.1,0.1,62.8748048849
10,0.1,0.1,60.3002049864
10,0.1,0.1,62.3564305565
10,0.1,0.1,61.898142569
10,0.1,0.1,61.2824705075
10,0.1,1.0,61.3258872714
10,0.1,1.0,62.1446248012
10,0.1,1.0,61.0518522637
10,0.1,1.0,62.974033558
10,0.1,1.0,61.7112438806
10,0.1,2.0,61.692800931
10,0.1,2.0,64.504496512
10,0.1,2.0,62.2997165729
10,0.1,2.0,62.2320743694
10,0.1,2.0,62.2197506875
10,0.1,3.0,62.8560577277
10,0.1,3.0,62.4612795277
10,0.1,3.0,61.4916577834
10,0.1,3.0,61.8732503988
10,0.1,3.0,61.1712781346
10,0.1,4.0,61.3794236397
10,0.1,4.0,62.5248332354
10,0.1,4.0,62.847560954
10,0.1,4.0,63.1275312614
10,0.1,4.0,62.3940789263
10,1.0,0.1,63.8696740138
10,1.0,0.1,62.8456394372
10,1.0,0.1,62.7186174456
10,1.0,0.1,62.8645359131
10,1.0,0.1,64.0409155785
10,1.0,1.0,66.4098054479
10,1.0,1.0,64.8616144429
10,1.0,1.0,67.4171883422
10,1.0,1.0,65.7575382872
10,1.0,1.0,65.6952777209
10,1.0,2.0,71.2317094814
10,1.0,2.0,70.3985288329
10,1.0,2.0,70.3668239089
10,1.0,2.0,70.0521269173
10,1.0,2.0,71.2412843615
10,1.0,3.0,72.4964728235
10,1.0,3.0,73.6049709008
10,1.0,3.0,73.4649895541
10,1.0,3.0,72.8056519874
10,1.0,3.0,71.0300717207
10,1.0,4.0,73.4294297398
10,1.0,4.0,73.4112552885
10,1.0,4.0,70.4681509966
10,1.0,4.0,71.942097804
10,1.0,4.0,71.7715278598
10,2.0,0.1,62.2599713028
10,2.0,0.1,61.3839621949
10,2.0,0.1,62.2592248436
10,2.0,0.1,61.5533731729
10,2.0,0.1,63.0792088064
10,2.0,1.0,67.7093480672
10,2.0,1.0,68.2988987079
10,2.0,1.0,67.8231019602
10,2.0,1.0,68.7858748857
10,2.0,1.0,66.7198783379
10,2.0,2.0,72.4509805492
10,2.0,2.0,79.1655978495
10,2.0,2.0,77.2834919164
10,2.0,2.0,76.7067055545
10,2.0,2.0,76.2534790207
10,2.0,3.0,82.0119781668
10,2.0,3.0,78.0546201403
10,2.0,3.0,81.1086431687
10,2.0,3.0,79.9941412856
10,2.0,3.0,78.0801844029
10,2.0,4.0,76.7616554888
10,2.0,4.0,75.5183223712
10,2.0,4.0,77.0386964281
10,2.0,4.0,80.4080660134
10,2.0,4.0,77.8547479107
10,3.0,0.1,61.5040822207
10,3.0,0.1,62.5891744554
10,3.0,0.1,61.5124580191
10,3.0,0.1,63.3030389599
10,3.0,0.1,62.3193160454
10,3.0,1.0,70.7965886734
10,3.0,1.0,66.2638779246
10,3.0,1.0,70.9095362018
10,3.0,1.0,69.414117255
10,3.0,1.0,70.5002971698
10,3.0,2.0,83.7752292966
10,3.0,2.0,76.708046519
10,3.0,2.0,77.4966253841
10,3.0,2.0,79.7538660473
10,3.0,2.0,78.8496213777
10,3.0,3.0,77.5502161664
10,3.0,3.0,75.860561037
10,3.0,3.0,78.4390233602
10,3.0,3.0,84.444469219
10,3.0,3.0,76.6754416992
10,3.0,4.0,78.8945770803
10,3.0,4.0,76.7042107212
10,3.0,4.0,77.8764743827
10,3.0,4.0,83.027118642
10,3.0,4.0,79.884306998
10,4.0,0.1,63.1705430731
10,4.0,0.1,61.8608992266
10,4.0,0.1,63.2468301948
10,4.0,0.1,63.1536459408
10,4.0,0.1,62.3090849349
10,4.0,1.0,69.0771169576
10,4.0,1.0,69.9663887736
10,4.0,1.0,69.5508532111
10,4.0,1.0,70.9872490054
10,4.0,1.0,68.3504910643
10,4.0,2.0,81.6868668564
10,4.0,2.0,81.2675477833
10,4.0,2.0,80.4421934477
10,4.0,2.0,76.0467212581
10,4.0,2.0,80.1327007439
10,4.0,3.0,82.5884151693
10,4.0,3.0,78.7769067587
10,4.0,3.0,83.5320741566
10,4.0,3.0,86.1747507711
10,4.0,3.0,77.7969248081
10,4.0,4.0,83.314506567
10,4.0,4.0,79.5955720889
10,4.0,4.0,77.8684766902
10,4.0,4.0,80.353546925
10,4.0,4.0,78.7337520118
20,0.1,0.1,49.2764485337
20,0.1,0.1,48.5189658121
20,0.1,0.1,50.3645097122
20,0.1,0.1,49.8472284252
20,0.1,0.1,50.2428527693
20,0.1,1.0,51.4165513377
20,0.1,1.0,49.8507990713
20,0.1,1.0,49.8250813267
20,0.1,1.0,50.9791709105
20,0.1,1.0,47.9661225761
20,0.1,2.0,50.1035212685
20,0.1,2.0,49.1114765588
