Noise,SigD,SigI,PSNR
1,0.1,0.1,114.578367757
1,0.1,0.1,112.679613191
1,0.1,0.1,110.701357083
1,0.1,0.1,111.149498567
1,0.1,0.1,112.074336306
1,0.1,1.0,112.225214373
1,0.1,1.0,113.329645681
1,0.1,1.0,111.631597248
1,0.1,1.0,111.660452094
1,0.1,1.0,110.882344006
1,0.1,2.0,112.08061667
1,0.1,2.0,112.636795278
1,0.1,2.0,111.289991976
1,0.1,2.0,111.519667944
1,0.1,2.0,113.295138388
1,0.1,3.0,113.66132129
1,0.1,3.0,113.696410639
1,0.1,3.0,113.614333828
1,0.1,3.0,111.74987327
1,0.1,3.0,112.449356755
1,0.1,4.0,112.000846909
1,0.1,4.0,112.416469057
1,0.1,4.0,111.583403469
1,0.1,4.0,111.731422447
1,0.1,4.0,112.799563
1,1.0,0.1,113.597920663
1,1.0,0.1,112.820982785
1,1.0,0.1,111.873967665
1,1.0,0.1,114.241457281
1,1.0,0.1,112.761058151
1,1.0,1.0,123.310644143
1,1.0,1.0,119.97198065
1,1.0,1.0,120.122219746
1,1.0,1.0,121.205863987
1,1.0,1.0,120.230134708
1,1.0,2.0,120.337980093
1,1.0,2.0,119.693499097
1,1.0,2.0,121.805085456
1,1.0,2.0,121.258469509
1,1.0,2.0,121.56474112
1,1.0,3.0,121.421450899
1,1.0,3.0,120.562014019
1,1.0,3.0,122.110113057
1,1.0,3.0,120.339594201
1,1.0,3.0,121.687937158
1,1.0,4.0,120.358795013
1,1.0,4.0,123.436140143
1,1.0,4.0,120.748774377
1,1.0,4.0,122.504278319
1,1.0,4.0,122.626999136
1,2.0,0.1,112.605736352
1,2.0,0.1,113.440078225
1,2.0,0.1,113.176754298
1,2.0,0.1,114.007977997
1,2.0,0.1,112.96743813
1,2.0,1.0,115.596046708
1,2.0,1.0,119.844120197
1,2.0,1.0,116.476621075
1,2.0,1.0,121.016926419
1,2.0,1.0,119.564755497
1,2.0,2.0,113.787220026
1,2.0,2.0,113.832570664
1,2.0,2.0,113.029975709
1,2.0,2.0,115.357486861
1,2.0,2.0,112.498683301
1,2.0,3.0,114.09667557
1,2.0,3.0,113.969314885
1,2.0,3.0,113.322680894
1,2.0,3.0,115.215736056
1,2.0,3.0,112.899425983
1,2.0,4.0,111.238915371
1,2.0,4.0,113.644462578
1,2.0,4.0,113.356721045
1,2.0,4.0,114.625358632
1,2.0,4.0,113.931187585
1,3.0,0.1,113.06753028
1,3.0,0.1,115.744510799
1,3.0,0.1,114.512583764
1,3.0,0.1,112.057929402
1,3.0,0.1,113.528621824
1,3.0,1.0,114.732241176
1,3.0,1.0,112.225185626
1,3.0,1.0,115.249597878
1,3.0,1.0,113.034236507
1,3.0,1.0,114.781017078
1,3.0,2.0,108.6840905
1,3.0,2.0,108.139544983
1,3.0,2.0,108.980152333
1,3.0,2.0,110.839341197
1,3.0,2.0,108.462377266
1,3.0,3.0,106.538834704
1,3.0,3.0,105.137694383
1,3.0,3.0,104.350359716
1,3.0,3.0,105.176827049
1,3.0,3.0,105.895622841
1,3.0,4.0,104.372330012
1,3.0,4.0,104.356587616
1,3.0,4.0,103.281778013
1,3.0,4.0,102.106365121
1,3.0,4.0,105.095504643
1,4.0,0.1,112.791018011
1,4.0,0.1,115.847624275
1,4.0,0.1,116.131997487
1,4.0,0.1,113.219238695
1,4.0,0.1,114.115159206
1,4.0,1.0,112.736208468
1,4.0,1.0,111.555294211
1,4.0,1.0,111.399198741
1,4.0,1.0,113.283826736
1,4.0,1.0,110.871897545
1,4.0,2.0,104.007650777
1,4.0,2.0,102.994434832
1,4.0,2.0,103.23076082
1,4.0,2.0,104.235958623
1,4.0,2.0,103.013166492
1,4.0,3.0,99.0354071598
1,4.0,3.0,99.9097696614
1,4.0,3.0,99.3336933192
1,4.0,3.0,99.1165999291
1,4.0,3.0,98.9857159551
1,4.0,4.0,96.0963317785
1,4.0,4.0,96.8772987081
1,4.0,4.0,96.603253567
1,4.0,4.0,97.5837053231
1,4.0,4.0,96.7289721704
5,0.1,0.1,79.7334709693
5,0.1,0.1,80.5230812263
5,0.1,0.1,80.0083362276
5,0.1,0.1,79.6024103559
5,0.1,0.1,81.0696782955
5,0.1,1.0,82.1278518419
5,0.1,1.0,78.9690065169
5,0.1,1.0,79.9940666158
5,0.1,1.0,80.7451077087
5,0.1,1.0,79.0409574098
5,0.1,2.0,80.8993380456
5,0.1,2.0,80.0913808888
5,0.1,2.0,78.9285337773
5,0.1,2.0,80.3009730768
5,0.1,2.0,79.6123185301
5,0.1,3.0,80.0150246374
5,0.1,3.0,81.1426796773
5,0.1,3.0,79.0129828238
5,0.1,3.0,80.9036983419
5,0.1,3.0,80.8629995969
5,0.1,4.0,80.9772717818
5,0.1,4.0,79.09325489
5,0.1,4.0,80.2421795435
5,0.1,4.0,80.1368844331
5,0.1,4.0,79.4563562907
5,1.0,0.1,80.1890799094
5,1.0,0.1,80.2384575376
5,1.0,0.1,81.5851766638
5,1.0,0.1,80.4054555121
5,1.0,0.1,79.0100156781
5,1.0,1.0,87.206238444
5,1.0,1.0,86.2978498356
5,1.0,1.0,87.2579030217
5,1.0,1.0,86.3625823572
5,1.0,1.0,87.2561840779
5,1.0,2.0,88.1048049978
5,1.0,2.0,91.9376968577
5,1.0,2.0,92.5778894438
5,1.0,2.0,91.4339639674
5,1.0,2.0,89.8094728563
5,1.0,3.0,91.9117043623
5,1.0,3.0,90.438597355
5,1.0,3.0,90.8838325133
5,1.0,3.0,91.7119731591
5,1.0,3.0,95.2778037505
5,1.0,4.0,91.8364806438
5,1.0,4.0,91.8909157924
5,1.0,4.0,92.4236189405
5,1.0,4.0,93.8149133618
5,1.0,4.0,92.41624637
5,2.0,0.1,78.9608758742
5,2.0,0.1,78.76950318
5,2.0,0.1,80.217600802
5,2.0,0.1,79.3149434103
5,2.0,0.1,80.1815788016
5,2.0,1.0,91.8314799131
5,2.0,1.0,89.0122088073
5,2.0,1.0,90.3510808416
5,2.0,1.0,90.2921867496
5,2.0,1.0,89.3826910121
5,2.0,2.0,93.771424013
5,2.0,2.0,96.11790756
5,2.0,2.0,94.4935980668
5,2.0,2.0,95.6674054326
5,2.0,2.0,95.2898093782
5,2.0,3.0,96.6597901084
5,2.0,3.0,93.9301492077
5,2.0,3.0,97.9366086417
5,2.0,3.0,93.8531368738
5,2.0,3.0,94.4202231901
5,2.0,4.0,97.6205673807
5,2.0,4.0,97.4953500151
5,2.0,4.0,97.3043042548
5,2.0,4.0,95.662893225
5,2.0,4.0,94.491679789
5,3.0,0.1,80.1524110067
5,3.0,0.1,79.2857285712
5,3.0,0.1,80.328142413
5,3.0,0.1,78.8906021088
5,3.0,0.1,80.3256696182
5,3.0,1.0,87.8952063507
5,3.0,1.0,90.9310038411
5,3.0,1.0,89.8331745283
5,3.0,1.0,87.538902561
5,3.0,1.0,89.3981632466
5,3.0,2.0,94.7151748372
5,3.0,2.0,91.2112987367
5,3.0,2.0,96.2862743181
5,3.0,2.0,95.8863777712
5,3.0,2.0,95.6593712303
5,3.0,3.0,96.1373208542
5,3.0,3.0,94.3400488184
5,3.0,3.0,100.747504892
5,3.0,3.0,96.4136648247
5,3.0,3.0,98.2284057652
5,3.0,4.0,97.9010022366
5,3.0,4.0,97.9378940987
5,3.0,4.0,94.6883968504
5,3.0,4.0,94.6747437156
5,3.0,4.0,97.8681265446
5,4.0,0.1,81.3889228661
5,4.0,0.1,79.7429867984
5,4.0,0.1,80.7145720714
5,4.0,0.1,82.1999853342
5,4.0,0.1,79.895623212
5,4.0,1.0,88.3607529347
5,4.0,1.0,89.9121331834
5,4.0,1.0,88.5501046299
5,4.0,1.0,89.6246154685
5,4.0,1.0,90.0940267565
5,4.0,2.0,91.9021248836
5,4.0,2.0,92.3951030693
5,4.0,2.0,93.8491369193
5,4.0,2.0,93.8840218047
5,4.0,2.0,91.7021187337
5,4.0,3.0,93.764626963
5,4.0,3.0,94.5833591058
5,4.0,3.0,91.4571653518
5,4.0,3.0,94.6315844211
5,4.0,3.0,92.149856535
5,4.0,4.0,88.0826693176
5,4.0,4.0,90.2599773393
5,4.0,4.0,90.1107615528
5,4.0,4.0,93.3352899197
5,4.0,4.0,90.7576781194
10,0.1,0.1,66.0763423672
10,0.1,0.1,66.6655970424
10,0.1,0.1,65.3779976462
10,0.1,0.1,65.100197619
10,0.1,0.1,64.9916054957
10,0.1,1.0,67.011542215
10,0.1,1.0,66.2776443148
10,0.1,1.0,66.7081018937
10,0.1,1.0,67.1164545086
10,0.1,1.0,66.7033218834
10,0.1,2.0,66.6283511634
10,0.1,2.0,66.7406994434
10,0.1,2.0,67.8513234295
10,0.1,2.0,66.2213074533
10,0.1,2.0,67.2068521072
10,0.1,3.0,67.1716585617
10,0.1,3.0,68.4094699352
10,0.1,3.0,65.6830797286
10,0.1,3.0,65.4654270339
10,0.1,3.0,67.6617079147
10,0.1,4.0,64.8208557768
10,0.1,4.0,65.6929329113
10,0.1,4.0,66.9327745437
10,0.1,4.0,66.4135651467
10,0.1,4.0,67.7704792545
