Noise,Thresh,PSNR
10,0.1,61.4479368552
10,0.1,61.4310882532
10,0.1,59.1693506323
10,0.1,61.6702467538
10,0.1,60.5014813789
10,1.0,45.9548217708
10,1.0,45.6877008173
10,1.0,45.7272733836
10,1.0,45.9563111268
10,1.0,45.7274855912
10,2.0,45.6470886383
10,2.0,45.6794484692
10,2.0,45.9361381465
10,2.0,45.8229265672
10,2.0,45.7593678185
10,3.0,45.858264734
10,3.0,45.9007283142
10,3.0,45.7470744784
10,3.0,45.7057591433
10,3.0,45.956103129
20,0.1,48.9440040794
20,0.1,49.540526608
20,0.1,47.6253031045
20,0.1,49.9874605536
20,0.1,47.8881782518
20,1.0,44.8903574621
20,1.0,45.6863041458
20,1.0,45.9538094646
20,1.0,45.9176076123
20,1.0,45.7777771749
20,2.0,45.6913915544
20,2.0,45.8378925131
20,2.0,45.4924152426
20,2.0,45.702439081
20,2.0,45.7380541197
20,3.0,45.7690968475
20,3.0,45.758484546
20,3.0,45.6272413148
20,3.0,45.9789784088
20,3.0,44.8656313987
30,0.1,41.1856961121
30,0.1,42.174156347
30,0.1,42.6730483584
30,0.1,41.0705873356
30,0.1,43.650423588
30,1.0,45.8998077372
30,1.0,56.7371735207
30,1.0,45.9757975125
30,1.0,45.3973130857
30,1.0,57.863551591
30,2.0,44.4136820231
30,2.0,45.9789769812
30,2.0,45.6572111222
30,2.0,45.9154013403
30,2.0,45.5262569138
30,3.0,45.8106143846
30,3.0,45.8720876313
30,3.0,45.4891816995
30,3.0,45.9223455559
30,3.0,45.8584611004
10,0.25,59.3362111045
10,0.25,59.5198718433
10,0.25,60.0788571975
10,0.25,58.1318633033
10,0.25,61.3659856757
10,0.5,58.0390827127
10,0.5,57.829238983
10,0.5,58.0675308541
10,0.5,57.9689284826
10,0.5,58.1621445221
10,0.75,58.1932027892
10,0.75,58.1144008852
10,0.75,58.0827153321
10,0.75,58.0165266396
10,0.75,57.925139689
20,0.25,53.2915364442
20,0.25,53.8943555415
20,0.25,52.5966415961
20,0.25,55.5114700071
20,0.25,52.3669393468
20,0.5,58.1924979299
20,0.5,57.5694280288
20,0.5,57.5449309875
20,0.5,57.9888183221
20,0.5,57.9648640299
20,0.75,56.9605705581
20,0.75,56.9859482534
20,0.75,57.5942404718
20,0.75,57.5895480783
20,0.75,56.2313432787
30,0.25,44.1673483981
30,0.25,44.0829810686
30,0.25,43.9973528597
30,0.25,44.141044329
30,0.25,42.4214519186
30,0.5,53.9723475605
30,0.5,52.8695540792
30,0.5,53.5255549506
30,0.5,55.718429064
30,0.5,55.6103359608
30,0.75,57.1701625408
30,0.75,55.1397975112
30,0.75,57.517990069
30,0.75,57.3079512528
30,0.75,45.9607523919
10,0.35,58.0630591967
10,0.35,57.1981847842
10,0.35,57.8939739864
10,0.35,58.1581197478
10,0.35,57.9532660347
10,0.45,58.0239140296
10,0.45,57.8479754201
10,0.45,57.9227237947
10,0.45,57.5933763012
10,0.45,58.068589597
10,0.55,57.9050764416
10,0.55,57.6878925495
10,0.55,58.0878607986
10,0.55,57.9245541357
10,0.55,57.9983624793
10,0.65,58.1163837947
10,0.65,57.9448577869
10,0.65,57.8458138661
10,0.65,57.6227297146
10,0.65,57.9251669111
10,0.85,57.9891765564
10,0.85,58.1546332249
10,0.85,58.1333740821
10,0.85,57.8684195435
10,0.85,57.8662573934
10,0.15,59.707618642
10,0.15,63.1727133286
10,0.15,59.9672905714
10,0.15,60.4517034686
10,0.15,62.6039835246
20,0.35,56.6663522973
20,0.35,55.955552244
20,0.35,57.1898798835
20,0.35,58.1558846277
20,0.35,56.4659252397
20,0.45,56.7783401964
20,0.45,57.6456712159
20,0.45,57.7629180051
20,0.45,57.2285038352
20,0.45,57.6779309092
20,0.55,57.9811209729
20,0.55,58.046063041
20,0.55,57.8158249608
20,0.55,58.1253862189
20,0.55,57.6715132997
20,0.65,57.9680101295
20,0.65,56.2740068866
20,0.65,58.1185920717
20,0.65,57.837693466
20,0.65,57.5902875522
20,0.85,57.1806402857
20,0.85,58.0368951631
20,0.85,45.9689962242
20,0.85,56.6424694823
20,0.85,57.3360608812
20,0.15,49.8813416119
20,0.15,48.8372076359
20,0.15,46.5660653444
20,0.15,49.1834062715
20,0.15,49.6674603094
30,0.35,48.3346402519
30,0.35,47.7786723771
30,0.35,48.837755424
30,0.35,46.9876118392
30,0.35,49.3361400718
30,0.45,57.5324584017
30,0.45,49.614389723
30,0.45,52.6452041002
30,0.45,50.2132455778
30,0.45,55.2257229407
30,0.55,57.1932005848
30,0.55,54.9167470129
30,0.55,57.750744173
30,0.55,57.0694470554
30,0.55,57.4820070125
30,0.65,57.1083959825
30,0.65,57.6885147928
30,0.65,56.4889586055
30,0.65,57.7862218816
30,0.65,57.6685695652
30,0.85,45.9724759292
30,0.85,57.9111070847
30,0.85,56.6896681986
30,0.85,55.7229457959
30,0.85,56.6390164681
30,0.15,40.7272439431
30,0.15,42.680952554
30,0.15,41.4931596383
30,0.15,39.9100311163
30,0.15,40.8196880983
10,0.3,58.1720325462
10,0.3,57.8813874702
10,0.3,58.0999958648
10,0.3,58.1612026666
10,0.3,59.9622452105
10,0.4,58.1311730661
10,0.4,58.0518559793
10,0.4,57.8309739273
10,0.4,58.0625003617
10,0.4,57.7979760267
10,0.6,57.3737059798
10,0.6,57.4419356505
10,0.6,58.0482928244
10,0.6,57.9816529854
10,0.6,58.186218927
20,0.3,54.8025653866
20,0.3,55.2253070104
20,0.3,56.2503439237
20,0.3,59.3297889731
20,0.3,57.1109957437
20,0.4,57.4544374669
20,0.4,57.7900252025
20,0.4,57.8622807546
20,0.4,58.8635979183
20,0.4,54.6153772391
20,0.6,56.6921475615
20,0.6,57.8014683737
20,0.6,57.4791564803
20,0.6,57.3758852862
20,0.6,57.4604659927
30,0.3,43.7436367288
30,0.3,45.6993464579
30,0.3,44.531316503
30,0.3,45.3087722439
30,0.3,46.3076765888
30,0.4,50.9450605811
30,0.4,47.4976511104
30,0.4,49.4272605027
30,0.4,46.1679038595
30,0.4,49.6765174555
30,0.6,58.1601564259
30,0.6,56.5977852513
30,0.6,54.0771401619
30,0.6,56.0802836903
30,0.6,57.7378103781
10,0.05,60.6760276561
10,0.05,62.0827557716
10,0.05,60.8309531561
10,0.05,59.3697696393
10,0.05,60.6898533973
10,0.1,60.7814961492
10,0.1,59.6587003449
10,0.1,62.7080506655
10,0.1,61.689219088
10,0.1,60.4411808887
20,0.05,49.7156598454
20,0.05,45.3672295603
20,0.05,48.936887772
20,0.05,48.4861202052
20,0.05,47.2445671509
20,0.1,47.7982796949
20,0.1,50.3596824881
20,0.1,49.5601548155
20,0.1,45.8055992486
20,0.1,47.5278848689
30,0.05,42.735624069
30,0.05,42.3974059574
30,0.05,42.5144733539
30,0.05,41.6711758739
30,0.05,42.7854321519
30,0.1,43.0798608991
30,0.1,39.1794528955
30,0.1,40.4880360963
30,0.1,40.5126598622
30,0.1,40.7823151542
1,0.8,58.0845670002
1,0.8,58.1174722372
1,0.8,58.1217490651
1,0.8,58.1229976847
1,0.8,58.1347286985
1,0.9,58.12566254
1,0.9,58.1242204604
1,0.9,58.1166925832
1,0.9,58.1261033384
1,0.9,58.1202596861
1,1.0,45.8838127737
1,1.0,45.8773445971
1,1.0,45.8695591209
1,1.0,45.8831912084
1,1.0,45.8810641882
5,0.8,58.1050287388
5,0.8,58.1052416169
5,0.8,57.9649710459
5,0.8,58.0011410978
5,0.8,58.1751931584
5,0.9,45.8503084306
5,0.9,58.1268255665
5,0.9,45.9519034525
5,0.9,45.8293225031
5,0.9,45.8387791793
5,1.0,45.8351392653
5,1.0,45.7790476357
5,1.0,45.9201011715
5,1.0,45.8684812251
5,1.0,45.9002727691
1,0.8,58.1321914365
1,0.8,58.0974645788
1,0.8,58.1221715505
1,0.8,58.1258416609
1,0.8,58.1250055584
1,0.9,58.1090054709
1,0.9,58.1133809435
1,0.9,58.1241647455
1,0.9,58.1391537786
1,0.9,45.8722594813
1,1.0,45.8745568357
1,1.0,45.8899695965
1,1.0,45.8794761239
1,1.0,45.8788931355
1,1.0,45.8774342397
5,0.8,58.1464769157
5,0.8,58.0534293642
5,0.8,58.1401333015
5,0.8,58.0394778518
5,0.8,58.0826001526
5,0.9,58.1679238606
5,0.9,45.8765690274
5,0.9,45.8998429626
5,0.9,45.8816890005
5,0.9,58.0836469951
5,1.0,45.8254572385
5,1.0,45.8448224027
5,1.0,45.9602949279
5,1.0,45.93652987
5,1.0,45.9201689841
1,0.1,64.791721217
1,0.1,64.7823729848
1,0.1,64.7931025648
1,0.1,65.3745719206
1,0.1,64.8173949928
1,0.15,62.5073910966
1,0.15,62.5178050243
1,0.15,62.5375685691
1,0.15,62.5140300477
1,0.15,62.5063352889
1,0.2,61.4222805208
1,0.2,61.3689939762
1,0.2,61.4187218708
1,0.2,61.4118060838
1,0.2,61.4107173057
1,0.75,58.1385330697
1,0.75,58.1126119188
1,0.75,58.1164279734
1,0.75,58.1215147223
1,0.75,58.1347288579
1,0.85,58.0818463871
1,0.85,58.1410253587
1,0.85,58.1311848246
1,0.85,58.1190703971
1,0.85,58.1054558346
1,0.95,45.870304892
1,0.95,45.887025996
1,0.95,45.8887753616
1,0.95,45.8847337137
1,0.95,45.8725407042
1,1.0,45.8772653584
1,1.0,45.8792524052
1,1.0,45.8838172257
1,1.0,45.8792780788
1,1.0,45.8731593231
5,0.1,65.1505806519
5,0.1,65.1046376695
5,0.1,65.4461650426
5,0.1,64.7597220463
5,0.1,64.6846950223
5,0.15,62.5497340162
5,0.15,62.1245531258
5,0.15,62.3431252788
5,0.15,62.7812924124
5,0.15,61.2007314531
5,0.2,61.3314798214
5,0.2,61.4331445866
5,0.2,61.3508754836
5,0.2,59.8855847236
5,0.2,61.2138088415
5,0.75,58.0846175417
5,0.75,58.0679857934
5,0.75,58.1023400467
5,0.75,57.9745553536
5,0.75,58.1416454709
5,0.85,58.0328096661
5,0.85,58.018978583
