Noise,Thresh,PSNR
10,0.1,64.1570538939
10,0.1,66.5663630963
10,0.1,66.1273048399
10,0.1,68.5502525149
10,0.1,65.2584055664
10,1.0,56.7014972064
10,1.0,56.7019501749
10,1.0,56.7238992476
10,1.0,56.7666582592
10,1.0,56.6944517233
10,2.0,56.8021179665
10,2.0,56.7310444898
10,2.0,56.6522921212
10,2.0,56.3706138868
10,2.0,56.7853214154
10,3.0,31.9662236261
10,3.0,31.8589637988
10,3.0,31.9531801342
10,3.0,32.0324503856
10,3.0,31.8797203019
20,0.1,50.1455915954
20,0.1,49.6079289215
20,0.1,52.1188227727
20,0.1,51.0032543875
20,0.1,50.3516640192
20,1.0,56.7793176161
20,1.0,56.6590600267
20,1.0,56.5221871163
20,1.0,56.3382491952
20,1.0,56.8326647885
20,2.0,56.6702617715
20,2.0,56.6853476076
20,2.0,56.6737397733
20,2.0,56.5820889856
20,2.0,56.0985410634
20,3.0,32.2055871537
20,3.0,31.8638038591
20,3.0,31.7672786385
20,3.0,31.7762879674
20,3.0,31.9948111975
30,0.1,44.2087341557
30,0.1,44.0464584797
30,0.1,45.2438342645
30,0.1,45.0787333499
30,0.1,45.4183162364
30,1.0,54.8637922354
30,1.0,55.9137836938
30,1.0,56.1798234046
30,1.0,56.6684934285
30,1.0,55.7712806197
30,2.0,55.6835790751
30,2.0,56.0273433958
30,2.0,56.6738556706
30,2.0,56.5157649991
30,2.0,56.027956813
30,3.0,31.71748374
30,3.0,31.6640031483
30,3.0,31.9627432719
30,3.0,32.1460264472
30,3.0,32.1902942262
10,0.25,62.9692887856
10,0.25,67.0048391456
10,0.25,64.6677777572
10,0.25,65.6365041908
10,0.25,65.9480783133
10,0.5,56.6978575802
10,0.5,61.8399862541
10,0.5,56.6247299094
10,0.5,61.9193941562
10,0.5,61.0770404401
10,0.75,56.3717949027
10,0.75,56.6127082135
10,0.75,56.6413650692
10,0.75,56.7833046212
10,0.75,56.7571298125
20,0.25,60.7503991263
20,0.25,62.7340461235
20,0.25,62.0639875743
20,0.25,62.6669204604
20,0.25,58.9272546309
20,0.5,61.8852320756
20,0.5,61.4966197619
20,0.5,61.8287460507
20,0.5,61.2419981889
20,0.5,60.6054654813
20,0.75,56.4879040523
20,0.75,56.5794812288
20,0.75,55.7566689204
20,0.75,56.4050656079
20,0.75,56.6693305855
30,0.25,46.4986453008
30,0.25,48.7465171323
30,0.25,50.8040582288
30,0.25,49.991792061
30,0.25,49.1450690648
30,0.5,54.6610988359
30,0.5,57.7065693008
30,0.5,59.19909525
30,0.5,60.2900060702
30,0.5,56.0515676307
30,0.75,57.9755020913
30,0.75,52.618100295
30,0.75,55.3225759293
30,0.75,55.3400721066
30,0.75,55.2806426579
10,0.45,61.7645230749
10,0.45,61.6892690638
10,0.45,61.9361975596
10,0.45,56.7937736748
10,0.45,61.7640746269
10,0.5,62.0168713577
10,0.5,61.8579372276
10,0.5,56.4804709199
10,0.5,61.7057696062
10,0.5,56.7955953251
10,0.55,56.7177394648
10,0.55,56.8602232962
10,0.55,56.5651672174
10,0.55,61.6292345046
10,0.55,56.8293274172
20,0.45,64.2069983547
20,0.45,62.8902040483
20,0.45,61.5246632135
20,0.45,63.4773215137
20,0.45,60.9465784981
20,0.5,62.7104440606
20,0.5,56.6098918132
20,0.5,56.2926029055
20,0.5,56.2353526678
20,0.5,61.3731676753
20,0.55,55.9221164721
20,0.55,56.5409617686
20,0.55,55.8758781582
20,0.55,56.7334413278
20,0.55,56.7468480496
30,0.45,61.0193843261
30,0.45,60.1762864687
30,0.45,56.5739192467
30,0.45,61.5752216214
30,0.45,58.1471861498
30,0.5,58.9566028375
30,0.5,56.236402943
30,0.5,60.3014397852
30,0.5,60.8971121404
30,0.5,61.5373167918
30,0.55,55.9337521063
30,0.55,60.7620036279
30,0.55,59.1164061189
30,0.55,61.365673162
30,0.55,55.4409142627
10,0.85,56.7618642798
10,0.85,56.659571839
10,0.85,56.4749065297
10,0.85,56.5432536867
10,0.85,56.7135598612
10,0.65,56.708802058
10,0.65,56.7805412667
10,0.65,56.6157991522
10,0.65,56.3258961066
10,0.65,56.4508376454
20,0.85,56.8457651322
20,0.85,56.6375668317
20,0.85,56.2466812142
20,0.85,56.2886791959
20,0.85,56.5316562977
20,0.65,56.3994024629
20,0.65,56.7812907498
20,0.65,56.7025227455
20,0.65,61.0665936871
20,0.65,56.7165078951
30,0.85,55.8540586825
30,0.85,55.8551859122
30,0.85,55.8856651409
30,0.85,55.8717733766
30,0.85,54.713524942
30,0.65,60.1951786866
30,0.65,56.4968004044
30,0.65,54.5673119204
30,0.65,60.2199411419
30,0.65,60.2398675912
10,0.35,64.8549936282
10,0.35,64.4374773474
10,0.35,61.8880668345
10,0.35,64.5350010663
10,0.35,64.5551292892
20,0.35,61.7742476684
20,0.35,63.445035543
20,0.35,62.2634531709
20,0.35,57.4080055463
20,0.35,60.2448455329
30,0.35,59.2126861275
30,0.35,54.5014639501
30,0.35,62.2035440795
30,0.35,54.099439558
30,0.35,51.8055511515
10,0.05,62.6810792753
10,0.05,64.807204602
10,0.05,65.1718098536
10,0.05,63.598359927
10,0.05,62.8214453618
10,0.1,69.565110371
10,0.1,68.6812312235
10,0.1,68.2010641967
10,0.1,66.1306756251
10,0.1,69.1608202398
10,0.15,71.1553388259
10,0.15,68.7272659211
10,0.15,70.8785187222
10,0.15,69.3430925914
10,0.15,69.3758636819
20,0.05,51.4662369102
20,0.05,51.4943737066
20,0.05,49.7687910628
20,0.05,51.9524806105
20,0.05,50.6913352311
20,0.1,50.2482117064
20,0.1,52.5530835794
20,0.1,51.2322126307
20,0.1,52.6576413503
20,0.1,51.7547253902
20,0.15,56.1111458892
20,0.15,52.0402272161
20,0.15,53.0242082668
20,0.15,53.725809992
20,0.15,53.8435218526
30,0.05,43.2427337468
30,0.05,41.9906613055
30,0.05,45.0502085048
30,0.05,45.6816200772
30,0.05,42.1257279821
30,0.1,45.9863494329
30,0.1,43.2978605075
30,0.1,43.3564577868
30,0.1,44.8041772255
30,0.1,43.4764389485
30,0.15,43.2812478923
30,0.15,44.7384525267
30,0.15,45.9232215072
30,0.15,45.9940370166
30,0.15,45.4412316939
10,0.3,64.8403653396
10,0.3,64.5440285639
10,0.3,64.4652482621
10,0.3,61.8879329585
10,0.3,64.3056932394
