Noise,Thresh,PSNR
1,0.1,104.431911013
1,0.1,104.239345641
1,0.1,102.381392473
1,0.1,102.26140313
1,0.1,102.643790655
1,1.0,64.6188197632
1,1.0,64.5964323587
1,1.0,64.6184975274
1,1.0,64.5863158584
1,1.0,64.559303454
1,2.0,55.6237543092
1,2.0,55.6350971706
1,2.0,55.6252917255
1,2.0,55.6501356672
1,2.0,55.6418269227
1,3.0,42.475128094
1,3.0,42.4949182497
1,3.0,42.4816836959
1,3.0,42.5204217086
1,3.0,42.5033935345
5,0.1,78.1810420041
5,0.1,78.5723612584
5,0.1,80.2934561754
5,0.1,79.3459755646
5,0.1,80.0836535682
5,1.0,64.6496603973
5,1.0,64.9031869712
5,1.0,64.3981851005
5,1.0,65.9657308935
5,1.0,64.537667819
5,2.0,55.492895644
5,2.0,55.6656140454
5,2.0,55.5145919886
5,2.0,55.5660481345
5,2.0,55.5855808011
5,3.0,35.7951847325
5,3.0,35.7327708943
5,3.0,35.7799764753
5,3.0,42.4049352451
5,3.0,42.4729047139
10,0.1,66.8126342062
10,0.1,66.7238516814
10,0.1,65.9885709727
10,0.1,64.9316294435
10,0.1,66.1715167084
10,1.0,62.1790087195
10,1.0,62.1712830752
10,1.0,60.569407761
10,1.0,61.9787018397
10,1.0,63.9495536038
10,2.0,55.459119902
10,2.0,55.2631734165
10,2.0,55.7140815059
10,2.0,55.7605840838
10,2.0,55.7304590077
10,3.0,27.3828936048
10,3.0,27.4819722066
10,3.0,27.5375325997
10,3.0,33.0134492332
10,3.0,34.32127577
20,0.1,53.3592081709
20,0.1,54.0463871179
20,0.1,53.9154963754
20,0.1,52.3358348668
20,0.1,54.6763128141
20,1.0,54.5634682617
20,1.0,54.2330971441
20,1.0,52.6965448812
20,1.0,51.927890251
20,1.0,56.4080427111
20,2.0,54.1676195084
20,2.0,49.0778141995
20,2.0,48.8660236416
20,2.0,50.5679307628
20,2.0,35.8830920837
20,3.0,27.5699195342
20,3.0,27.4778938595
20,3.0,32.9469151604
20,3.0,27.351456461
20,3.0,27.4218767125
30,0.1,45.5039393377
30,0.1,47.2313094286
30,0.1,45.4715146212
30,0.1,46.1802188686
30,0.1,47.6509684439
30,1.0,46.9256881141
30,1.0,47.5634395555
30,1.0,49.0927693921
30,1.0,46.4769085196
30,1.0,48.2391666222
30,2.0,36.603758135
30,2.0,32.8335192718
30,2.0,33.2499069665
30,2.0,32.7369325672
30,2.0,33.35570892
30,3.0,27.0563836342
30,3.0,35.0922020434
30,3.0,34.4852031165
30,3.0,27.1480269993
30,3.0,27.6640830914
1,4.0,27.3693905528
1,4.0,27.3773729052
1,4.0,27.3876198584
1,4.0,27.3899552202
1,4.0,27.3863951346
1,5.0,27.3909306942
1,5.0,27.3837395841
1,5.0,27.3743394365
1,5.0,27.3831642003
1,5.0,27.38259056
5,4.0,27.3948049795
5,4.0,27.3735110942
5,4.0,27.4348143812
5,4.0,27.4102351745
5,4.0,27.3442787678
5,5.0,27.4097392601
5,5.0,27.3224926763
5,5.0,27.3969857168
5,5.0,27.3672855505
5,5.0,27.4038952709
10,4.0,27.4052185639
10,4.0,27.3417380103
10,4.0,27.2948022139
10,4.0,27.5260294622
10,4.0,27.3615460453
10,5.0,27.4644590624
10,5.0,27.351160048
10,5.0,27.4136675782
10,5.0,27.2647022834
10,5.0,27.4496711895
20,4.0,27.1576523468
20,4.0,27.3175966584
20,4.0,27.3545257492
20,4.0,27.3255051629
20,4.0,27.3303936789
20,5.0,27.4897414885
20,5.0,27.38475959
20,5.0,27.5268999583
20,5.0,27.3173685749
20,5.0,27.4867779629
30,4.0,27.2408780074
30,4.0,27.5895377328
30,4.0,27.5964737649
30,4.0,27.1736072714
30,4.0,26.9979786976
30,5.0,27.5492301838
30,5.0,27.2437526409
30,5.0,26.9360584395
30,5.0,27.5288780865
30,5.0,27.1088005442
1,2.5,55.5904892156
1,2.5,55.5889411106
1,2.5,55.6116261155
1,2.5,55.6507527935
1,2.5,55.596543011
1,3.5,27.3918175026
1,3.5,27.3950779469
1,3.5,27.3797463841
1,3.5,27.3797103408
1,3.5,27.3884870037
1,4.5,27.3819250179
1,4.5,27.3841422532
1,4.5,27.378262271
1,4.5,27.3983773972
1,4.5,27.3797090865
1,5.5,27.3831481431
1,5.5,27.3769272322
1,5.5,27.3748412987
1,5.5,27.3880919504
1,5.5,27.3860257015
5,2.5,55.5829082887
5,2.5,51.1890689594
5,2.5,55.7611955749
5,2.5,51.3404984183
5,2.5,51.250222984
5,3.5,27.4228597221
5,3.5,27.403094859
5,3.5,27.3419652035
5,3.5,27.4149468933
5,3.5,27.3389794019
5,4.5,27.4120044331
5,4.5,27.362997689
5,4.5,27.3467636961
5,4.5,27.4203331304
5,4.5,27.4282384137
5,5.5,27.3996738349
5,5.5,27.3771837742
5,5.5,27.3659733353
5,5.5,27.3236654427
5,5.5,27.4524836547
10,2.5,44.8063315981
10,2.5,51.2544856725
10,2.5,50.9634542134
10,2.5,47.4666596099
10,2.5,51.4172885323
10,3.5,27.4316510357
10,3.5,27.3978240538
10,3.5,27.4087193158
10,3.5,27.1586922479
10,3.5,27.3022969857
10,4.5,27.3589524614
10,4.5,27.3330019055
10,4.5,27.306929988
10,4.5,27.3449809097
10,4.5,27.4435398911
10,5.5,27.2670451271
10,5.5,27.5083180263
10,5.5,27.2535730482
10,5.5,27.5140512257
10,5.5,27.389082214
20,2.5,32.0095293498
20,2.5,32.2057995347
20,2.5,27.3343198029
20,2.5,27.2921666488
20,2.5,32.6755373081
20,3.5,27.213548531
20,3.5,27.4686700975
20,3.5,27.3749703717
20,3.5,27.352274791
20,3.5,27.4131738749
20,4.5,27.0151410598
20,4.5,27.2055455698
20,4.5,27.6767354232
20,4.5,27.5342858111
20,4.5,27.5877264331
20,5.5,27.3916535179
20,5.5,27.3872406027
20,5.5,27.1527359774
20,5.5,27.4604713043
20,5.5,27.5180635693
30,2.5,33.9172315844
30,2.5,33.4349713864
30,2.5,27.165271069
30,2.5,33.9886734394
30,2.5,33.2058819983
30,3.5,26.968548099
30,3.5,27.5256557316
30,3.5,27.5615529591
30,3.5,27.3846765935
30,3.5,26.9170630783
30,4.5,27.0171145835
30,4.5,27.6016842631
30,4.5,27.4362305691
30,4.5,27.1685847212
30,4.5,27.1746870399
30,5.5,27.6465315337
30,5.5,27.7666938441
30,5.5,27.1625192715
30,5.5,27.558925249
30,5.5,27.3970584075
1,6,27.3813297777
1,6,27.378110695
1,6,27.3847367212
1,6,27.3835809995
1,6,27.3721513757
1,6.5,27.384449441
1,6.5,27.3965065833
1,6.5,27.3876783753
1,6.5,27.3928889396
1,6.5,27.3833767788
1,7,27.3913919045
1,7,27.3893348342
1,7,27.3767183895
1,7,27.3723071238
1,7,27.3842918748
1,7.5,27.3895778557
1,7.5,27.3776429841
1,7.5,27.3639470703
1,7.5,27.3982794323
1,7.5,27.3839679248
1,8,27.3944740837
1,8,27.3889560165
1,8,27.3790331292
1,8,27.3850736494
1,8,27.3812073713
5,6,27.4363039089
5,6,27.3572522405
5,6,27.3477773949
5,6,27.4473942464
5,6,27.4302284713
5,6.5,27.3231679816
5,6.5,27.416704621
5,6.5,27.3770556925
5,6.5,27.359207633
5,6.5,27.3909214669
5,7,27.4423852868
5,7,27.3119721101
5,7,27.4310446028
5,7,27.469736267
5,7,27.3833107245
5,7.5,27.332613858
5,7.5,27.3996911927
5,7.5,27.4148925744
5,7.5,27.3640150761
5,7.5,27.3600667145
5,8,27.3261316251
5,8,27.3579875318
5,8,27.3762380086
5,8,27.3432448063
5,8,27.4068261269
10,6,27.3939404916
10,6,27.4088708802
10,6,27.4633974267
10,6,27.3177172745
10,6,27.4005679023
10,6.5,27.4326044109
10,6.5,27.2843779757
10,6.5,27.4587610601
10,6.5,27.1810605337
10,6.5,27.4554014199
10,7,27.3269914032
10,7,27.4940382139
10,7,27.4012899132
10,7,27.295531556
10,7,27.4122684244
10,7.5,27.3286123941
10,7.5,27.4468910602
10,7.5,27.3169354225
10,7.5,27.4504256066
10,7.5,27.414309601
10,8,27.3375704528
10,8,27.3921126196
10,8,27.2506829941
10,8,27.3594889695
10,8,27.3040454951
20,6,27.5635625201
20,6,27.4420065989
20,6,27.1189112988
20,6,27.3094706901
20,6,27.4211292317
20,6.5,27.1101841029
20,6.5,27.1666322756
20,6.5,27.3149631444
20,6.5,27.6608508282
20,6.5,27.4934900276
20,7,27.4392536766
20,7,27.2572562998
20,7,27.2284022915
20,7,27.3754276428
20,7,27.4443623657
20,7.5,27.4401709028
20,7.5,27.6819018224
20,7.5,27.4390389094
20,7.5,27.2262555671
20,7.5,27.2529394367
20,8,27.4780527482
20,8,26.9935231172
20,8,27.4871808507
20,8,27.5277681739
20,8,27.3275841354
30,6,27.7529089537
30,6,27.2306643156
30,6,27.5238176617
30,6,27.3400436533
30,6,27.4356833565
30,6.5,27.3350472235
30,6.5,27.6023822507
30,6.5,27.4903582654
30,6.5,27.4853029195
