Noise,Thresh,PSNR
10,0.1,61.045415238
10,0.1,60.843509554
10,0.1,62.0708550565
10,0.1,60.2451367148
10,0.1,58.7558059841
10,1.0,51.3952931305
10,1.0,52.1358297412
10,1.0,53.1187083422
10,1.0,50.8351667348
10,1.0,51.4208381084
10,2.0,50.9437838245
10,2.0,50.5713468947
10,2.0,51.121938124
10,2.0,49.7243050733
10,2.0,50.7412585435
10,3.0,50.7447403388
10,3.0,45.7438347212
10,3.0,51.4014504493
10,3.0,50.5598827456
10,3.0,50.5822212289
20,0.1,48.8074545237
20,0.1,47.321483287
20,0.1,48.4241921327
20,0.1,48.8173163635
20,0.1,45.427014676
20,1.0,47.3920236936
20,1.0,45.3049963767
20,1.0,44.0338190766
20,1.0,45.5053660302
20,1.0,45.9525124657
20,2.0,48.9664678215
20,2.0,48.8438279171
20,2.0,51.6519000945
20,2.0,48.295221424
20,2.0,51.0142622129
20,3.0,52.1445570175
20,3.0,45.9469699023
20,3.0,45.2250434816
20,3.0,51.977164501
20,3.0,45.9436310024
30,0.1,40.510215017
30,0.1,43.7402570223
30,0.1,38.9214088667
30,0.1,42.0446134559
30,0.1,39.3664792681
30,1.0,42.0573502491
30,1.0,41.3023661119
30,1.0,38.8950723983
30,1.0,39.2169116261
30,1.0,40.5169049656
30,2.0,47.2356976715
30,2.0,48.1144811425
30,2.0,48.0397106106
30,2.0,45.6964208972
30,2.0,47.3225360603
30,3.0,54.2165189315
30,3.0,52.1057737772
30,3.0,45.9096964656
30,3.0,51.8251457848
30,3.0,51.8201424952
10,0.25,60.3955559764
10,0.25,60.4262627239
10,0.25,60.7831987907
10,0.25,62.4784186221
10,0.25,60.7178175479
10,0.5,60.926244607
10,0.5,58.5102252768
10,0.5,60.4909878022
10,0.5,58.2285758193
10,0.5,60.1499771835
10,0.75,57.4486075398
10,0.75,58.2991028943
10,0.75,49.9099213447
10,0.75,60.4332506305
10,0.75,56.3999140809
20,0.25,48.0715212268
20,0.25,47.7725982972
20,0.25,48.3652353192
20,0.25,47.4956066107
20,0.25,50.1551503427
20,0.5,48.2315128808
20,0.5,48.0786954897
20,0.5,48.1899600676
20,0.5,43.1201110701
20,0.5,44.8870119917
20,0.75,44.115840327
20,0.75,43.5837110948
20,0.75,43.4427761001
20,0.75,43.831308573
20,0.75,43.5774905316
30,0.25,39.5597085177
30,0.25,39.3014919901
30,0.25,40.2800077955
30,0.25,38.4920480814
30,0.25,44.2324761033
30,0.5,38.3490265896
30,0.5,39.4620071001
30,0.5,40.0903710091
30,0.5,42.4970090477
30,0.5,40.1841196853
30,0.75,38.4304331391
30,0.75,42.2735147077
30,0.75,44.1524565886
30,0.75,39.4842836342
30,0.75,42.9960137536
10,0.15,59.7040957737
10,0.15,62.6652062826
10,0.15,59.6631504797
10,0.15,60.5347662868
10,0.15,63.0663613607
10,0.35,60.8659305123
10,0.35,59.7645490571
10,0.35,58.3216545728
10,0.35,62.051257932
10,0.35,60.6839720778
10,0.45,56.3317739224
10,0.45,58.8671884772
10,0.45,61.3226144224
10,0.45,61.2720078122
10,0.45,60.2084090319
10,0.55,60.6599401593
10,0.55,57.3233217245
10,0.55,62.274218575
10,0.55,59.6080211748
10,0.55,60.7994688797
10,0.65,59.8040707142
10,0.65,57.8938752314
10,0.65,57.2318255098
10,0.65,60.1495838826
10,0.65,55.374545944
10,0.85,49.476404105
10,0.85,57.1091849977
10,0.85,49.6298092048
10,0.85,50.3314641162
10,0.85,50.9733340952
20,0.15,46.3342745127
20,0.15,47.3264154898
20,0.15,46.7890049235
20,0.15,46.7204794904
20,0.15,48.3952140224
20,0.35,46.3420152726
20,0.35,48.0917368557
20,0.35,45.4379504085
20,0.35,46.9485130822
20,0.35,46.8858548351
20,0.45,45.8091979878
20,0.45,46.583632813
20,0.45,45.1723713738
20,0.45,42.3594220614
