Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
1,0.3,7,0.58,0.43,7,0.61,89.8637493094
1,0.3,7,0.58,0.43,7,0.61,89.3227832039
1,0.3,7,0.58,0.43,7,0.61,89.5332778792
1,0.3,7,0.58,0.43,7,0.61,90.4143136833
1,0.3,7,0.58,0.43,7,0.61,90.9287457747
1,0.3,7,0.58,0.43,7,0.81,89.987184359
1,0.3,7,0.58,0.43,7,0.81,89.6216376257
1,0.3,7,0.58,0.43,7,0.81,90.0621801818
1,0.3,7,0.58,0.43,7,0.81,90.7732223887
1,0.3,7,0.58,0.43,7,0.81,89.9743762776
1,0.3,7,0.58,0.63,7,0.61,87.3222883236
1,0.3,7,0.58,0.63,7,0.61,87.96502117
1,0.3,7,0.58,0.63,7,0.61,87.4228895824
1,0.3,7,0.58,0.63,7,0.61,87.6080530903
1,0.3,7,0.58,0.63,7,0.61,87.8297060125
1,0.3,7,0.58,0.63,7,0.81,87.1215862928
1,0.3,7,0.58,0.63,7,0.81,87.6694025252
1,0.3,7,0.58,0.63,7,0.81,89.2687833142
1,0.3,7,0.58,0.63,7,0.81,87.6395448297
1,0.3,7,0.58,0.63,7,0.81,87.9620803578
1,0.3,7,0.78,0.43,7,0.61,89.9720558432
1,0.3,7,0.78,0.43,7,0.61,89.6345072202
1,0.3,7,0.78,0.43,7,0.61,91.0620124897
1,0.3,7,0.78,0.43,7,0.61,89.7709346614
1,0.3,7,0.78,0.43,7,0.61,90.5319179727
1,0.3,7,0.78,0.43,7,0.81,89.683829186
1,0.3,7,0.78,0.43,7,0.81,90.4539017535
1,0.3,7,0.78,0.43,7,0.81,90.6661371939
1,0.3,7,0.78,0.43,7,0.81,91.0104069405
1,0.3,7,0.78,0.43,7,0.81,88.8371266719
1,0.3,7,0.78,0.63,7,0.61,88.7622486712
1,0.3,7,0.78,0.63,7,0.61,87.1723437871
1,0.3,7,0.78,0.63,7,0.61,87.0554583071
1,0.3,7,0.78,0.63,7,0.61,86.8977596725
1,0.3,7,0.78,0.63,7,0.61,87.5581350362
1,0.3,7,0.78,0.63,7,0.81,87.5662806857
1,0.3,7,0.78,0.63,7,0.81,89.0984910221
1,0.3,7,0.78,0.63,7,0.81,87.1752857024
1,0.3,7,0.78,0.63,7,0.81,87.5966883105
1,0.3,7,0.78,0.63,7,0.81,87.1242283389
1,0.5,7,0.58,0.43,7,0.61,86.7204972102
1,0.5,7,0.58,0.43,7,0.61,86.6698205288
1,0.5,7,0.58,0.43,7,0.61,86.0029629417
1,0.5,7,0.58,0.43,7,0.61,86.2979770483
1,0.5,7,0.58,0.43,7,0.61,86.2743172299
1,0.5,7,0.58,0.43,7,0.81,87.5542909721
1,0.5,7,0.58,0.43,7,0.81,86.1096896577
1,0.5,7,0.58,0.43,7,0.81,85.6082081345
1,0.5,7,0.58,0.43,7,0.81,86.0934659877
