Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
5,0.34,7,0.83,0.64,7,0.6,84.3262070061
5,0.34,7,0.83,0.64,7,0.6,85.9267026628
5,0.34,7,0.83,0.64,7,0.6,83.5215948714
5,0.34,7,0.83,0.64,7,0.6,83.9584187643
5,0.34,7,0.83,0.64,7,0.6,83.2509227346
5,0.34,7,0.83,0.64,7,0.8,86.561380368
5,0.34,7,0.83,0.64,7,0.8,86.3695450418
5,0.34,7,0.83,0.64,7,0.8,87.9601546447
5,0.34,7,0.83,0.64,7,0.8,84.7887251561
5,0.34,7,0.83,0.64,7,0.8,86.5402260207
5,0.54,7,0.63,0.44,7,0.6,83.7438192218
5,0.54,7,0.63,0.44,7,0.6,83.0080678348
5,0.54,7,0.63,0.44,7,0.6,82.8012852661
5,0.54,7,0.63,0.44,7,0.6,87.1163628846
5,0.54,7,0.63,0.44,7,0.6,85.7132277828
5,0.54,7,0.63,0.44,7,0.8,85.8268651565
5,0.54,7,0.63,0.44,7,0.8,88.7170547774
5,0.54,7,0.63,0.44,7,0.8,87.440488917
5,0.54,7,0.63,0.44,7,0.8,88.195206085
5,0.54,7,0.63,0.44,7,0.8,87.2428623356
5,0.54,7,0.63,0.64,7,0.6,82.3574364291
5,0.54,7,0.63,0.64,7,0.6,86.3987096497
5,0.54,7,0.63,0.64,7,0.6,81.9641131022
5,0.54,7,0.63,0.64,7,0.6,86.8172881796
5,0.54,7,0.63,0.64,7,0.6,86.2574088167
5,0.54,7,0.63,0.64,7,0.8,83.2660321238
5,0.54,7,0.63,0.64,7,0.8,84.8725618325
5,0.54,7,0.63,0.64,7,0.8,87.0530827533
5,0.54,7,0.63,0.64,7,0.8,84.4091624181
5,0.54,7,0.63,0.64,7,0.8,85.1308765292
5,0.54,7,0.83,0.44,7,0.6,83.9359966159
5,0.54,7,0.83,0.44,7,0.6,86.8899354032
5,0.54,7,0.83,0.44,7,0.6,80.0427249232
5,0.54,7,0.83,0.44,7,0.6,85.7281793426
5,0.54,7,0.83,0.44,7,0.6,87.3762634447
5,0.54,7,0.83,0.44,7,0.8,85.2105175747
5,0.54,7,0.83,0.44,7,0.8,86.200230113
5,0.54,7,0.83,0.44,7,0.8,84.968234861
5,0.54,7,0.83,0.44,7,0.8,83.710242206
5,0.54,7,0.83,0.44,7,0.8,84.3009060347
5,0.54,7,0.83,0.64,7,0.6,83.4104027302
5,0.54,7,0.83,0.64,7,0.6,87.347333813
5,0.54,7,0.83,0.64,7,0.6,88.8024737464
5,0.54,7,0.83,0.64,7,0.6,82.7105295333
5,0.54,7,0.83,0.64,7,0.6,83.9410973845
5,0.54,7,0.83,0.64,7,0.8,87.1309401374
