Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
1,0.41,7,0.63,0.52,7,0.59,102.516689452
1,0.41,7,0.63,0.52,7,0.59,104.702157387
1,0.41,7,0.63,0.52,7,0.59,103.38487355
1,0.41,7,0.63,0.52,7,0.59,104.584679603
1,0.41,7,0.63,0.52,7,0.59,103.538932303
1,0.41,7,0.63,0.52,7,0.79,103.305592553
1,0.41,7,0.63,0.52,7,0.79,104.788648322
1,0.41,7,0.63,0.52,7,0.79,105.282928643
1,0.41,7,0.63,0.52,7,0.79,103.572784022
1,0.41,7,0.63,0.52,7,0.79,104.666967661
1,0.41,7,0.63,0.72,7,0.59,102.441195811
1,0.41,7,0.63,0.72,7,0.59,104.565320155
1,0.41,7,0.63,0.72,7,0.59,103.369171768
1,0.41,7,0.63,0.72,7,0.59,101.506302601
1,0.41,7,0.63,0.72,7,0.59,102.157201394
1,0.41,7,0.63,0.72,7,0.79,104.50665173
1,0.41,7,0.63,0.72,7,0.79,101.13928783
1,0.41,7,0.63,0.72,7,0.79,101.728610705
1,0.41,7,0.63,0.72,7,0.79,104.549288018
1,0.41,7,0.63,0.72,7,0.79,101.084937281
1,0.41,7,0.83,0.52,7,0.59,106.917649433
1,0.41,7,0.83,0.52,7,0.59,105.881599337
1,0.41,7,0.83,0.52,7,0.59,104.78512439
1,0.41,7,0.83,0.52,7,0.59,104.243115721
1,0.41,7,0.83,0.52,7,0.59,106.345662956
1,0.41,7,0.83,0.52,7,0.79,105.416674436
1,0.41,7,0.83,0.52,7,0.79,106.174937949
1,0.41,7,0.83,0.52,7,0.79,105.622842062
1,0.41,7,0.83,0.52,7,0.79,103.516115721
1,0.41,7,0.83,0.52,7,0.79,106.431283626
1,0.41,7,0.83,0.72,7,0.59,103.11677204
1,0.41,7,0.83,0.72,7,0.59,100.557119168
1,0.41,7,0.83,0.72,7,0.59,105.202324398
1,0.41,7,0.83,0.72,7,0.59,103.126547483
1,0.41,7,0.83,0.72,7,0.59,102.200545491
1,0.41,7,0.83,0.72,7,0.79,105.418643105
1,0.41,7,0.83,0.72,7,0.79,101.17025753
1,0.41,7,0.83,0.72,7,0.79,102.4950477
1,0.41,7,0.83,0.72,7,0.79,100.154162168
1,0.41,7,0.83,0.72,7,0.79,100.659549481
1,0.61,7,0.63,0.52,7,0.59,102.988664429
1,0.61,7,0.63,0.52,7,0.59,104.037521684
1,0.61,7,0.63,0.52,7,0.59,100.39915401
1,0.61,7,0.63,0.52,7,0.59,101.476623742
1,0.61,7,0.63,0.52,7,0.59,104.253440126
1,0.61,7,0.63,0.52,7,0.79,102.435031489
1,0.61,7,0.63,0.52,7,0.79,99.9378137518
1,0.61,7,0.63,0.52,7,0.79,101.36379549
1,0.61,7,0.63,0.52,7,0.79,101.048631875
1,0.61,7,0.63,0.52,7,0.79,104.277919011
1,0.61,7,0.63,0.72,7,0.59,101.436927349
1,0.61,7,0.63,0.72,7,0.59,100.489086193
1,0.61,7,0.63,0.72,7,0.59,100.206196674
1,0.61,7,0.63,0.72,7,0.59,101.235364549
1,0.61,7,0.63,0.72,7,0.59,100.78588293
1,0.61,7,0.63,0.72,7,0.79,100.584962788
1,0.61,7,0.63,0.72,7,0.79,104.133354608
1,0.61,7,0.63,0.72,7,0.79,101.564395931
1,0.61,7,0.63,0.72,7,0.79,101.609860137
1,0.61,7,0.63,0.72,7,0.79,101.459425044
1,0.61,7,0.83,0.52,7,0.59,99.7485267788
1,0.61,7,0.83,0.52,7,0.59,102.673753717
1,0.61,7,0.83,0.52,7,0.59,102.750666621
1,0.61,7,0.83,0.52,7,0.59,101.754469507
1,0.61,7,0.83,0.52,7,0.59,102.021142066
1,0.61,7,0.83,0.52,7,0.79,102.00737214
1,0.61,7,0.83,0.52,7,0.79,100.673847386
1,0.61,7,0.83,0.52,7,0.79,100.579313775
1,0.61,7,0.83,0.52,7,0.79,102.666378986
1,0.61,7,0.83,0.52,7,0.79,102.769616684
1,0.61,7,0.83,0.72,7,0.59,102.112950564
1,0.61,7,0.83,0.72,7,0.59,102.896362121
1,0.61,7,0.83,0.72,7,0.59,101.202542953
1,0.61,7,0.83,0.72,7,0.59,99.9229914209
1,0.61,7,0.83,0.72,7,0.59,102.295794441
1,0.61,7,0.83,0.72,7,0.79,100.184417985
1,0.61,7,0.83,0.72,7,0.79,100.251557466
