date	time	wind_gen_forecast	wind_gen_actual
10/1/2010	15:25	26	14
10/1/2010	15:30	26	16
10/1/2010	15:35	26	17
10/1/2010	15:40	26	20
10/1/2010	15:45	26	21
10/1/2010	15:50	26	20
10/1/2010	15:55	28	18
10/1/2010	16:00	33	21
10/1/2010	16:05	37	24
10/1/2010	16:10	43	24
10/1/2010	16:15	43	25
10/1/2010	16:20	43	27
10/1/2010	16:25	43	32
10/1/2010	16:30	43	42
10/1/2010	16:35	43	47
10/1/2010	16:40	43	53
10/1/2010	16:45	43	58
10/1/2010	16:50	43	68
10/1/2010	16:55	56	83
10/1/2010	17:00	74	93
10/1/2010	17:05	89	103
10/1/2010	17:10	108	109
10/1/2010	17:15	108	129
10/1/2010	17:20	108	140
10/1/2010	17:25	108	147
10/1/2010	17:30	108	155
10/1/2010	17:35	108	173
10/1/2010	17:40	108	191
10/1/2010	17:45	108	207
10/1/2010	17:50	108	223
10/1/2010	17:55	133	250
10/1/2010	18:00	161	264
10/1/2010	18:05	189	281
10/1/2010	18:10	220	293
10/1/2010	18:15	220	306
10/1/2010	18:20	220	322
10/1/2010	18:25	220	334
10/1/2010	18:30	220	351
10/1/2010	18:35	220	367
10/1/2010	18:40	220	378
10/1/2010	18:45	220	390
10/1/2010	18:50	220	390
10/1/2010	18:55	258	392
10/1/2010	19:00	299	389
10/1/2010	19:05	341	382
10/1/2010	19:10	387	372
10/1/2010	19:15	387	359
10/1/2010	19:20	387	355
10/1/2010	19:25	387	338
10/1/2010	19:30	387	333
10/1/2010	19:35	387	331
10/1/2010	19:40	387	331
10/1/2010	19:45	387	326
10/1/2010	19:50	387	320
10/1/2010	19:55	426	326
10/1/2010	20:00	467	334
10/1/2010	20:05	509	323
10/1/2010	20:10	557	305
10/1/2010	20:15	557	284
10/1/2010	20:20	557	276
10/1/2010	20:25	557	291
10/1/2010	20:30	557	310
10/1/2010	20:35	557	340
10/1/2010	20:40	557	358
10/1/2010	20:45	557	354
10/1/2010	20:50	557	343
10/1/2010	20:55	523	334
10/1/2010	21:00	495	340
10/1/2010	21:05	465	328
10/1/2010	21:10	445	321
10/1/2010	21:15	441	310
10/1/2010	21:20	441	313
10/1/2010	21:25	441	317
10/1/2010	21:30	521	307
10/1/2010	21:35	521	307
10/1/2010	21:40	521	313
10/1/2010	21:45	521	314
10/1/2010	21:50	521	315
10/1/2010	21:55	470	309
10/1/2010	22:00	430	310
10/1/2010	22:05	393	324
10/1/2010	22:10	359	343
10/1/2010	22:15	359	360
10/1/2010	22:20	359	382
10/1/2010	22:25	359	403
10/1/2010	22:30	399	434
10/1/2010	22:35	399	464
10/1/2010	22:40	399	484
10/1/2010	22:45	399	494
10/1/2010	22:50	399	505
10/1/2010	22:55	400	515
10/1/2010	23:00	410	527
10/1/2010	23:05	417	536
10/1/2010	23:10	431	543
10/1/2010	23:15	431	544
10/1/2010	23:20	431	557
10/1/2010	23:25	431	564
10/1/2010	23:30	431	575
10/1/2010	23:35	431	574
10/1/2010	23:40	431	572
10/1/2010	23:45	431	582
10/1/2010	23:50	431	591
10/1/2010	23:55	467	611
10/2/2010	0:00	505	625
10/2/2010	0:05	544	625
10/2/2010	0:10	592	629
10/2/2010	0:15	592	641
10/2/2010	0:20	592	640
10/2/2010	0:25	592	644
10/2/2010	0:30	592	660
10/2/2010	0:35	592	674
10/2/2010	0:40	592	676
10/2/2010	0:45	592	684
10/2/2010	0:50	592	701
10/2/2010	0:55	603	716
10/2/2010	1:00	622	730
10/2/2010	1:05	638	722
10/2/2010	1:10	661	716
10/2/2010	1:15	661	714
10/2/2010	1:20	661	718
10/2/2010	1:25	661	712
10/2/2010	1:30	711	705
10/2/2010	1:35	711	696
10/2/2010	1:40	711	689
10/2/2010	1:45	711	676
10/2/2010	1:50	711	670
10/2/2010	1:55	708	659
10/2/2010	2:00	706	656
10/2/2010	2:05	705	649
10/2/2010	2:10	712	652
10/2/2010	2:15	712	646
10/2/2010	2:20	712	629
10/2/2010	2:25	712	608
10/2/2010	2:30	712	598
10/2/2010	2:35	712	589
10/2/2010	2:40	712	581
10/2/2010	2:45	712	575
10/2/2010	2:50	712	562
10/2/2010	2:55	675	563
10/2/2010	3:00	647	560
10/2/2010	3:05	621	561
10/2/2010	3:10	600	557
10/2/2010	3:15	600	550
10/2/2010	3:20	600	552
10/2/2010	3:25	600	553
10/2/2010	3:30	600	559
10/2/2010	3:35	600	557
10/2/2010	3:40	600	573
10/2/2010	3:45	600	582
10/2/2010	3:50	600	596
10/2/2010	3:55	570	595
10/2/2010	4:00	546	592
10/2/2010	4:05	527	587
10/2/2010	4:10	513	585
10/2/2010	4:15	515	564
10/2/2010	4:20	515	554
10/2/2010	4:25	515	545
10/2/2010	4:30	515	536
10/2/2010	4:35	515	517
10/2/2010	4:40	515	498
10/2/2010	4:45	515	485
10/2/2010	4:50	515	483
10/2/2010	4:55	518	486
10/2/2010	5:00	525	504
10/2/2010	5:05	532	509
10/2/2010	5:10	546	490
10/2/2010	5:15	546	471
10/2/2010	5:20	546	460
10/2/2010	5:25	546	453
10/2/2010	5:30	546	440
10/2/2010	5:35	546	425
10/2/2010	5:40	546	414
10/2/2010	5:45	546	405
10/2/2010	5:50	546	391
10/2/2010	5:55	506	367
10/2/2010	6:00	475	339
10/2/2010	6:05	446	316
10/2/2010	6:10	423	296
10/2/2010	6:15	423	284
10/2/2010	6:20	423	279
10/2/2010	6:25	423	278
10/2/2010	6:30	423	267
10/2/2010	6:35	423	257
10/2/2010	6:40	423	253
10/2/2010	6:45	423	242
10/2/2010	6:50	423	228
10/2/2010	6:55	389	206
10/2/2010	7:00	365	187
10/2/2010	7:05	340	180
10/2/2010	7:10	323	171
10/2/2010	7:15	323	156
10/2/2010	7:20	323	143
10/2/2010	7:25	323	130
10/2/2010	7:30	323	120
10/2/2010	7:35	323	113
10/2/2010	7:40	323	113
10/2/2010	7:45	323	112
10/2/2010	7:50	323	116
10/2/2010	7:55	273	118
10/2/2010	8:00	232	125
10/2/2010	8:05	195	130
10/2/2010	8:10	164	133
10/2/2010	8:15	164	139
10/2/2010	8:20	164	140
10/2/2010	8:25	164	146
10/2/2010	8:30	164	147
10/2/2010	8:35	164	147
10/2/2010	8:40	164	147
10/2/2010	8:45	164	146
