Noise,SigD,SigI,PSNR
1,2.0,2.0,125.329715805
1,2.0,2.0,127.024824212
1,2.0,2.0,124.485875529
1,2.0,2.0,124.501198131
1,2.0,2.0,126.523619766
1,2.0,2.5,128.291734462
1,2.0,2.5,126.976097016
1,2.0,2.5,124.976331808
1,2.0,2.5,121.264913935
1,2.0,2.5,129.556049313
1,2.0,3.0,125.155057267
1,2.0,3.0,127.204782524
1,2.0,3.0,124.068929164
1,2.0,3.0,127.449057138
1,2.0,3.0,125.57379903
1,2.5,2.0,128.021240596
1,2.5,2.0,121.623102745
1,2.5,2.0,123.316056286
1,2.5,2.0,125.038271469
1,2.5,2.0,122.994300649
1,2.5,2.5,125.3837579
1,2.5,2.5,128.840209714
1,2.5,2.5,127.728388175
1,2.5,2.5,125.092714147
1,2.5,2.5,123.239606125
1,2.5,3.0,126.784692258
1,2.5,3.0,128.565273641
1,2.5,3.0,125.274953911
1,2.5,3.0,124.553833199
1,2.5,3.0,128.769680644
1,3.0,2.0,123.235371274
1,3.0,2.0,122.36169839
1,3.0,2.0,123.849327833
1,3.0,2.0,121.590056294
1,3.0,2.0,122.685378222
1,3.0,2.5,127.812005929
1,3.0,2.5,123.106447441
1,3.0,2.5,124.041152631
1,3.0,2.5,126.078825056
1,3.0,2.5,126.044157096
1,3.0,3.0,125.872345314
1,3.0,3.0,121.69320791
1,3.0,3.0,127.546013922
1,3.0,3.0,125.65856953
1,3.0,3.0,122.981005674
5,2.0,2.0,91.5172771962
5,2.0,2.0,94.5356569051
5,2.0,2.0,95.2009857859
5,2.0,2.0,93.3092520795
5,2.0,2.0,93.6514056149
5,2.0,2.5,99.2558206783
5,2.0,2.5,94.0122257723
5,2.0,2.5,97.1785753168
5,2.0,2.5,97.0764074955
5,2.0,2.5,95.7687342561
5,2.0,3.0,97.1501711111
5,2.0,3.0,95.5174900021
5,2.0,3.0,97.4619509135
5,2.0,3.0,96.7091925814
5,2.0,3.0,93.0137556976
5,2.5,2.0,98.6306565906
5,2.5,2.0,97.8389872272
5,2.5,2.0,95.3068372541
5,2.5,2.0,92.3463058876
5,2.5,2.0,96.9944595689
5,2.5,2.5,95.1047022242
5,2.5,2.5,100.969988604
5,2.5,2.5,97.6015692397
5,2.5,2.5,95.727939861
5,2.5,2.5,98.5616184732
5,2.5,3.0,100.191786583
5,2.5,3.0,95.326942863
5,2.5,3.0,95.1638192042
5,2.5,3.0,95.6763417705
5,2.5,3.0,94.2554113146
5,3.0,2.0,97.8388671247
5,3.0,2.0,98.7571823111
5,3.0,2.0,96.475631413
5,3.0,2.0,99.0341033707
5,3.0,2.0,100.603276944
5,3.0,2.5,98.3060716807
5,3.0,2.5,103.33086493
5,3.0,2.5,102.927047361
5,3.0,2.5,99.7740045036
5,3.0,2.5,99.3839072847
5,3.0,3.0,102.424600666
5,3.0,3.0,99.9901003366
5,3.0,3.0,99.3059882417
5,3.0,3.0,96.3703261443
5,3.0,3.0,100.163130218
10,2.0,2.0,80.6147822795
10,2.0,2.0,79.1269318902
10,2.0,2.0,84.3472050616
10,2.0,2.0,82.5212086305
10,2.0,2.0,77.3649247382
10,2.0,2.5,80.8705393061
