Noise,SigD,SigI,PSNR
1,2.0,2.0,125.1471855
1,2.0,2.0,123.530837894
1,2.0,2.0,129.52604231
1,2.0,2.0,125.215774994
1,2.0,2.0,129.047026079
1,2.0,2.5,131.031021015
1,2.0,2.5,128.282639343
1,2.0,2.5,127.135940899
1,2.0,2.5,124.21702887
1,2.0,2.5,127.877561363
1,2.0,3.0,125.133244094
1,2.0,3.0,131.872785993
1,2.0,3.0,128.301790313
1,2.0,3.0,127.773451984
1,2.0,3.0,129.100795972
1,2.5,2.0,130.742367497
1,2.5,2.0,126.781296221
1,2.5,2.0,129.942431572
1,2.5,2.0,132.164768409
1,2.5,2.0,123.784152697
1,2.5,2.5,127.319776404
1,2.5,2.5,121.883867123
1,2.5,2.5,123.485680837
1,2.5,2.5,128.602317456
1,2.5,2.5,122.497204457
1,2.5,3.0,124.563765854
1,2.5,3.0,128.379421783
1,2.5,3.0,130.764381463
1,2.5,3.0,124.276010786
1,2.5,3.0,125.768968241
1,3.0,2.0,127.622560607
1,3.0,2.0,124.93046617
1,3.0,2.0,127.505449234
1,3.0,2.0,123.895808157
1,3.0,2.0,125.399008058
1,3.0,2.5,127.864829592
1,3.0,2.5,128.658030209
1,3.0,2.5,130.266139021
1,3.0,2.5,121.933759255
1,3.0,2.5,124.037345105
1,3.0,3.0,124.499086695
1,3.0,3.0,126.39975273
1,3.0,3.0,124.391111468
1,3.0,3.0,124.008514389
1,3.0,3.0,123.21546328
5,2.0,2.0,95.7732105588
5,2.0,2.0,96.6523653655
5,2.0,2.0,96.7350650756
5,2.0,2.0,94.7176691542
5,2.0,2.0,97.4331795818
5,2.0,2.5,94.3334012828
5,2.0,2.5,94.9942647268
5,2.0,2.5,96.8637638785
5,2.0,2.5,96.1281674218
5,2.0,2.5,91.6877342531
5,2.0,3.0,91.1701797202
5,2.0,3.0,95.3232869404
5,2.0,3.0,92.6921130629
5,2.0,3.0,90.9577012478
5,2.0,3.0,90.5695146643
5,2.5,2.0,96.6983312056
5,2.5,2.0,93.6152237591
5,2.5,2.0,95.6904259677
5,2.5,2.0,100.579276351
5,2.5,2.0,98.6966887049
5,2.5,2.5,94.6356158427
5,2.5,2.5,96.3506261065
5,2.5,2.5,100.733066124
5,2.5,2.5,100.186213476
5,2.5,2.5,95.5320730984
