Noise,SigD,SigI,PSNR
30,2.0,2.5,58.9918012441
30,2.0,3.0,60.6773210373
30,2.0,3.0,58.8240194937
30,2.0,3.0,60.2573541237
30,2.0,3.0,65.1611038839
30,2.0,3.0,62.0546616319
30,2.5,2.0,65.9384769228
30,2.5,2.0,64.7675568457
30,2.5,2.0,60.9218269806
30,2.5,2.0,60.2958722994
30,2.5,2.0,65.5690819726
30,2.5,2.5,66.8245722336
30,2.5,2.5,61.2873113274
30,2.5,2.5,59.5670248186
30,2.5,2.5,62.7841903425
30,2.5,2.5,59.3405276372
30,2.5,3.0,62.3185163699
30,2.5,3.0,58.2803407629
30,2.5,3.0,62.6668139121
30,2.5,3.0,64.072104094
30,2.5,3.0,66.1410656096
30,3.0,2.0,64.9879959967
30,3.0,2.0,65.3075984834
30,3.0,2.0,66.4620015583
30,3.0,2.0,65.6904686129
30,3.0,2.0,64.3191466839
30,3.0,2.5,65.1252493229
30,3.0,2.5,64.9565684827
30,3.0,2.5,65.6680073448
30,3.0,2.5,63.2703060115
30,3.0,2.5,67.6172916585
30,3.0,3.0,65.4956504895
30,3.0,3.0,62.5308425902
30,3.0,3.0,62.260024918
30,3.0,3.0,59.7780651518
30,3.0,3.0,64.4236310927
1,2.0,2.0,105.361432303
1,2.0,2.0,105.864158308
1,2.0,2.0,107.971462268
1,2.0,2.0,106.434332555
1,2.0,2.0,106.004248975
1,2.0,2.5,106.996965416
1,2.0,2.5,105.331859118
1,2.0,2.5,105.875865142
1,2.0,2.5,105.839202829
1,2.0,2.5,105.181900925
1,2.0,3.0,104.81267552
1,2.0,3.0,103.977617775
1,2.0,3.0,103.744635501
1,2.0,3.0,106.386024799
1,2.0,3.0,103.523869857
1,2.5,2.0,101.564573213
1,2.5,2.0,101.914345976
1,2.5,2.0,102.328624167
1,2.5,2.0,101.594417754
1,2.5,2.0,101.696602706
1,2.5,2.5,99.8917625603
1,2.5,2.5,99.5209194758
1,2.5,2.5,100.998094001
1,2.5,2.5,100.458595978
1,2.5,2.5,99.1880544051
1,2.5,3.0,99.3685733705
1,2.5,3.0,98.7221081983
1,2.5,3.0,99.7743364615
1,2.5,3.0,100.838444822
1,2.5,3.0,99.297427462
1,3.0,2.0,97.9040895356
1,3.0,2.0,97.6839504806
1,3.0,2.0,98.305542639
1,3.0,2.0,98.4804880654
1,3.0,2.0,97.0383468097
1,3.0,2.5,95.946871323
1,3.0,2.5,95.7418760445
1,3.0,2.5,96.4153104933
1,3.0,2.5,96.9203749506
1,3.0,2.5,95.9925598077
1,3.0,3.0,94.4714975962
1,3.0,3.0,94.6990239996
1,3.0,3.0,94.062811102
1,3.0,3.0,94.7701901821
1,3.0,3.0,94.0174912619
5,2.0,2.0,97.0375933451
5,2.0,2.0,95.4494838343
5,2.0,2.0,94.5159602395
5,2.0,2.0,95.2751327045
5,2.0,2.0,95.4795473039
5,2.0,2.5,96.7902349419
5,2.0,2.5,98.0075892164
5,2.0,2.5,99.1496856878
5,2.0,2.5,99.158389727
5,2.0,2.5,93.1961242747
5,2.0,3.0,97.6070201694
5,2.0,3.0,96.4860962319
5,2.0,3.0,91.7315540648
5,2.0,3.0,91.5196620399
5,2.0,3.0,94.8101614105
5,2.5,2.0,93.051235394
5,2.5,2.0,95.0773779722
5,2.5,2.0,93.6584588869
5,2.5,2.0,93.3253478518
5,2.5,2.0,96.6358018937
5,2.5,2.5,94.1341948002
5,2.5,2.5,93.6769348804
5,2.5,2.5,94.8422595379
5,2.5,2.5,97.2131134066
5,2.5,2.5,91.9958511109
5,2.5,3.0,92.1285412529
5,2.5,3.0,93.3141399347
5,2.5,3.0,90.8209412628
5,2.5,3.0,96.7127888309
5,2.5,3.0,94.2764605011
5,3.0,2.0,90.812110119
5,3.0,2.0,91.6573923844
5,3.0,2.0,92.4497775567
5,3.0,2.0,93.21770448
5,3.0,2.0,92.329154683
5,3.0,2.5,94.5270556806
5,3.0,2.5,91.2489235234
5,3.0,2.5,93.2998442553
5,3.0,2.5,92.9573500908
5,3.0,2.5,88.2625699214
5,3.0,3.0,92.481092665
5,3.0,3.0,92.6568068352
5,3.0,3.0,91.7752186317
5,3.0,3.0,90.2922572655
5,3.0,3.0,90.6627060067
10,2.0,2.0,83.8935064716
10,2.0,2.0,82.5947093822
10,2.0,2.0,84.1103232511
10,2.0,2.0,86.7939164114
10,2.0,2.0,80.0838915065
10,2.0,2.5,86.526618857
10,2.0,2.5,83.1098370686
10,2.0,2.5,85.9384713091
10,2.0,2.5,84.7199473357
10,2.0,2.5,83.6069413151
10,2.0,3.0,87.3839550382
10,2.0,3.0,84.7279256164
10,2.0,3.0,85.2703542309
10,2.0,3.0,84.1525023242
10,2.0,3.0,85.7427683099
10,2.5,2.0,87.2798601736
10,2.5,2.0,81.0527908156
10,2.5,2.0,86.8100777998
10,2.5,2.0,83.4439955635
10,2.5,2.0,88.7406155155
10,2.5,2.5,86.2396182203
10,2.5,2.5,81.1126810132
10,2.5,2.5,84.9018169235
10,2.5,2.5,86.221705516
10,2.5,2.5,84.8557529522
10,2.5,3.0,85.7206729865
10,2.5,3.0,83.371747289
