Noise,SigD1,SigI1,SigD2,SigI2,PSNR
1,2.0,2.0,2.0,2.0,107.176614702
1,2.0,2.0,2.0,2.0,106.038745493
1,2.0,2.0,2.0,2.0,107.627534294
1,2.0,2.0,2.0,2.0,106.140446275
1,2.0,2.0,2.0,2.0,107.704827868
1,2.0,2.0,2.0,2.5,106.281976521
1,2.0,2.0,2.0,2.5,104.779628134
1,2.0,2.0,2.0,2.5,105.463644672
1,2.0,2.0,2.0,2.5,106.249513161
1,2.0,2.0,2.0,2.5,105.65717815
1,2.0,2.0,2.0,3.0,106.541140342
1,2.0,2.0,2.0,3.0,106.438573701
1,2.0,2.0,2.0,3.0,106.175919029
1,2.0,2.0,2.0,3.0,105.862870006
1,2.0,2.0,2.0,3.0,106.381250006
1,2.0,2.0,2.5,2.0,103.117082828
1,2.0,2.0,2.5,2.0,103.072288535
1,2.0,2.0,2.5,2.0,104.766157022
1,2.0,2.0,2.5,2.0,104.392505887
1,2.0,2.0,2.5,2.0,104.406485294
1,2.0,2.0,2.5,2.5,103.113560466
1,2.0,2.0,2.5,2.5,102.910827148
1,2.0,2.0,2.5,2.5,103.88438364
1,2.0,2.0,2.5,2.5,102.887123539
1,2.0,2.0,2.5,2.5,103.837022656
1,2.0,2.0,2.5,3.0,102.641659218
1,2.0,2.0,2.5,3.0,103.281547069
1,2.0,2.0,2.5,3.0,102.001329688
1,2.0,2.0,2.5,3.0,101.879026398
1,2.0,2.0,2.5,3.0,102.072478337
1,2.0,2.0,3.0,2.0,101.977540935
1,2.0,2.0,3.0,2.0,101.068525477
1,2.0,2.0,3.0,2.0,102.403650002
1,2.0,2.0,3.0,2.0,101.709044251
1,2.0,2.0,3.0,2.0,101.814304234
1,2.0,2.0,3.0,2.5,100.921212687
1,2.0,2.0,3.0,2.5,101.175986443
1,2.0,2.0,3.0,2.5,100.913571801
1,2.0,2.0,3.0,2.5,100.339096046
1,2.0,2.0,3.0,2.5,100.242957098
1,2.0,2.0,3.0,3.0,99.7806130427
1,2.0,2.0,3.0,3.0,99.6532654549
1,2.0,2.0,3.0,3.0,100.509831754
1,2.0,2.0,3.0,3.0,98.936121724
1,2.0,2.0,3.0,3.0,99.2487576833
1,2.0,2.5,2.0,2.0,105.814565836
1,2.0,2.5,2.0,2.0,105.480557185
1,2.0,2.5,2.0,2.0,107.301994564
1,2.0,2.5,2.0,2.0,106.904948696
1,2.0,2.5,2.0,2.0,105.36441675
1,2.0,2.5,2.0,2.5,105.299985226
1,2.0,2.5,2.0,2.5,106.617338462
1,2.0,2.5,2.0,2.5,105.151258096
1,2.0,2.5,2.0,2.5,104.997846715
1,2.0,2.5,2.0,2.5,106.08245193
1,2.0,2.5,2.0,3.0,105.351844404
1,2.0,2.5,2.0,3.0,105.08422139
1,2.0,2.5,2.0,3.0,106.021345306
1,2.0,2.5,2.0,3.0,105.232605838
1,2.0,2.5,2.0,3.0,105.145404098
1,2.0,2.5,2.5,2.0,103.44326543
1,2.0,2.5,2.5,2.0,103.832734356
1,2.0,2.5,2.5,2.0,103.233136478
1,2.0,2.5,2.5,2.0,103.529622112
1,2.0,2.5,2.5,2.0,104.203831216
1,2.0,2.5,2.5,2.5,101.742720324
1,2.0,2.5,2.5,2.5,102.251281363
1,2.0,2.5,2.5,2.5,103.302416823
1,2.0,2.5,2.5,2.5,101.98951138
1,2.0,2.5,2.5,2.5,101.718155069
1,2.0,2.5,2.5,3.0,102.339101065
1,2.0,2.5,2.5,3.0,100.928022871
1,2.0,2.5,2.5,3.0,102.938415903
1,2.0,2.5,2.5,3.0,101.794963189
1,2.0,2.5,2.5,3.0,101.200390239
1,2.0,2.5,3.0,2.0,101.116331808
1,2.0,2.5,3.0,2.0,101.807581751
1,2.0,2.5,3.0,2.0,101.030905786
1,2.0,2.5,3.0,2.0,101.258610665
1,2.0,2.5,3.0,2.0,101.337248318
1,2.0,2.5,3.0,2.5,100.51928692
1,2.0,2.5,3.0,2.5,100.004679997
1,2.0,2.5,3.0,2.5,101.310766827
1,2.0,2.5,3.0,2.5,100.59317669
1,2.0,2.5,3.0,2.5,99.1933607072
1,2.0,2.5,3.0,3.0,99.5863139278
1,2.0,2.5,3.0,3.0,99.1349485107
1,2.0,2.5,3.0,3.0,99.135427169
1,2.0,2.5,3.0,3.0,98.7356647207
1,2.0,2.5,3.0,3.0,99.1098037125
1,2.0,3.0,2.0,2.0,106.667836063
1,2.0,3.0,2.0,2.0,106.478444475
1,2.0,3.0,2.0,2.0,105.577769491
1,2.0,3.0,2.0,2.0,105.057457203
1,2.0,3.0,2.0,2.0,105.983737552
1,2.0,3.0,2.0,2.5,106.258070198
1,2.0,3.0,2.0,2.5,104.788708839
1,2.0,3.0,2.0,2.5,106.177415569
1,2.0,3.0,2.0,2.5,104.839544325
1,2.0,3.0,2.0,2.5,104.536259737
1,2.0,3.0,2.0,3.0,105.572516652
1,2.0,3.0,2.0,3.0,104.905804859
1,2.0,3.0,2.0,3.0,104.172408227
1,2.0,3.0,2.0,3.0,105.02381824
1,2.0,3.0,2.0,3.0,104.356202916
1,2.0,3.0,2.5,2.0,102.544629272
1,2.0,3.0,2.5,2.0,101.758109891
1,2.0,3.0,2.5,2.0,103.445537746
1,2.0,3.0,2.5,2.0,103.261670583
1,2.0,3.0,2.5,2.0,103.779484967
1,2.0,3.0,2.5,2.5,102.553400138
1,2.0,3.0,2.5,2.5,102.599858464
1,2.0,3.0,2.5,2.5,102.839053234
1,2.0,3.0,2.5,2.5,102.834326698
1,2.0,3.0,2.5,2.5,102.172227989
1,2.0,3.0,2.5,3.0,101.601636005
1,2.0,3.0,2.5,3.0,102.573842998
1,2.0,3.0,2.5,3.0,101.853944673
1,2.0,3.0,2.5,3.0,102.108540015
1,2.0,3.0,2.5,3.0,102.44465736
1,2.0,3.0,3.0,2.0,101.020419811
1,2.0,3.0,3.0,2.0,100.863859307
1,2.0,3.0,3.0,2.0,101.975136851
1,2.0,3.0,3.0,2.0,100.93085747
1,2.0,3.0,3.0,2.0,101.310331151
1,2.0,3.0,3.0,2.5,100.182961754
1,2.0,3.0,3.0,2.5,99.1865713291
1,2.0,3.0,3.0,2.5,99.9171384742
1,2.0,3.0,3.0,2.5,100.756284856
1,2.0,3.0,3.0,2.5,99.5171895371
1,2.0,3.0,3.0,3.0,98.707090245
1,2.0,3.0,3.0,3.0,99.0315151015
1,2.0,3.0,3.0,3.0,99.0496382125
1,2.0,3.0,3.0,3.0,99.7262088501
1,2.0,3.0,3.0,3.0,99.4336007062
1,2.5,2.0,2.0,2.0,103.476245245
1,2.5,2.0,2.0,2.0,104.735362429
1,2.5,2.0,2.0,2.0,103.941014879
1,2.5,2.0,2.0,2.0,104.111039361
1,2.5,2.0,2.0,2.0,103.707905372
1,2.5,2.0,2.0,2.5,104.773217332
1,2.5,2.0,2.0,2.5,103.218942811
1,2.5,2.0,2.0,2.5,103.330943626
1,2.5,2.0,2.0,2.5,102.481056998
1,2.5,2.0,2.0,2.5,103.317700525
1,2.5,2.0,2.0,3.0,103.289404156
1,2.5,2.0,2.0,3.0,103.586209045
1,2.5,2.0,2.0,3.0,103.166557875
1,2.5,2.0,2.0,3.0,102.378846612
1,2.5,2.0,2.0,3.0,103.504476466
1,2.5,2.0,2.5,2.0,101.341209432
1,2.5,2.0,2.5,2.0,101.578759846
1,2.5,2.0,2.5,2.0,102.312258874
1,2.5,2.0,2.5,2.0,101.17292896
1,2.5,2.0,2.5,2.0,101.708379863
1,2.5,2.0,2.5,2.5,100.91613394
1,2.5,2.0,2.5,2.5,99.6850298231
1,2.5,2.0,2.5,2.5,101.267003323
1,2.5,2.0,2.5,2.5,101.39920935
1,2.5,2.0,2.5,2.5,101.002110847
1,2.5,2.0,2.5,3.0,100.808936717
1,2.5,2.0,2.5,3.0,100.803207194
1,2.5,2.0,2.5,3.0,100.892665771
1,2.5,2.0,2.5,3.0,100.774310741
