Noise,SigD1,SigI1,SigD2,SigI2,PSNR
1,2,2,2,2,121.384058255
1,2,2,2,2,124.848048021
1,2,2,2,2,125.997992787
1,2,2,2,2,130.509526661
1,2,2,2,2,126.537715639
1,2,2,2,2.5,123.555132298
1,2,2,2,2.5,128.20597794
1,2,2,2,2.5,127.688025916
1,2,2,2,2.5,128.086301732
1,2,2,2,2.5,126.801789949
1,2,2,2,3,126.97508276
1,2,2,2,3,122.458667603
1,2,2,2,3,123.384624509
1,2,2,2,3,125.729705606
1,2,2,2,3,129.855540452
1,2,2,2.5,2,126.829700873
1,2,2,2.5,2,125.487220494
1,2,2,2.5,2,127.134954565
1,2,2,2.5,2,123.922628185
1,2,2,2.5,2,128.701657572
1,2,2,2.5,2.5,126.720141058
1,2,2,2.5,2.5,123.407905655
1,2,2,2.5,2.5,127.096612966
1,2,2,2.5,2.5,122.196333135
1,2,2,2.5,2.5,122.079142026
1,2,2,2.5,3,127.730470563
1,2,2,2.5,3,125.864607772
1,2,2,2.5,3,128.367748948
1,2,2,2.5,3,124.247984701
1,2,2,2.5,3,124.258285616
1,2,2,3,2,126.973851812
1,2,2,3,2,127.186629559
1,2,2,3,2,129.676749566
1,2,2,3,2,123.849155913
1,2,2,3,2,123.074533519
1,2,2,3,2.5,127.382179969
1,2,2,3,2.5,125.487078591
1,2,2,3,2.5,125.068760379
1,2,2,3,2.5,126.177724786
1,2,2,3,2.5,123.989779944
1,2,2,3,3,128.101821728
1,2,2,3,3,124.987337686
1,2,2,3,3,128.742084049
1,2,2,3,3,125.134026732
1,2,2,3,3,126.454181184
1,2,2.5,2,2,128.135501993
1,2,2.5,2,2,128.603253726
1,2,2.5,2,2,126.067869551
1,2,2.5,2,2,128.444521383
1,2,2.5,2,2,124.944039874
1,2,2.5,2,2.5,128.011941139
1,2,2.5,2,2.5,122.04671144
1,2,2.5,2,2.5,129.447126457
1,2,2.5,2,2.5,125.952963855
1,2,2.5,2,2.5,125.300459853
1,2,2.5,2,3,128.289015007
1,2,2.5,2,3,125.275717284
1,2,2.5,2,3,129.810262673
1,2,2.5,2,3,128.853971591
1,2,2.5,2,3,126.849980972
1,2,2.5,2.5,2,126.686422592
1,2,2.5,2.5,2,123.725202922
1,2,2.5,2.5,2,128.089896608
1,2,2.5,2.5,2,125.29414665
1,2,2.5,2.5,2,126.738616422
1,2,2.5,2.5,2.5,125.787653785
1,2,2.5,2.5,2.5,124.407418196
1,2,2.5,2.5,2.5,130.879820254
1,2,2.5,2.5,2.5,124.305142582
1,2,2.5,2.5,2.5,127.148879263
1,2,2.5,2.5,3,124.386298383
1,2,2.5,2.5,3,127.338397083
1,2,2.5,2.5,3,124.845414227
1,2,2.5,2.5,3,127.881539595
1,2,2.5,2.5,3,126.031000693
1,2,2.5,3,2,123.305573225
1,2,2.5,3,2,125.875943886
1,2,2.5,3,2,126.677034656
1,2,2.5,3,2,126.499782967
1,2,2.5,3,2,126.808548796
1,2,2.5,3,2.5,124.754200419
1,2,2.5,3,2.5,128.251754916
1,2,2.5,3,2.5,125.657962937
1,2,2.5,3,2.5,128.511657412
1,2,2.5,3,2.5,121.882389568
1,2,2.5,3,3,126.371860143
1,2,2.5,3,3,124.840158338
1,2,2.5,3,3,126.655081931
1,2,2.5,3,3,129.074087047
1,2,2.5,3,3,127.77920271
1,2,3,2,2,124.286672083
1,2,3,2,2,123.979311609
1,2,3,2,2,127.025367779
1,2,3,2,2,126.722784413
1,2,3,2,2,127.112554011
1,2,3,2,2.5,127.068825091
1,2,3,2,2.5,128.118733575
1,2,3,2,2.5,128.809427339
1,2,3,2,2.5,124.962047105
1,2,3,2,2.5,129.756176493
1,2,3,2,3,124.913803376
1,2,3,2,3,126.957393963
1,2,3,2,3,124.820178064
1,2,3,2,3,124.135794612
1,2,3,2,3,127.799980978
1,2,3,2.5,2,128.563680526
1,2,3,2.5,2,127.135739938
1,2,3,2.5,2,124.116156361
1,2,3,2.5,2,127.154795106
1,2,3,2.5,2,121.318786134
1,2,3,2.5,2.5,126.701403371
1,2,3,2.5,2.5,130.372349824
1,2,3,2.5,2.5,125.735532302
1,2,3,2.5,2.5,129.18930262
1,2,3,2.5,2.5,125.079257878
1,2,3,2.5,3,124.152143421
1,2,3,2.5,3,127.704474509
1,2,3,2.5,3,130.387482339
1,2,3,2.5,3,127.955685182
1,2,3,2.5,3,129.261081179
1,2,3,3,2,123.373532613
1,2,3,3,2,125.801535099
1,2,3,3,2,122.321281442
1,2,3,3,2,129.079799845
1,2,3,3,2,124.739223129
1,2,3,3,2.5,126.392201058
1,2,3,3,2.5,126.421805947
1,2,3,3,2.5,127.045865424
1,2,3,3,2.5,127.747108051
1,2,3,3,2.5,126.661524956
1,2,3,3,3,125.697966818
1,2,3,3,3,125.779505757
1,2,3,3,3,123.512820416
