Noise,SigD1,SigI1,SigD2,SigI2,PSNR
1,2.0,3.0,2.5,2.5,131.116822695
1,2.0,3.0,2.5,2.5,129.276985303
1,2.0,3.0,2.5,3.0,128.018181087
1,2.0,3.0,2.5,3.0,125.099705158
1,2.0,3.0,2.5,3.0,126.01602085
1,2.0,3.0,2.5,3.0,123.616179678
1,2.0,3.0,2.5,3.0,129.681759454
1,2.0,3.0,3.0,2.0,128.712846279
1,2.0,3.0,3.0,2.0,127.11501212
1,2.0,3.0,3.0,2.0,124.549298499
1,2.0,3.0,3.0,2.0,128.081651265
1,2.0,3.0,3.0,2.0,128.538584786
1,2.0,3.0,3.0,2.5,130.777080857
1,2.0,3.0,3.0,2.5,128.636895768
1,2.0,3.0,3.0,2.5,128.088115495
1,2.0,3.0,3.0,2.5,128.610426204
1,2.0,3.0,3.0,2.5,122.889820905
1,2.0,3.0,3.0,3.0,129.551151885
1,2.0,3.0,3.0,3.0,121.636120618
1,2.0,3.0,3.0,3.0,127.303944247
1,2.0,3.0,3.0,3.0,123.265835439
1,2.0,3.0,3.0,3.0,128.226491454
1,2.5,2.0,2.0,2.0,132.683380652
1,2.5,2.0,2.0,2.0,125.863166552
1,2.5,2.0,2.0,2.0,125.704630914
1,2.5,2.0,2.0,2.0,128.145761745
1,2.5,2.0,2.0,2.0,131.583712937
1,2.5,2.0,2.0,2.5,126.565241768
1,2.5,2.0,2.0,2.5,126.112554611
1,2.5,2.0,2.0,2.5,127.691010028
1,2.5,2.0,2.0,2.5,126.223319504
1,2.5,2.0,2.0,2.5,126.108742934
1,2.5,2.0,2.0,3.0,125.574333742
1,2.5,2.0,2.0,3.0,126.821298689
1,2.5,2.0,2.0,3.0,126.732377329
1,2.5,2.0,2.0,3.0,124.422575988
1,2.5,2.0,2.0,3.0,125.427176846
1,2.5,2.0,2.5,2.0,123.841558668
1,2.5,2.0,2.5,2.0,127.968092879
1,2.5,2.0,2.5,2.0,129.697532418
1,2.5,2.0,2.5,2.0,126.643719357
1,2.5,2.0,2.5,2.0,130.384891756
1,2.5,2.0,2.5,2.5,131.118938749
1,2.5,2.0,2.5,2.5,123.808386526
1,2.5,2.0,2.5,2.5,121.558923179
1,2.5,2.0,2.5,2.5,128.137705128
1,2.5,2.0,2.5,2.5,130.075053231
1,2.5,2.0,2.5,3.0,127.83764142
1,2.5,2.0,2.5,3.0,129.18385909
1,2.5,2.0,2.5,3.0,124.908572584
1,2.5,2.0,2.5,3.0,125.497235097
1,2.5,2.0,2.5,3.0,129.252650422
1,2.5,2.0,3.0,2.0,124.407651769
1,2.5,2.0,3.0,2.0,127.736489848
1,2.5,2.0,3.0,2.0,121.841470299
1,2.5,2.0,3.0,2.0,129.054069099
1,2.5,2.0,3.0,2.0,125.038488209
1,2.5,2.0,3.0,2.5,124.856871321
1,2.5,2.0,3.0,2.5,124.197952386
1,2.5,2.0,3.0,2.5,124.893354594
1,2.5,2.0,3.0,2.5,127.319101459
1,2.5,2.0,3.0,2.5,122.391015409
1,2.5,2.0,3.0,3.0,123.840467557
1,2.5,2.0,3.0,3.0,127.892186037
1,2.5,2.0,3.0,3.0,126.664934722
1,2.5,2.0,3.0,3.0,122.534975097
1,2.5,2.0,3.0,3.0,121.6878244
1,2.5,2.5,2.0,2.0,128.890748424
1,2.5,2.5,2.0,2.0,124.541160503
1,2.5,2.5,2.0,2.0,126.216901607
1,2.5,2.5,2.0,2.0,126.733752549
1,2.5,2.5,2.0,2.0,127.985384791
1,2.5,2.5,2.0,2.5,122.319240701
1,2.5,2.5,2.0,2.5,129.586415363
1,2.5,2.5,2.0,2.5,128.604362877
1,2.5,2.5,2.0,2.5,127.123080544
1,2.5,2.5,2.0,2.5,126.88823981
1,2.5,2.5,2.0,3.0,124.155936251
1,2.5,2.5,2.0,3.0,125.741358521
1,2.5,2.5,2.0,3.0,124.794829155
1,2.5,2.5,2.0,3.0,127.366269836
1,2.5,2.5,2.0,3.0,125.217843672
1,2.5,2.5,2.5,2.0,126.918547559
1,2.5,2.5,2.5,2.0,126.537955985
1,2.5,2.5,2.5,2.0,124.691999994
1,2.5,2.5,2.5,2.0,124.047359631
1,2.5,2.5,2.5,2.0,131.832410458
1,2.5,2.5,2.5,2.5,130.217034489
1,2.5,2.5,2.5,2.5,124.599549886
1,2.5,2.5,2.5,2.5,122.776191317
1,2.5,2.5,2.5,2.5,127.86594517
1,2.5,2.5,2.5,2.5,127.692708158
1,2.5,2.5,2.5,3.0,124.37411863
1,2.5,2.5,2.5,3.0,125.525437426
1,2.5,2.5,2.5,3.0,127.178630403
1,2.5,2.5,2.5,3.0,127.716324682
1,2.5,2.5,2.5,3.0,127.138633127
1,2.5,2.5,3.0,2.0,128.966986539
1,2.5,2.5,3.0,2.0,128.315464919
1,2.5,2.5,3.0,2.0,121.696206704
1,2.5,2.5,3.0,2.0,129.710752277
1,2.5,2.5,3.0,2.0,127.088396203
1,2.5,2.5,3.0,2.5,127.970584343
1,2.5,2.5,3.0,2.5,123.402835798
1,2.5,2.5,3.0,2.5,124.666997745
1,2.5,2.5,3.0,2.5,124.481072574
1,2.5,2.5,3.0,2.5,126.349329468
1,2.5,2.5,3.0,3.0,123.247108894
1,2.5,2.5,3.0,3.0,126.711397025
1,2.5,2.5,3.0,3.0,122.620241467
1,2.5,2.5,3.0,3.0,123.161646729
1,2.5,2.5,3.0,3.0,122.021536252
1,2.5,3.0,2.0,2.0,125.747897305
1,2.5,3.0,2.0,2.0,125.143543655
1,2.5,3.0,2.0,2.0,125.927273769
1,2.5,3.0,2.0,2.0,126.877992822
1,2.5,3.0,2.0,2.0,125.985395294
1,2.5,3.0,2.0,2.5,125.306391829
1,2.5,3.0,2.0,2.5,128.124653125
1,2.5,3.0,2.0,2.5,130.319686497
1,2.5,3.0,2.0,2.5,124.159091489
1,2.5,3.0,2.0,2.5,129.796008892
1,2.5,3.0,2.0,3.0,125.045404909
1,2.5,3.0,2.0,3.0,127.294829971
1,2.5,3.0,2.0,3.0,127.007929375
1,2.5,3.0,2.0,3.0,126.970037236
1,2.5,3.0,2.0,3.0,129.056015143
1,2.5,3.0,2.5,2.0,125.127553538
1,2.5,3.0,2.5,2.0,128.070351143
1,2.5,3.0,2.5,2.0,125.823712622
1,2.5,3.0,2.5,2.0,127.191296339
1,2.5,3.0,2.5,2.0,127.991236086
1,2.5,3.0,2.5,2.5,127.574599366
1,2.5,3.0,2.5,2.5,127.296025614
1,2.5,3.0,2.5,2.5,125.637298774
1,2.5,3.0,2.5,2.5,128.537800337
1,2.5,3.0,2.5,2.5,125.881553648
1,2.5,3.0,2.5,3.0,126.019895871
1,2.5,3.0,2.5,3.0,124.081165131
1,2.5,3.0,2.5,3.0,127.920490828
1,2.5,3.0,2.5,3.0,127.301904191
1,2.5,3.0,2.5,3.0,127.991510901
1,2.5,3.0,3.0,2.0,127.82410165
1,2.5,3.0,3.0,2.0,124.774438232
1,2.5,3.0,3.0,2.0,131.238157477
1,2.5,3.0,3.0,2.0,127.608157123
1,2.5,3.0,3.0,2.0,127.302541125
1,2.5,3.0,3.0,2.5,126.738641383
1,2.5,3.0,3.0,2.5,127.452905593
1,2.5,3.0,3.0,2.5,123.808969033
1,2.5,3.0,3.0,2.5,123.705821163
1,2.5,3.0,3.0,2.5,127.759420527
1,2.5,3.0,3.0,3.0,126.763294843
1,2.5,3.0,3.0,3.0,129.196216047
1,2.5,3.0,3.0,3.0,124.939887719
1,2.5,3.0,3.0,3.0,123.71735798
1,2.5,3.0,3.0,3.0,120.667270445
1,3.0,2.0,2.0,2.0,124.013950066
1,3.0,2.0,2.0,2.0,126.203959895
1,3.0,2.0,2.0,2.0,125.850132144
1,3.0,2.0,2.0,2.0,127.044351597
1,3.0,2.0,2.0,2.0,129.006817159
1,3.0,2.0,2.0,2.5,125.876921175
1,3.0,2.0,2.0,2.5,126.248146756
1,3.0,2.0,2.0,2.5,125.107312412
1,3.0,2.0,2.0,2.5,124.098078934
1,3.0,2.0,2.0,2.5,126.746520722
1,3.0,2.0,2.0,3.0,127.443139774
1,3.0,2.0,2.0,3.0,130.988735678
1,3.0,2.0,2.0,3.0,129.272183984
1,3.0,2.0,2.0,3.0,126.371432793
1,3.0,2.0,2.0,3.0,128.0006684
1,3.0,2.0,2.5,2.0,125.069426529
1,3.0,2.0,2.5,2.0,126.232473611
1,3.0,2.0,2.5,2.0,129.457596462
1,3.0,2.0,2.5,2.0,122.313566473
1,3.0,2.0,2.5,2.0,127.188899133
1,3.0,2.0,2.5,2.5,124.163720849
1,3.0,2.0,2.5,2.5,126.345640675
1,3.0,2.0,2.5,2.5,127.337462736
1,3.0,2.0,2.5,2.5,122.548182572
1,3.0,2.0,2.5,2.5,125.319731257
1,3.0,2.0,2.5,3.0,132.478085999
1,3.0,2.0,2.5,3.0,127.238513902
1,3.0,2.0,2.5,3.0,124.382262041
1,3.0,2.0,2.5,3.0,127.469535136
1,3.0,2.0,2.5,3.0,130.199352028
1,3.0,2.0,3.0,2.0,122.708018953
1,3.0,2.0,3.0,2.0,126.423151462
1,3.0,2.0,3.0,2.0,127.219794604
1,3.0,2.0,3.0,2.0,126.899603057
1,3.0,2.0,3.0,2.0,127.062639098
1,3.0,2.0,3.0,2.5,123.71108761
1,3.0,2.0,3.0,2.5,124.594766766
1,3.0,2.0,3.0,2.5,123.174664716
1,3.0,2.0,3.0,2.5,122.65632363
1,3.0,2.0,3.0,2.5,120.911922918
1,3.0,2.0,3.0,3.0,124.811954736
1,3.0,2.0,3.0,3.0,127.95736187
1,3.0,2.0,3.0,3.0,124.519685091
1,3.0,2.0,3.0,3.0,125.174916924
1,3.0,2.0,3.0,3.0,122.119556345
1,3.0,2.5,2.0,2.0,127.081560327
1,3.0,2.5,2.0,2.0,129.500635707
1,3.0,2.5,2.0,2.0,130.986629799
1,3.0,2.5,2.0,2.0,129.32277844
1,3.0,2.5,2.0,2.0,124.736366443
1,3.0,2.5,2.0,2.5,126.592468026
1,3.0,2.5,2.0,2.5,124.982316277
1,3.0,2.5,2.0,2.5,125.464111763
1,3.0,2.5,2.0,2.5,126.026484342
1,3.0,2.5,2.0,2.5,122.769967645
1,3.0,2.5,2.0,3.0,123.853119087
1,3.0,2.5,2.0,3.0,124.308456874
1,3.0,2.5,2.0,3.0,127.935753226
1,3.0,2.5,2.0,3.0,129.64951299
1,3.0,2.5,2.0,3.0,124.354282356
1,3.0,2.5,2.5,2.0,127.36445697
1,3.0,2.5,2.5,2.0,125.087813274
1,3.0,2.5,2.5,2.0,126.631177949
1,3.0,2.5,2.5,2.0,125.582889772
1,3.0,2.5,2.5,2.0,126.008356019
1,3.0,2.5,2.5,2.5,127.572851641
