Noise,SigD,SigI,Beta,Window,T,PSNR
1,2.0,2.0,0.5,7,0.3333,98.0126845535
1,2.0,2.0,0.5,7,0.3333,97.8274301138
1,2.0,2.0,0.5,7,0.3333,98.0807154533
1,2.0,2.0,0.5,7,0.3333,98.2365968087
1,2.0,2.0,0.5,7,0.3333,98.0333277082
1,2.0,2.0,0.5,7,0.6666,98.3132996775
1,2.0,2.0,0.5,7,0.6666,98.0009827181
1,2.0,2.0,0.5,7,0.6666,97.5505136019
1,2.0,2.0,0.5,7,0.6666,99.1251890162
1,2.0,2.0,0.5,7,0.6666,97.5110751622
1,2.0,2.0,1.0,7,0.3333,91.6991603238
1,2.0,2.0,1.0,7,0.3333,91.1553467328
1,2.0,2.0,1.0,7,0.3333,90.872289313
1,2.0,2.0,1.0,7,0.3333,91.2988130581
1,2.0,2.0,1.0,7,0.3333,91.3608933274
1,2.0,2.0,1.0,7,0.6666,90.6583098558
1,2.0,2.0,1.0,7,0.6666,90.9832650213
1,2.0,2.0,1.0,7,0.6666,90.972420186
1,2.0,2.0,1.0,7,0.6666,90.7676951741
1,2.0,2.0,1.0,7,0.6666,90.4606867034
1,2.0,3.0,0.5,7,0.3333,98.4999445084
1,2.0,3.0,0.5,7,0.3333,99.0061641899
1,2.0,3.0,0.5,7,0.3333,97.4567470518
1,2.0,3.0,0.5,7,0.3333,97.3841085008
1,2.0,3.0,0.5,7,0.3333,99.2991180126
1,2.0,3.0,0.5,7,0.6666,98.5885125143
1,2.0,3.0,0.5,7,0.6666,98.3501702509
1,2.0,3.0,0.5,7,0.6666,97.7245744786
1,2.0,3.0,0.5,7,0.6666,97.4269767988
1,2.0,3.0,0.5,7,0.6666,97.6137937
1,2.0,3.0,1.0,7,0.3333,91.5972074556
1,2.0,3.0,1.0,7,0.3333,91.0943111993
1,2.0,3.0,1.0,7,0.3333,91.0646074229
1,2.0,3.0,1.0,7,0.3333,91.6875143742
1,2.0,3.0,1.0,7,0.3333,91.6294771321
1,2.0,3.0,1.0,7,0.6666,91.5324107802
1,2.0,3.0,1.0,7,0.6666,91.3131778916
1,2.0,3.0,1.0,7,0.6666,90.9666871332
1,2.0,3.0,1.0,7,0.6666,91.2937155572
1,2.0,3.0,1.0,7,0.6666,91.6129132785
1,3.0,2.0,0.5,7,0.3333,96.3770873528
1,3.0,2.0,0.5,7,0.3333,95.2706530642
1,3.0,2.0,0.5,7,0.3333,96.2604796077
1,3.0,2.0,0.5,7,0.3333,95.5782829673
1,3.0,2.0,0.5,7,0.3333,95.5141603018
1,3.0,2.0,0.5,7,0.6666,95.7869107966
1,3.0,2.0,0.5,7,0.6666,96.3791307517
1,3.0,2.0,0.5,7,0.6666,96.2397774578
1,3.0,2.0,0.5,7,0.6666,95.4605566053
1,3.0,2.0,0.5,7,0.6666,97.1443150083
1,3.0,2.0,1.0,7,0.3333,90.7614889488
1,3.0,2.0,1.0,7,0.3333,90.8291636899
1,3.0,2.0,1.0,7,0.3333,89.1736950253
1,3.0,2.0,1.0,7,0.3333,89.939430266
1,3.0,2.0,1.0,7,0.3333,90.3526575561
1,3.0,2.0,1.0,7,0.6666,90.1529221123
1,3.0,2.0,1.0,7,0.6666,90.127908484
1,3.0,2.0,1.0,7,0.6666,90.5382314583
1,3.0,2.0,1.0,7,0.6666,90.492277821
1,3.0,2.0,1.0,7,0.6666,90.4811090405
1,3.0,3.0,0.5,7,0.3333,94.9998586572
1,3.0,3.0,0.5,7,0.3333,95.0802775595
1,3.0,3.0,0.5,7,0.3333,94.8724426491
1,3.0,3.0,0.5,7,0.3333,94.5869337771
1,3.0,3.0,0.5,7,0.3333,95.5783710789
1,3.0,3.0,0.5,7,0.6666,95.9895914333
1,3.0,3.0,0.5,7,0.6666,95.9016738585
1,3.0,3.0,0.5,7,0.6666,94.9036351795
1,3.0,3.0,0.5,7,0.6666,95.5403854884
1,3.0,3.0,0.5,7,0.6666,95.0880860579
1,3.0,3.0,1.0,7,0.3333,90.5051360123
1,3.0,3.0,1.0,7,0.3333,88.9667952836
1,3.0,3.0,1.0,7,0.3333,89.4760397545
1,3.0,3.0,1.0,7,0.3333,89.1657642448
1,3.0,3.0,1.0,7,0.3333,89.4456648733
1,3.0,3.0,1.0,7,0.6666,89.4547705372
1,3.0,3.0,1.0,7,0.6666,89.6107078173
1,3.0,3.0,1.0,7,0.6666,89.9916467555
1,3.0,3.0,1.0,7,0.6666,90.369524143
1,3.0,3.0,1.0,7,0.6666,89.773592587
5,2.0,2.0,0.5,7,0.3333,88.6500735126
5,2.0,2.0,0.5,7,0.3333,92.4306461795
5,2.0,2.0,0.5,7,0.3333,91.5951054588
5,2.0,2.0,0.5,7,0.3333,93.2533741225
5,2.0,2.0,0.5,7,0.3333,95.1864207748
5,2.0,2.0,0.5,7,0.6666,95.1358803919
5,2.0,2.0,0.5,7,0.6666,97.029302063
5,2.0,2.0,0.5,7,0.6666,93.8975560026
5,2.0,2.0,0.5,7,0.6666,94.6916170159
5,2.0,2.0,0.5,7,0.6666,90.6285298042
5,2.0,2.0,1.0,7,0.3333,89.397656416
5,2.0,2.0,1.0,7,0.3333,85.6385569246
5,2.0,2.0,1.0,7,0.3333,90.0312115013
5,2.0,2.0,1.0,7,0.3333,86.6555138057
5,2.0,2.0,1.0,7,0.3333,85.1792123768
5,2.0,2.0,1.0,7,0.6666,87.4222700427
5,2.0,2.0,1.0,7,0.6666,89.6129921861
5,2.0,2.0,1.0,7,0.6666,86.7381721392
5,2.0,2.0,1.0,7,0.6666,90.060036053
5,2.0,2.0,1.0,7,0.6666,86.8129724145
5,2.0,3.0,0.5,7,0.3333,91.5226416353
5,2.0,3.0,0.5,7,0.3333,92.4597501443
5,2.0,3.0,0.5,7,0.3333,91.9565834569
5,2.0,3.0,0.5,7,0.3333,95.2927179939
5,2.0,3.0,0.5,7,0.3333,93.7231624878
5,2.0,3.0,0.5,7,0.6666,93.9089943769
5,2.0,3.0,0.5,7,0.6666,96.3366099168
5,2.0,3.0,0.5,7,0.6666,93.2194381205
5,2.0,3.0,0.5,7,0.6666,93.0537377226
5,2.0,3.0,0.5,7,0.6666,92.2216347009
5,2.0,3.0,1.0,7,0.3333,87.2304572697
5,2.0,3.0,1.0,7,0.3333,87.2224437194
5,2.0,3.0,1.0,7,0.3333,89.2092991405
5,2.0,3.0,1.0,7,0.3333,90.3229401367
5,2.0,3.0,1.0,7,0.3333,88.1559858032
5,2.0,3.0,1.0,7,0.6666,86.2304870958
5,2.0,3.0,1.0,7,0.6666,88.3179736585
5,2.0,3.0,1.0,7,0.6666,90.7662338016
5,2.0,3.0,1.0,7,0.6666,89.9949517395
5,2.0,3.0,1.0,7,0.6666,90.3068880979
5,3.0,2.0,0.5,7,0.3333,92.5558831767
5,3.0,2.0,0.5,7,0.3333,91.83695476
5,3.0,2.0,0.5,7,0.3333,96.3206753923
5,3.0,2.0,0.5,7,0.3333,91.9635517039
5,3.0,2.0,0.5,7,0.3333,93.6932771057
5,3.0,2.0,0.5,7,0.6666,92.1164419718
5,3.0,2.0,0.5,7,0.6666,93.3040282618
5,3.0,2.0,0.5,7,0.6666,96.6171488402
5,3.0,2.0,0.5,7,0.6666,90.4218984821
5,3.0,2.0,0.5,7,0.6666,88.0833695217
5,3.0,2.0,1.0,7,0.3333,87.8712065941
5,3.0,2.0,1.0,7,0.3333,88.4093051846
5,3.0,2.0,1.0,7,0.3333,85.4604973541
5,3.0,2.0,1.0,7,0.3333,86.1787773279
5,3.0,2.0,1.0,7,0.3333,85.6807393589
5,3.0,2.0,1.0,7,0.6666,90.5411703702
5,3.0,2.0,1.0,7,0.6666,88.2209473748
5,3.0,2.0,1.0,7,0.6666,90.2287817806
5,3.0,2.0,1.0,7,0.6666,88.2915562385
5,3.0,2.0,1.0,7,0.6666,87.5500063156
5,3.0,3.0,0.5,7,0.3333,91.5766636396
5,3.0,3.0,0.5,7,0.3333,93.5373466052
5,3.0,3.0,0.5,7,0.3333,90.1655967793
5,3.0,3.0,0.5,7,0.3333,91.1539216701
5,3.0,3.0,0.5,7,0.3333,96.3669075096
5,3.0,3.0,0.5,7,0.6666,92.1796410946
5,3.0,3.0,0.5,7,0.6666,91.2638938108
5,3.0,3.0,0.5,7,0.6666,92.51254812
5,3.0,3.0,0.5,7,0.6666,90.6170355099
5,3.0,3.0,0.5,7,0.6666,93.0438053122
5,3.0,3.0,1.0,7,0.3333,87.0390836766
5,3.0,3.0,1.0,7,0.3333,89.69923392
5,3.0,3.0,1.0,7,0.3333,87.8955909062
5,3.0,3.0,1.0,7,0.3333,88.8026885716
5,3.0,3.0,1.0,7,0.3333,86.3101344246
5,3.0,3.0,1.0,7,0.6666,87.6619249584
5,3.0,3.0,1.0,7,0.6666,90.3879820485
5,3.0,3.0,1.0,7,0.6666,86.675814251
5,3.0,3.0,1.0,7,0.6666,87.2582711144
5,3.0,3.0,1.0,7,0.6666,90.8007444319
10,2.0,2.0,0.5,7,0.3333,81.8715321638
10,2.0,2.0,0.5,7,0.3333,86.0343365995
10,2.0,2.0,0.5,7,0.3333,88.6279679698
10,2.0,2.0,0.5,7,0.3333,84.8792786055
10,2.0,2.0,0.5,7,0.3333,82.2268693268
10,2.0,2.0,0.5,7,0.6666,85.7928747121
10,2.0,2.0,0.5,7,0.6666,85.627710869
10,2.0,2.0,0.5,7,0.6666,85.992912117
10,2.0,2.0,0.5,7,0.6666,88.1583852692
10,2.0,2.0,0.5,7,0.6666,82.6249973915
10,2.0,2.0,1.0,7,0.3333,82.8659913684
10,2.0,2.0,1.0,7,0.3333,82.8429999846
10,2.0,2.0,1.0,7,0.3333,82.3768343796
10,2.0,2.0,1.0,7,0.3333,81.8825333424
10,2.0,2.0,1.0,7,0.3333,81.6258115703
10,2.0,2.0,1.0,7,0.6666,81.994722691
10,2.0,2.0,1.0,7,0.6666,83.3554354913
10,2.0,2.0,1.0,7,0.6666,84.305628292
10,2.0,2.0,1.0,7,0.6666,82.1000059796
10,2.0,2.0,1.0,7,0.6666,81.7796382184
10,2.0,3.0,0.5,7,0.3333,82.5737448289
10,2.0,3.0,0.5,7,0.3333,86.8152246398
10,2.0,3.0,0.5,7,0.3333,87.5453092117
10,2.0,3.0,0.5,7,0.3333,84.6896063516
10,2.0,3.0,0.5,7,0.3333,87.0806496289
10,2.0,3.0,0.5,7,0.6666,85.6930742164
10,2.0,3.0,0.5,7,0.6666,81.7941670815
10,2.0,3.0,0.5,7,0.6666,85.3984547148
10,2.0,3.0,0.5,7,0.6666,83.8927481755
10,2.0,3.0,0.5,7,0.6666,86.0288736065
10,2.0,3.0,1.0,7,0.3333,85.7204351352
10,2.0,3.0,1.0,7,0.3333,82.3198332441
