Noise,SigD,SigI,Beta,Window,T,PSNR
1,2.0,2.0,0.5,7,0.3333,117.038206366
1,2.0,2.0,0.5,7,0.3333,113.645349158
1,2.0,2.0,0.5,7,0.3333,115.935441591
1,2.0,2.0,0.5,7,0.3333,115.053055315
1,2.0,2.0,0.5,7,0.3333,112.907375417
1,2.0,2.0,0.5,7,0.6666,116.575286862
1,2.0,2.0,0.5,7,0.6666,112.068288233
1,2.0,2.0,0.5,7,0.6666,113.025351487
1,2.0,2.0,0.5,7,0.6666,115.049351347
1,2.0,2.0,0.5,7,0.6666,113.68823962
1,2.0,2.0,1.0,7,0.3333,108.040186497
1,2.0,2.0,1.0,7,0.3333,107.097538584
1,2.0,2.0,1.0,7,0.3333,109.014998793
1,2.0,2.0,1.0,7,0.3333,109.338543101
1,2.0,2.0,1.0,7,0.3333,110.349486852
1,2.0,2.0,1.0,7,0.6666,108.054450359
1,2.0,2.0,1.0,7,0.6666,109.473152396
1,2.0,2.0,1.0,7,0.6666,111.653973979
1,2.0,2.0,1.0,7,0.6666,109.372837788
1,2.0,2.0,1.0,7,0.6666,110.352177136
1,2.0,3.0,0.5,7,0.3333,113.076890279
1,2.0,3.0,0.5,7,0.3333,115.404699
1,2.0,3.0,0.5,7,0.3333,113.6206002
1,2.0,3.0,0.5,7,0.3333,118.117431725
1,2.0,3.0,0.5,7,0.3333,113.98309182
1,2.0,3.0,0.5,7,0.6666,114.082153011
1,2.0,3.0,0.5,7,0.6666,114.411565929
1,2.0,3.0,0.5,7,0.6666,116.284426292
1,2.0,3.0,0.5,7,0.6666,114.839173186
1,2.0,3.0,0.5,7,0.6666,113.790246912
1,2.0,3.0,1.0,7,0.3333,111.818990173
1,2.0,3.0,1.0,7,0.3333,112.038880755
1,2.0,3.0,1.0,7,0.3333,110.206846922
1,2.0,3.0,1.0,7,0.3333,109.356242368
1,2.0,3.0,1.0,7,0.3333,107.744816387
1,2.0,3.0,1.0,7,0.6666,110.029915296
1,2.0,3.0,1.0,7,0.6666,110.448806029
1,2.0,3.0,1.0,7,0.6666,109.270931367
1,2.0,3.0,1.0,7,0.6666,111.806789303
1,2.0,3.0,1.0,7,0.6666,109.122808278
1,3.0,2.0,0.5,7,0.3333,117.504312887
1,3.0,2.0,0.5,7,0.3333,115.8273409
1,3.0,2.0,0.5,7,0.3333,115.430179617
1,3.0,2.0,0.5,7,0.3333,115.859918438
1,3.0,2.0,0.5,7,0.3333,114.634178316
1,3.0,2.0,0.5,7,0.6666,115.3760043
1,3.0,2.0,0.5,7,0.6666,114.828322422
1,3.0,2.0,0.5,7,0.6666,111.698412229
1,3.0,2.0,0.5,7,0.6666,115.413679146
1,3.0,2.0,0.5,7,0.6666,113.595244807
1,3.0,2.0,1.0,7,0.3333,106.210378619
1,3.0,2.0,1.0,7,0.3333,106.248200571
1,3.0,2.0,1.0,7,0.3333,106.614254102
1,3.0,2.0,1.0,7,0.3333,108.17928529
1,3.0,2.0,1.0,7,0.3333,111.517569573
1,3.0,2.0,1.0,7,0.6666,108.136650081
1,3.0,2.0,1.0,7,0.6666,107.344977383
1,3.0,2.0,1.0,7,0.6666,108.528773942
1,3.0,2.0,1.0,7,0.6666,108.759438943
1,3.0,2.0,1.0,7,0.6666,109.040253465
1,3.0,3.0,0.5,7,0.3333,114.353848701
1,3.0,3.0,0.5,7,0.3333,115.175225326
1,3.0,3.0,0.5,7,0.3333,114.350413736
1,3.0,3.0,0.5,7,0.3333,111.799638863
1,3.0,3.0,0.5,7,0.3333,112.445974632
1,3.0,3.0,0.5,7,0.6666,111.685236167
1,3.0,3.0,0.5,7,0.6666,113.479258579
1,3.0,3.0,0.5,7,0.6666,115.834450741
1,3.0,3.0,0.5,7,0.6666,113.907229454
1,3.0,3.0,0.5,7,0.6666,111.770717024
1,3.0,3.0,1.0,7,0.3333,108.241675588
1,3.0,3.0,1.0,7,0.3333,108.786011462
1,3.0,3.0,1.0,7,0.3333,108.061976732
1,3.0,3.0,1.0,7,0.3333,108.816744548
1,3.0,3.0,1.0,7,0.3333,107.505186719
1,3.0,3.0,1.0,7,0.6666,108.627788725
1,3.0,3.0,1.0,7,0.6666,107.781330358
1,3.0,3.0,1.0,7,0.6666,109.380759241
1,3.0,3.0,1.0,7,0.6666,108.02243552
1,3.0,3.0,1.0,7,0.6666,107.154778556
5,2.0,2.0,0.5,7,0.3333,94.9350564834
5,2.0,2.0,0.5,7,0.3333,91.5685533109
5,2.0,2.0,0.5,7,0.3333,95.6748196377
5,2.0,2.0,0.5,7,0.3333,89.7700078845
5,2.0,2.0,0.5,7,0.3333,94.6728937602
5,2.0,2.0,0.5,7,0.6666,94.5011840288
5,2.0,2.0,0.5,7,0.6666,94.429117314
5,2.0,2.0,0.5,7,0.6666,93.4877055384
5,2.0,2.0,0.5,7,0.6666,93.2662668783
5,2.0,2.0,0.5,7,0.6666,89.0291328019
5,2.0,2.0,1.0,7,0.3333,94.7822840928
5,2.0,2.0,1.0,7,0.3333,94.0788410622
5,2.0,2.0,1.0,7,0.3333,93.0745447811
5,2.0,2.0,1.0,7,0.3333,92.034889248
5,2.0,2.0,1.0,7,0.3333,94.9444869621
5,2.0,2.0,1.0,7,0.6666,93.2291853626
5,2.0,2.0,1.0,7,0.6666,93.103533829
5,2.0,2.0,1.0,7,0.6666,92.4572925419
5,2.0,2.0,1.0,7,0.6666,89.1292711284
5,2.0,2.0,1.0,7,0.6666,93.8552708733
5,2.0,3.0,0.5,7,0.3333,94.4721789794
5,2.0,3.0,0.5,7,0.3333,95.1109224158
5,2.0,3.0,0.5,7,0.3333,94.8973065098
5,2.0,3.0,0.5,7,0.3333,98.1544754681
5,2.0,3.0,0.5,7,0.3333,94.9758479507
5,2.0,3.0,0.5,7,0.6666,91.8242984677
5,2.0,3.0,0.5,7,0.6666,93.4681768495
5,2.0,3.0,0.5,7,0.6666,95.5843032943
5,2.0,3.0,0.5,7,0.6666,96.0599570141
5,2.0,3.0,0.5,7,0.6666,96.6520546894
5,2.0,3.0,1.0,7,0.3333,93.5412569867
5,2.0,3.0,1.0,7,0.3333,99.53659493
5,2.0,3.0,1.0,7,0.3333,96.1902684344
5,2.0,3.0,1.0,7,0.3333,93.3016378069
5,2.0,3.0,1.0,7,0.3333,96.8317579449
5,2.0,3.0,1.0,7,0.6666,91.8251922508
5,2.0,3.0,1.0,7,0.6666,96.0949745589
5,2.0,3.0,1.0,7,0.6666,97.3346521261
5,2.0,3.0,1.0,7,0.6666,93.2103059245
5,2.0,3.0,1.0,7,0.6666,92.2673739467
5,3.0,2.0,0.5,7,0.3333,94.9412655975
5,3.0,2.0,0.5,7,0.3333,94.9458540158
5,3.0,2.0,0.5,7,0.3333,98.6509981724
5,3.0,2.0,0.5,7,0.3333,96.1667893588
5,3.0,2.0,0.5,7,0.3333,97.7375824967
5,3.0,2.0,0.5,7,0.6666,93.7439712559
5,3.0,2.0,0.5,7,0.6666,97.7374713164
5,3.0,2.0,0.5,7,0.6666,90.3879120178
5,3.0,2.0,0.5,7,0.6666,92.7766888491
5,3.0,2.0,0.5,7,0.6666,99.15895768
5,3.0,2.0,1.0,7,0.3333,94.7663937493
5,3.0,2.0,1.0,7,0.3333,95.2192066667
5,3.0,2.0,1.0,7,0.3333,99.8562522119
5,3.0,2.0,1.0,7,0.3333,95.6309764721
5,3.0,2.0,1.0,7,0.3333,95.0832309577
5,3.0,2.0,1.0,7,0.6666,92.5816756687
5,3.0,2.0,1.0,7,0.6666,98.561137008
5,3.0,2.0,1.0,7,0.6666,99.783770503
5,3.0,2.0,1.0,7,0.6666,99.94859396
5,3.0,2.0,1.0,7,0.6666,97.8478266612
5,3.0,3.0,0.5,7,0.3333,94.2124662606
5,3.0,3.0,0.5,7,0.3333,96.6813830655
5,3.0,3.0,0.5,7,0.3333,99.0965246352
5,3.0,3.0,0.5,7,0.3333,100.379589305
5,3.0,3.0,0.5,7,0.3333,98.3453660386
5,3.0,3.0,0.5,7,0.6666,95.6911095346
5,3.0,3.0,0.5,7,0.6666,96.7349207532
5,3.0,3.0,0.5,7,0.6666,93.4219794337
5,3.0,3.0,0.5,7,0.6666,92.7403540213
5,3.0,3.0,0.5,7,0.6666,92.5410954626
5,3.0,3.0,1.0,7,0.3333,92.288597037
5,3.0,3.0,1.0,7,0.3333,97.4806265499
5,3.0,3.0,1.0,7,0.3333,95.7730831942
5,3.0,3.0,1.0,7,0.3333,97.6143627462
5,3.0,3.0,1.0,7,0.3333,94.658481362
5,3.0,3.0,1.0,7,0.6666,94.4994556434
5,3.0,3.0,1.0,7,0.6666,94.3520594782
5,3.0,3.0,1.0,7,0.6666,96.0622979992
5,3.0,3.0,1.0,7,0.6666,94.5046581407
5,3.0,3.0,1.0,7,0.6666,95.6207321174
10,2.0,2.0,0.5,7,0.3333,77.3185389005
10,2.0,2.0,0.5,7,0.3333,78.1863885792
10,2.0,2.0,0.5,7,0.3333,77.3030227597
10,2.0,2.0,0.5,7,0.3333,73.7649004906
10,2.0,2.0,0.5,7,0.3333,77.7531160093
10,2.0,2.0,0.5,7,0.6666,76.4224240086
10,2.0,2.0,0.5,7,0.6666,79.5664302368
10,2.0,2.0,0.5,7,0.6666,77.5236989834
10,2.0,2.0,0.5,7,0.6666,82.8345502007
10,2.0,2.0,0.5,7,0.6666,74.9250213391
10,2.0,2.0,1.0,7,0.3333,82.646561992
10,2.0,2.0,1.0,7,0.3333,83.3116327499
10,2.0,2.0,1.0,7,0.3333,84.6001795591
10,2.0,2.0,1.0,7,0.3333,79.0065372177
10,2.0,2.0,1.0,7,0.3333,77.3119361465
10,2.0,2.0,1.0,7,0.6666,79.8938209732
10,2.0,2.0,1.0,7,0.6666,85.1590910853
10,2.0,2.0,1.0,7,0.6666,79.4700108808
10,2.0,2.0,1.0,7,0.6666,83.3022268812
10,2.0,2.0,1.0,7,0.6666,82.2179624768
10,2.0,3.0,0.5,7,0.3333,80.6544688591
10,2.0,3.0,0.5,7,0.3333,80.6823649301
10,2.0,3.0,0.5,7,0.3333,80.9681737445
10,2.0,3.0,0.5,7,0.3333,81.8658648968
10,2.0,3.0,0.5,7,0.3333,81.3303597678
10,2.0,3.0,0.5,7,0.6666,75.3131308139
10,2.0,3.0,0.5,7,0.6666,75.8528157197
10,2.0,3.0,0.5,7,0.6666,79.4251625231
10,2.0,3.0,0.5,7,0.6666,81.2094289053
10,2.0,3.0,0.5,7,0.6666,75.9440078051
10,2.0,3.0,1.0,7,0.3333,82.8385440232
10,2.0,3.0,1.0,7,0.3333,81.1300533124
10,2.0,3.0,1.0,7,0.3333,78.0706637295
10,2.0,3.0,1.0,7,0.3333,73.7443705792
10,2.0,3.0,1.0,7,0.3333,79.442772195
10,2.0,3.0,1.0,7,0.6666,79.8192055264
10,2.0,3.0,1.0,7,0.6666,81.0810179634
10,2.0,3.0,1.0,7,0.6666,80.1747094365
10,2.0,3.0,1.0,7,0.6666,79.2177176259
10,2.0,3.0,1.0,7,0.6666,75.9525384686
10,3.0,2.0,0.5,7,0.3333,82.9856813737
10,3.0,2.0,0.5,7,0.3333,82.4934641866
10,3.0,2.0,0.5,7,0.3333,80.4250219269
10,3.0,2.0,0.5,7,0.3333,78.7204182079
10,3.0,2.0,0.5,7,0.3333,80.5966727721
10,3.0,2.0,0.5,7,0.6666,80.0063725926
10,3.0,2.0,0.5,7,0.6666,79.2822764924
10,3.0,2.0,0.5,7,0.6666,81.1657361197
10,3.0,2.0,0.5,7,0.6666,83.0195603195
10,3.0,2.0,0.5,7,0.6666,83.2188712772
10,3.0,2.0,1.0,7,0.3333,81.0659993101
10,3.0,2.0,1.0,7,0.3333,79.0958120334
10,3.0,2.0,1.0,7,0.3333,82.6986721021
10,3.0,2.0,1.0,7,0.3333,84.7373068994
10,3.0,2.0,1.0,7,0.3333,78.1360678846
10,3.0,2.0,1.0,7,0.6666,79.966561977
10,3.0,2.0,1.0,7,0.6666,81.84895169
10,3.0,2.0,1.0,7,0.6666,80.3054822952
10,3.0,2.0,1.0,7,0.6666,83.2056153918
10,3.0,2.0,1.0,7,0.6666,84.3253160717
10,3.0,3.0,0.5,7,0.3333,82.3766645973
