Noise,SigD,SigI,Beta,Window,T,PSNR
5,2.0,3.0,1.0,7,0.6666,91.8656860097
5,2.0,3.0,1.0,7,0.6666,90.5124047446
5,2.0,3.0,1.0,7,0.6666,94.1183067728
5,2.0,3.0,1.0,7,0.6666,92.4673491807
5,3.0,2.0,0.5,7,0.3333,98.363075827
5,3.0,2.0,0.5,7,0.3333,99.036085751
5,3.0,2.0,0.5,7,0.3333,95.4167867728
5,3.0,2.0,0.5,7,0.3333,93.501751087
5,3.0,2.0,0.5,7,0.3333,97.9910879639
5,3.0,2.0,0.5,7,0.6666,98.8717170536
5,3.0,2.0,0.5,7,0.6666,97.6606452946
5,3.0,2.0,0.5,7,0.6666,99.5665115406
5,3.0,2.0,0.5,7,0.6666,95.2154648888
5,3.0,2.0,0.5,7,0.6666,98.3481038932
5,3.0,2.0,1.0,7,0.3333,92.6226911981
5,3.0,2.0,1.0,7,0.3333,90.9637658709
5,3.0,2.0,1.0,7,0.3333,92.4980808054
5,3.0,2.0,1.0,7,0.3333,93.5142982214
5,3.0,2.0,1.0,7,0.3333,91.0053950153
5,3.0,2.0,1.0,7,0.6666,91.7064826458
5,3.0,2.0,1.0,7,0.6666,91.5661935902
5,3.0,2.0,1.0,7,0.6666,98.6657655877
5,3.0,2.0,1.0,7,0.6666,94.1301246644
5,3.0,2.0,1.0,7,0.6666,93.6769838756
5,3.0,3.0,0.5,7,0.3333,94.5775925004
5,3.0,3.0,0.5,7,0.3333,96.2832003226
5,3.0,3.0,0.5,7,0.3333,93.131515847
5,3.0,3.0,0.5,7,0.3333,94.8294351189
5,3.0,3.0,0.5,7,0.3333,88.5461483088
5,3.0,3.0,0.5,7,0.6666,95.0279947053
5,3.0,3.0,0.5,7,0.6666,98.1268115536
5,3.0,3.0,0.5,7,0.6666,89.1057311625
5,3.0,3.0,0.5,7,0.6666,95.4807758985
5,3.0,3.0,0.5,7,0.6666,95.8337251914
5,3.0,3.0,1.0,7,0.3333,91.7457727157
5,3.0,3.0,1.0,7,0.3333,91.7265387487
5,3.0,3.0,1.0,7,0.3333,96.3264932518
5,3.0,3.0,1.0,7,0.3333,95.1232649425
5,3.0,3.0,1.0,7,0.3333,95.003946756
5,3.0,3.0,1.0,7,0.6666,93.0481897976
5,3.0,3.0,1.0,7,0.6666,91.6178662873
5,3.0,3.0,1.0,7,0.6666,93.6555505197
5,3.0,3.0,1.0,7,0.6666,91.9371640661
5,3.0,3.0,1.0,7,0.6666,92.2532005359
10,2.0,2.0,0.5,7,0.3333,72.5317736145
10,2.0,2.0,0.5,7,0.3333,80.6214994732
10,2.0,2.0,0.5,7,0.3333,80.8038329768
10,2.0,2.0,0.5,7,0.3333,78.4598064078
10,2.0,2.0,0.5,7,0.3333,74.4381930756
10,2.0,2.0,0.5,7,0.6666,74.3189789352
10,2.0,2.0,0.5,7,0.6666,75.4885749526
10,2.0,2.0,0.5,7,0.6666,77.4648132121
10,2.0,2.0,0.5,7,0.6666,79.2830570629
10,2.0,2.0,0.5,7,0.6666,81.5772427173
10,2.0,2.0,1.0,7,0.3333,81.8003291937
10,2.0,2.0,1.0,7,0.3333,79.7669435453
10,2.0,2.0,1.0,7,0.3333,76.1105160626
10,2.0,2.0,1.0,7,0.3333,78.5415423292
10,2.0,2.0,1.0,7,0.3333,78.2116528958
10,2.0,2.0,1.0,7,0.6666,78.4980487391
10,2.0,2.0,1.0,7,0.6666,73.9750405449
10,2.0,2.0,1.0,7,0.6666,76.045166319
10,2.0,2.0,1.0,7,0.6666,77.728464977
10,2.0,2.0,1.0,7,0.6666,74.2562247169
10,2.0,3.0,0.5,7,0.3333,79.7974395953
10,2.0,3.0,0.5,7,0.3333,75.7473062957
10,2.0,3.0,0.5,7,0.3333,80.0586947647
10,2.0,3.0,0.5,7,0.3333,74.1502366393
10,2.0,3.0,0.5,7,0.3333,74.9010935979
10,2.0,3.0,0.5,7,0.6666,78.0335816045
10,2.0,3.0,0.5,7,0.6666,70.2731326519
10,2.0,3.0,0.5,7,0.6666,76.3021584874
10,2.0,3.0,0.5,7,0.6666,75.6655674254
10,2.0,3.0,0.5,7,0.6666,75.0055763532
10,2.0,3.0,1.0,7,0.3333,80.2438078634
10,2.0,3.0,1.0,7,0.3333,73.0649791038
10,2.0,3.0,1.0,7,0.3333,74.0788041188
10,2.0,3.0,1.0,7,0.3333,75.2353871628
10,2.0,3.0,1.0,7,0.3333,75.5776040111
10,2.0,3.0,1.0,7,0.6666,80.8846929333
10,2.0,3.0,1.0,7,0.6666,74.4421750858
10,2.0,3.0,1.0,7,0.6666,82.6977333757
10,2.0,3.0,1.0,7,0.6666,73.8009090919
10,2.0,3.0,1.0,7,0.6666,82.3080205434
10,3.0,2.0,0.5,7,0.3333,75.8230081227
10,3.0,2.0,0.5,7,0.3333,82.0314181339
10,3.0,2.0,0.5,7,0.3333,76.6610489218
10,3.0,2.0,0.5,7,0.3333,78.8822579053
10,3.0,2.0,0.5,7,0.3333,75.1792463665
10,3.0,2.0,0.5,7,0.6666,83.4127268071
10,3.0,2.0,0.5,7,0.6666,77.9491590737
10,3.0,2.0,0.5,7,0.6666,74.9533050121
10,3.0,2.0,0.5,7,0.6666,78.6418209954
10,3.0,2.0,0.5,7,0.6666,75.1824836985
10,3.0,2.0,1.0,7,0.3333,83.940741796
10,3.0,2.0,1.0,7,0.3333,73.8222521719
10,3.0,2.0,1.0,7,0.3333,83.4183815693
10,3.0,2.0,1.0,7,0.3333,74.8508520168
10,3.0,2.0,1.0,7,0.3333,72.2304246307
10,3.0,2.0,1.0,7,0.6666,80.5348177874
10,3.0,2.0,1.0,7,0.6666,77.325121546
10,3.0,2.0,1.0,7,0.6666,80.2122744148
10,3.0,2.0,1.0,7,0.6666,78.6403937185
10,3.0,2.0,1.0,7,0.6666,80.5902060171
10,3.0,3.0,0.5,7,0.3333,78.0802655217
10,3.0,3.0,0.5,7,0.3333,79.9864389503
10,3.0,3.0,0.5,7,0.3333,73.144125336
10,3.0,3.0,0.5,7,0.3333,80.182593439
10,3.0,3.0,0.5,7,0.3333,79.8358291245
10,3.0,3.0,0.5,7,0.6666,69.2237960041
10,3.0,3.0,0.5,7,0.6666,72.3261541682
10,3.0,3.0,0.5,7,0.6666,77.5320248232
10,3.0,3.0,0.5,7,0.6666,74.8976330425
10,3.0,3.0,0.5,7,0.6666,78.9480929316
10,3.0,3.0,1.0,7,0.3333,77.7248257672
10,3.0,3.0,1.0,7,0.3333,75.0919972725
10,3.0,3.0,1.0,7,0.3333,72.3673926422
10,3.0,3.0,1.0,7,0.3333,72.6896828132
10,3.0,3.0,1.0,7,0.3333,76.8413894209
10,3.0,3.0,1.0,7,0.6666,76.256823238
10,3.0,3.0,1.0,7,0.6666,72.9546882189
10,3.0,3.0,1.0,7,0.6666,76.60511021
10,3.0,3.0,1.0,7,0.6666,69.3725628822
10,3.0,3.0,1.0,7,0.6666,75.4770090016
20,2.0,2.0,0.5,7,0.3333,58.3585938547
20,2.0,2.0,0.5,7,0.3333,56.4674957998
20,2.0,2.0,0.5,7,0.3333,60.2920146716
20,2.0,2.0,0.5,7,0.3333,61.5051726397
20,2.0,2.0,0.5,7,0.3333,66.4415093673
20,2.0,2.0,0.5,7,0.6666,58.4157441938
20,2.0,2.0,0.5,7,0.6666,59.369280805
20,2.0,2.0,0.5,7,0.6666,61.8442149677
20,2.0,2.0,0.5,7,0.6666,59.5379808968
20,2.0,2.0,0.5,7,0.6666,58.6313557856
20,2.0,2.0,1.0,7,0.3333,67.020503836
20,2.0,2.0,1.0,7,0.3333,64.7973271994
20,2.0,2.0,1.0,7,0.3333,69.3669328897
20,2.0,2.0,1.0,7,0.3333,63.0649822751
20,2.0,2.0,1.0,7,0.3333,58.6723530213
20,2.0,2.0,1.0,7,0.6666,64.2956449178
20,2.0,2.0,1.0,7,0.6666,59.2110509457
20,2.0,2.0,1.0,7,0.6666,62.6376203657
20,2.0,2.0,1.0,7,0.6666,68.5265318433
20,2.0,2.0,1.0,7,0.6666,60.9700222657
20,2.0,3.0,0.5,7,0.3333,62.8217698974
20,2.0,3.0,0.5,7,0.3333,62.874356739
20,2.0,3.0,0.5,7,0.3333,67.3360965213
20,2.0,3.0,0.5,7,0.3333,62.8613951385
20,2.0,3.0,0.5,7,0.3333,64.912755446
20,2.0,3.0,0.5,7,0.6666,60.8737986941
20,2.0,3.0,0.5,7,0.6666,65.5860967413
20,2.0,3.0,0.5,7,0.6666,67.0572930665
20,2.0,3.0,0.5,7,0.6666,57.7480547551
20,2.0,3.0,0.5,7,0.6666,64.0984879822
20,2.0,3.0,1.0,7,0.3333,67.8547655201
20,2.0,3.0,1.0,7,0.3333,63.8774394142
20,2.0,3.0,1.0,7,0.3333,61.7593225528
20,2.0,3.0,1.0,7,0.3333,60.1326928672
20,2.0,3.0,1.0,7,0.3333,62.8682940779
20,2.0,3.0,1.0,7,0.6666,62.5059927874
20,2.0,3.0,1.0,7,0.6666,59.5997062024
