Noise,SigD,SigI,PSNR
1,2.0,2.0,105.503063127
1,2.0,2.0,106.641677237
1,2.0,2.0,106.647061189
1,2.0,2.0,106.524567786
1,2.0,2.0,105.910744425
1,2.0,2.5,105.752466491
1,2.0,2.5,105.558362863
1,2.0,2.5,105.766079364
1,2.0,2.5,106.480357437
1,2.0,2.5,105.976430742
1,2.0,3.0,104.743871287
1,2.0,3.0,105.026869978
1,2.0,3.0,106.20629877
1,2.0,3.0,104.604685017
1,2.0,3.0,104.216300305
1,2.5,2.0,102.428966833
1,2.5,2.0,101.988989558
1,2.5,2.0,102.330243731
1,2.5,2.0,100.920535595
1,2.5,2.0,102.052659353
1,2.5,2.5,100.398447069
1,2.5,2.5,100.429493989
1,2.5,2.5,100.503804752
1,2.5,2.5,100.148791632
1,2.5,2.5,100.220694469
1,2.5,3.0,99.3223857103
1,2.5,3.0,98.9242505859
1,2.5,3.0,99.4090060475
1,2.5,3.0,98.7109770576
1,2.5,3.0,100.409992988
1,3.0,2.0,99.0549038843
1,3.0,2.0,97.8766542823
1,3.0,2.0,98.3439441807
1,3.0,2.0,98.0081599895
1,3.0,2.0,97.8524057867
1,3.0,2.5,96.2849640262
1,3.0,2.5,96.2596364213
1,3.0,2.5,96.5361054202
1,3.0,2.5,96.797333515
1,3.0,2.5,96.2887079489
1,3.0,3.0,94.8112516638
1,3.0,3.0,94.7483522901
1,3.0,3.0,94.9704050318
1,3.0,3.0,95.5006401272
1,3.0,3.0,95.8994923951
5,2.0,2.0,96.7513963299
5,2.0,2.0,99.3092410749
5,2.0,2.0,93.6946109584
5,2.0,2.0,96.3129713183
5,2.0,2.0,92.4090363815
5,2.0,2.5,97.2395721122
5,2.0,2.5,93.090575155
5,2.0,2.5,95.6138512102
5,2.0,2.5,95.6926386275
5,2.0,2.5,94.9370070551
5,2.0,3.0,96.1021340653
5,2.0,3.0,94.530321555
5,2.0,3.0,95.4375190984
5,2.0,3.0,95.3967713887
5,2.0,3.0,95.7741628564
5,2.5,2.0,92.7330342273
5,2.5,2.0,95.6911707633
5,2.5,2.0,93.4239292969
5,2.5,2.0,96.9428926625
5,2.5,2.0,91.6090141579
5,2.5,2.5,93.5322949704
5,2.5,2.5,93.4716891132
5,2.5,2.5,93.8025682364
5,2.5,2.5,92.9175514482
5,2.5,2.5,91.3017765091
5,2.5,3.0,94.5062346029
5,2.5,3.0,95.2822915794
5,2.5,3.0,93.5404260324
5,2.5,3.0,91.9287854915
5,2.5,3.0,94.7561904359
5,3.0,2.0,93.8336036917
5,3.0,2.0,91.8963640603
5,3.0,2.0,94.1447870207
5,3.0,2.0,93.1938270711
5,3.0,2.0,89.1526458123
5,3.0,2.5,92.4055693
5,3.0,2.5,90.9896931271
5,3.0,2.5,91.469955517
5,3.0,2.5,97.0464699897
5,3.0,2.5,93.5243045493
5,3.0,3.0,92.0800961196
5,3.0,3.0,90.6884723616
5,3.0,3.0,89.1877636817
5,3.0,3.0,89.537809796
5,3.0,3.0,89.5292241036
10,2.0,2.0,82.4417148836
10,2.0,2.0,86.7353722365
10,2.0,2.0,84.5093869303
10,2.0,2.0,86.2427893294
10,2.0,2.0,87.0104840165
10,2.0,2.5,82.1038792445
10,2.0,2.5,85.8456787234
10,2.0,2.5,85.6838235013
10,2.0,2.5,85.8869698086
10,2.0,2.5,81.4657665284
10,2.0,3.0,87.8124122794
10,2.0,3.0,85.7015879971
10,2.0,3.0,84.0299160604
10,2.0,3.0,88.0368989788
10,2.0,3.0,85.4499360184
10,2.5,2.0,84.2959338729
10,2.5,2.0,86.5392040713
10,2.5,2.0,88.4794726637
10,2.5,2.0,84.7099192051
10,2.5,2.0,85.0556117967
10,2.5,2.5,85.7757719084
10,2.5,2.5,87.5389030646
10,2.5,2.5,85.8011085347
10,2.5,2.5,79.560675197
10,2.5,2.5,85.6424809382
10,2.5,3.0,84.3459605257
10,2.5,3.0,86.6895185037
10,2.5,3.0,87.4264871962
10,2.5,3.0,87.5728700254
10,2.5,3.0,89.6090235563
10,3.0,2.0,83.4004186891
10,3.0,2.0,82.6386990227
10,3.0,2.0,86.6015916119
10,3.0,2.0,83.8930580942
10,3.0,2.0,84.5950002343
10,3.0,2.5,86.3309112384
10,3.0,2.5,82.0866641356
10,3.0,2.5,85.0572099637
10,3.0,2.5,85.552103306
10,3.0,2.5,83.4826720074
10,3.0,3.0,85.5366369757
10,3.0,3.0,85.3069470583
10,3.0,3.0,84.7871511514
10,3.0,3.0,84.7155315593
10,3.0,3.0,84.0335363689
20,2.0,2.0,68.4016801806
20,2.0,2.0,69.2857099458
20,2.0,2.0,66.3750474983
20,2.0,2.0,71.6598104046
20,2.0,2.0,69.4895775232
20,2.0,2.5,72.5049344848
20,2.0,2.5,69.2689703298
20,2.0,2.5,71.8888021921
20,2.0,2.5,75.5562520748
20,2.0,2.5,78.5997038312
