Noise,SigD,SigI,PSNR
30,2.0,3.0,59.6863756262
30,2.0,3.0,63.9313042666
30,2.0,3.0,62.8532317908
30,2.0,3.0,58.7052431101
30,2.5,2.0,62.3639219227
30,2.5,2.0,62.8914414083
30,2.5,2.0,58.6799138377
30,2.5,2.0,63.262267506
30,2.5,2.0,65.3070382998
30,2.5,2.5,60.7961948386
30,2.5,2.5,62.479423858
30,2.5,2.5,62.5114953608
30,2.5,2.5,63.4596218954
30,2.5,2.5,57.9253678167
30,2.5,3.0,65.4794086184
30,2.5,3.0,62.12661623
30,2.5,3.0,57.9604951622
30,2.5,3.0,58.5127209679
30,2.5,3.0,61.227741867
30,3.0,2.0,57.8665305127
30,3.0,2.0,60.5710604808
30,3.0,2.0,62.2758586909
30,3.0,2.0,60.8631596915
30,3.0,2.0,60.2310950078
30,3.0,2.5,59.0299295719
30,3.0,2.5,65.04116852
30,3.0,2.5,63.6971878705
30,3.0,2.5,65.4617239473
30,3.0,2.5,62.8900449559
30,3.0,3.0,61.6480394776
30,3.0,3.0,66.7277090357
30,3.0,3.0,61.2694889302
30,3.0,3.0,62.6104230871
30,3.0,3.0,60.3435966788
1,2.8,2.5,123.196559495
1,2.8,2.5,122.97306908
1,2.8,2.5,125.895266236
1,2.8,2.5,123.854331117
1,2.8,2.5,125.98185734
1,2.8,2.6,127.698409514
1,2.8,2.6,123.575683679
1,2.8,2.6,125.076841297
1,2.8,2.6,124.051778109
1,2.8,2.6,125.583237041
1,2.8,2.7,124.186963181
1,2.8,2.7,128.036675221
1,2.8,2.7,125.746870487
1,2.8,2.7,131.350193803
1,2.8,2.7,125.48294538
1,2.9,2.5,124.219573614
1,2.9,2.5,125.146845426
1,2.9,2.5,125.524845093
1,2.9,2.5,123.338096686
1,2.9,2.5,123.594899811
1,2.9,2.6,124.813509538
1,2.9,2.6,120.935133218
1,2.9,2.6,122.463309397
1,2.9,2.6,124.210555469
1,2.9,2.6,125.462743768
1,2.9,2.7,127.227568277
1,2.9,2.7,124.630223916
1,2.9,2.7,126.164712548
1,2.9,2.7,124.742902453
1,2.9,2.7,123.640179227
1,3.0,2.5,123.440856958
1,3.0,2.5,123.303984878
1,3.0,2.5,124.359064188
1,3.0,2.5,125.895872963
1,3.0,2.5,125.060628676
1,3.0,2.6,123.491930066
1,3.0,2.6,124.640848467
1,3.0,2.6,125.342896633
1,3.0,2.6,121.286345503
1,3.0,2.6,128.221810654
1,3.0,2.7,127.232765763
1,3.0,2.7,125.221792373
1,3.0,2.7,125.894269782
1,3.0,2.7,122.906419751
1,3.0,2.7,123.286958477
5,2.8,2.5,103.464455786
5,2.8,2.5,100.868919684
5,2.8,2.5,93.0884475376
5,2.8,2.5,99.5298931584
5,2.8,2.5,98.6138054122
5,2.8,2.6,94.2341722225
5,2.8,2.6,96.4773099652
5,2.8,2.6,103.05306753
5,2.8,2.6,99.3837252206
5,2.8,2.6,97.6352711321
5,2.8,2.7,96.3640501785
5,2.8,2.7,98.8676966604
5,2.8,2.7,98.0438304581
5,2.8,2.7,103.94616537
5,2.8,2.7,99.5724562022
5,2.9,2.5,99.081797164
5,2.9,2.5,94.7727332544
5,2.9,2.5,100.119197379
5,2.9,2.5,99.4432248996
5,2.9,2.5,96.1076472376
5,2.9,2.6,98.1080794971
5,2.9,2.6,100.46981627
5,2.9,2.6,97.9575392827
5,2.9,2.6,96.6519271743
5,2.9,2.6,100.046107834
5,2.9,2.7,97.5830954541
5,2.9,2.7,97.9888003047
5,2.9,2.7,101.665469228
5,2.9,2.7,102.257632912
5,2.9,2.7,101.600503886
5,3.0,2.5,105.586338422
5,3.0,2.5,98.2710052524
5,3.0,2.5,96.0651827948
5,3.0,2.5,101.294514571
5,3.0,2.5,96.5921759441
5,3.0,2.6,96.5093748514
5,3.0,2.6,97.9291516208
5,3.0,2.6,98.5960079333
5,3.0,2.6,94.2389722663
5,3.0,2.6,96.7608136935
5,3.0,2.7,96.443789442
5,3.0,2.7,96.5084393852
5,3.0,2.7,101.235093729
5,3.0,2.7,99.9561541655
5,3.0,2.7,100.570421796
10,2.8,2.5,79.316065351
10,2.8,2.5,78.7712712951
10,2.8,2.5,83.741145537
10,2.8,2.5,82.2270227974
10,2.8,2.5,86.2232266005
10,2.8,2.6,89.062612685
10,2.8,2.6,84.3246031979
10,2.8,2.6,85.4637683338
10,2.8,2.6,83.8819127584
10,2.8,2.6,78.7436243564
10,2.8,2.7,82.3723942198
10,2.8,2.7,84.8270232318
10,2.8,2.7,82.5774316927
10,2.8,2.7,82.30673862
10,2.8,2.7,82.1633055784
10,2.9,2.5,83.3429439308
10,2.9,2.5,85.1004789742
10,2.9,2.5,84.4803427327
10,2.9,2.5,84.2305211254
10,2.9,2.5,83.0658477882
10,2.9,2.6,78.71914029
10,2.9,2.6,86.3560243179
10,2.9,2.6,84.5856115667
10,2.9,2.6,84.0517621555
10,2.9,2.6,91.52751324
10,2.9,2.7,86.9566199071
10,2.9,2.7,82.7832301176
10,2.9,2.7,81.4753964059
10,2.9,2.7,85.6042759837
10,2.9,2.7,86.8134776936
10,3.0,2.5,86.2155385576
10,3.0,2.5,86.4179189505
10,3.0,2.5,88.9194371194
10,3.0,2.5,82.102849381
10,3.0,2.5,84.8914209485
10,3.0,2.6,82.0180219257
10,3.0,2.6,83.9772036782
10,3.0,2.6,82.5419540482
10,3.0,2.6,82.5704469038
10,3.0,2.6,83.2382231665
10,3.0,2.7,90.0790834506
10,3.0,2.7,83.2888559771
10,3.0,2.7,82.4481725946
10,3.0,2.7,81.2249787451
10,3.0,2.7,82.7732171888
20,2.8,2.5,68.675927002
20,2.8,2.5,70.2905012346
20,2.8,2.5,71.2628070706
20,2.8,2.5,68.3001433127
20,2.8,2.5,67.2088824667
20,2.8,2.6,67.0467669581
20,2.8,2.6,71.2918398968
20,2.8,2.6,68.9525099098
20,2.8,2.6,69.4118774621
20,2.8,2.6,65.3307754486
20,2.8,2.7,69.1772850193
20,2.8,2.7,69.6929107857
20,2.8,2.7,72.0192823058
20,2.8,2.7,72.0258115121
20,2.8,2.7,68.9642975302
20,2.9,2.5,68.991191273
20,2.9,2.5,73.1228019691
20,2.9,2.5,68.8766140873
20,2.9,2.5,65.5329072378
20,2.9,2.5,66.2534649744
20,2.9,2.6,61.3964497897
20,2.9,2.6,67.8263663842
20,2.9,2.6,65.0258190877
20,2.9,2.6,72.9182725377
20,2.9,2.6,68.4661070393
20,2.9,2.7,67.7147652521
20,2.9,2.7,71.0180704396
20,2.9,2.7,67.4506787953
20,2.9,2.7,70.247418582
20,2.9,2.7,68.0665469835
20,3.0,2.5,65.6697835999
20,3.0,2.5,66.4791794176
20,3.0,2.5,74.7259193914
20,3.0,2.5,74.990544546
20,3.0,2.5,69.9785138759
20,3.0,2.6,71.4855608437
20,3.0,2.6,71.8018071567
20,3.0,2.6,74.3160053949
20,3.0,2.6,71.7683702321
20,3.0,2.6,68.845248305
20,3.0,2.7,73.3358700209
20,3.0,2.7,67.5479354114
20,3.0,2.7,69.4069604139
20,3.0,2.7,71.2344095766
20,3.0,2.7,70.8848932665
30,2.8,2.5,62.3332745105
30,2.8,2.5,60.2733295215
30,2.8,2.5,59.806970074
30,2.8,2.5,60.2980912414
30,2.8,2.5,61.0571521482
30,2.8,2.6,62.3002361157
30,2.8,2.6,63.6954055286
30,2.8,2.6,64.2689610595
30,2.8,2.6,61.6019233056
30,2.8,2.6,60.7128751133
30,2.8,2.7,63.670775746
30,2.8,2.7,62.2765719878
30,2.8,2.7,58.8940281934
30,2.8,2.7,62.1887335254
30,2.8,2.7,63.8282522907
30,2.9,2.5,62.8799354132
30,2.9,2.5,59.4265195324
30,2.9,2.5,62.3314476749
30,2.9,2.5,58.9038877644
30,2.9,2.5,65.4176461454
30,2.9,2.6,62.0430646369
30,2.9,2.6,65.31827339
30,2.9,2.6,62.1470818711
30,2.9,2.6,63.9247272251
30,2.9,2.6,61.225978233
30,2.9,2.7,60.1510288627
30,2.9,2.7,68.341961386
30,2.9,2.7,61.4239809315
30,2.9,2.7,63.1764521222
30,2.9,2.7,61.4209670377
30,3.0,2.5,63.7906003231
30,3.0,2.5,64.4062799473
30,3.0,2.5,60.8732249611
30,3.0,2.5,61.9393118198
30,3.0,2.5,60.6991318387
30,3.0,2.6,61.5182413542
30,3.0,2.6,60.2480144776
30,3.0,2.6,57.0987436947
30,3.0,2.6,66.363144869
30,3.0,2.6,65.1631516649
30,3.0,2.7,60.6209990652
30,3.0,2.7,65.863190665
30,3.0,2.7,66.042056071
30,3.0,2.7,61.5243265067
30,3.0,2.7,62.4648169308
1,2.9,2.5,124.909902173
1,2.9,2.5,126.114012287
1,2.9,2.5,126.82595061
1,2.9,2.5,125.704343306
1,2.9,2.5,124.48963165
1,2.9,2.6,122.315778431
1,2.9,2.6,125.688490859
1,2.9,2.6,124.200962075
1,2.9,2.6,125.04395713
1,2.9,2.6,127.400200382
1,2.9,2.7,123.330996527
1,2.9,2.7,123.622738059
1,2.9,2.7,127.987918904
1,2.9,2.7,128.037640491
1,2.9,2.7,125.464596836
1,3.0,2.5,122.996696277
1,3.0,2.5,122.902419608
1,3.0,2.5,124.119347273
1,3.0,2.5,123.576326718
1,3.0,2.5,121.562885386
1,3.0,2.6,120.425843277
1,3.0,2.6,122.62787448
1,3.0,2.6,124.10129041
1,3.0,2.6,124.558150325
1,3.0,2.6,121.964680893
1,3.0,2.7,123.240150596
1,3.0,2.7,119.818490569
1,3.0,2.7,123.431895277
1,3.0,2.7,123.147235235
1,3.0,2.7,123.822203339
1,3.1,2.5,122.658338693
1,3.1,2.5,124.752022483
1,3.1,2.5,124.576702438
1,3.1,2.5,121.57374062
1,3.1,2.5,124.312676646
1,3.1,2.6,124.415631114
1,3.1,2.6,122.888592505
1,3.1,2.6,126.620856549
1,3.1,2.6,123.3645208
1,3.1,2.6,120.635025257
1,3.1,2.7,124.183107391
1,3.1,2.7,123.829553809
1,3.1,2.7,125.917920087
1,3.1,2.7,123.358244708
1,3.1,2.7,122.211029731
5,2.9,2.5,102.785051351
5,2.9,2.5,105.091430481
5,2.9,2.5,97.4226792641
5,2.9,2.5,99.5671751519
5,2.9,2.5,96.7613389034
5,2.9,2.6,98.7452484406
5,2.9,2.6,99.626484767
5,2.9,2.6,98.5472610891
5,2.9,2.6,97.0010835725
5,2.9,2.6,103.106748235
5,2.9,2.7,97.939233063
5,2.9,2.7,97.0052132171
5,2.9,2.7,99.4104365101
5,2.9,2.7,99.825022209
5,2.9,2.7,98.6793964961
5,3.0,2.5,100.315250858
5,3.0,2.5,96.0478925618
5,3.0,2.5,101.307539047
5,3.0,2.5,96.1421985487
5,3.0,2.5,104.648327317
5,3.0,2.6,101.660535277
5,3.0,2.6,100.322418374
5,3.0,2.6,99.2582704491
5,3.0,2.6,100.306565248
5,3.0,2.6,96.3646845021
5,3.0,2.7,98.4366804376
5,3.0,2.7,105.43281516
5,3.0,2.7,98.3025641719
5,3.0,2.7,100.43374328
5,3.0,2.7,102.938942534
5,3.1,2.5,97.0101968061
5,3.1,2.5,102.139600679
5,3.1,2.5,96.5199686479
5,3.1,2.5,102.860400694
5,3.1,2.5,101.579217074
5,3.1,2.6,96.0621353111
5,3.1,2.6,98.3316548939
5,3.1,2.6,96.9100368635
5,3.1,2.6,106.93310808
5,3.1,2.6,106.80571752
5,3.1,2.7,95.922211126
5,3.1,2.7,99.1830098428
5,3.1,2.7,104.566287614
5,3.1,2.7,98.3683555421
5,3.1,2.7,106.255040239
10,2.9,2.5,82.4065016933
10,2.9,2.5,83.7865480693
10,2.9,2.5,78.5589633565
10,2.9,2.5,87.4596000629
10,2.9,2.5,82.0149716487
10,2.9,2.6,85.7182083079
10,2.9,2.6,80.9754537292
10,2.9,2.6,84.8499037434
10,2.9,2.6,84.6296758845
10,2.9,2.6,84.9448204438
10,2.9,2.7,86.8279056938
10,2.9,2.7,83.5335802404
10,2.9,2.7,85.0316826561
10,2.9,2.7,83.9938477542
10,2.9,2.7,81.9191674483
10,3.0,2.5,84.017628067
10,3.0,2.5,88.6069473218
10,3.0,2.5,84.2351605072
10,3.0,2.5,85.0119084977
10,3.0,2.5,84.0589646446
10,3.0,2.6,83.5769156544
10,3.0,2.6,88.6463313867
10,3.0,2.6,81.3226105014
10,3.0,2.6,84.6334065735
10,3.0,2.6,84.0860502471
10,3.0,2.7,84.3513190695
10,3.0,2.7,86.4445661912
10,3.0,2.7,80.7155671342
10,3.0,2.7,82.2733903836
10,3.0,2.7,82.6964654467
10,3.1,2.5,80.4152851172
10,3.1,2.5,82.1573504898
10,3.1,2.5,80.2100152935
10,3.1,2.5,86.8409920909
10,3.1,2.5,84.4021875686
10,3.1,2.6,88.8243590867
10,3.1,2.6,84.8247755094
10,3.1,2.6,84.0580429616
10,3.1,2.6,82.0460525824
10,3.1,2.6,85.3968165115
10,3.1,2.7,82.9790238961
10,3.1,2.7,85.6720173632
10,3.1,2.7,82.1410332216
10,3.1,2.7,86.084691286
10,3.1,2.7,81.0244868274
20,2.9,2.5,72.7710164718
20,2.9,2.5,66.4612563444
20,2.9,2.5,69.9204818416
20,2.9,2.5,72.4478812729
20,2.9,2.5,69.2091920862
20,2.9,2.6,68.7538305152
20,2.9,2.6,70.8328615895
20,2.9,2.6,69.3447050924
20,2.9,2.6,71.372805192
20,2.9,2.6,67.3544696414
20,2.9,2.7,74.6336833958
20,2.9,2.7,67.3752133096
20,2.9,2.7,71.1728581514
20,2.9,2.7,70.8905436081
20,2.9,2.7,66.4785801204
20,3.0,2.5,71.2078004846
20,3.0,2.5,67.8770763366
20,3.0,2.5,71.8253919655
20,3.0,2.5,69.2554940343
20,3.0,2.5,70.0717479694
20,3.0,2.6,70.8718331912
20,3.0,2.6,70.7157855027
20,3.0,2.6,71.472116421
20,3.0,2.6,68.5995596301
20,3.0,2.6,71.2117927523
20,3.0,2.7,64.8075125791
20,3.0,2.7,70.4450329169
20,3.0,2.7,68.3037589733
20,3.0,2.7,69.2883797016
20,3.0,2.7,74.1259236825
20,3.1,2.5,66.6530995849
20,3.1,2.5,77.0682738833
20,3.1,2.5,70.8487329804
20,3.1,2.5,67.0502797407
20,3.1,2.5,72.9739923954
20,3.1,2.6,67.2990225891
20,3.1,2.6,73.5991613008
20,3.1,2.6,72.1097202866
20,3.1,2.6,70.3938023182
20,3.1,2.6,66.5512114308
20,3.1,2.7,70.625238235
20,3.1,2.7,68.7890647417
20,3.1,2.7,69.8081174955
20,3.1,2.7,72.2062247418
20,3.1,2.7,68.6883133887
30,2.9,2.5,57.3287441489
30,2.9,2.5,63.1475814545
30,2.9,2.5,62.1829242374
30,2.9,2.5,60.9689782607
30,2.9,2.5,63.9023673553
30,2.9,2.6,59.4272232003
30,2.9,2.6,63.8664728682
30,2.9,2.6,61.0452164105
30,2.9,2.6,61.3596354375
30,2.9,2.6,67.9166148257
30,2.9,2.7,60.9230326399
30,2.9,2.7,61.2482942947
30,2.9,2.7,56.9448722459
30,2.9,2.7,63.335806725
30,2.9,2.7,62.1987610912
30,3.0,2.5,66.7185038628
30,3.0,2.5,63.7649589791
30,3.0,2.5,61.2604162786
30,3.0,2.5,64.1959671252
30,3.0,2.5,63.6095046981
30,3.0,2.6,62.4252350842
30,3.0,2.6,65.9533713996
30,3.0,2.6,62.3966025198
30,3.0,2.6,61.1268320633
30,3.0,2.6,62.6558073586
30,3.0,2.7,60.2577651661
30,3.0,2.7,62.5729055482
30,3.0,2.7,60.7704605263
30,3.0,2.7,63.6837400349
30,3.0,2.7,61.2975551404
30,3.1,2.5,64.0910922034
30,3.1,2.5,60.1132685141
30,3.1,2.5,59.8184791383
30,3.1,2.5,62.770251427
30,3.1,2.5,61.6805256078
30,3.1,2.6,63.0156998587
30,3.1,2.6,63.2577918593
30,3.1,2.6,59.7733971551
30,3.1,2.6,65.647141823
30,3.1,2.6,63.2841704059
30,3.1,2.7,59.895554336
30,3.1,2.7,62.3744278908
30,3.1,2.7,64.0875807245
30,3.1,2.7,61.7361200101
30,3.1,2.7,62.2762268674
1,3.0,2.5,124.3468694
1,3.0,2.5,122.742887457
1,3.0,2.5,127.678667358
1,3.0,2.5,123.6556768
1,3.0,2.5,122.441612704
1,3.0,2.6,126.298594886
1,3.0,2.6,122.575260534
1,3.0,2.6,124.286640627
1,3.0,2.6,124.378279486
1,3.0,2.6,126.549762325
1,3.0,2.7,124.315223605
1,3.0,2.7,129.930628696
1,3.0,2.7,124.54340146
1,3.0,2.7,123.600587829
1,3.0,2.7,124.1276125
1,3.1,2.5,122.566892338
1,3.1,2.5,125.108258784
1,3.1,2.5,119.416745944
1,3.1,2.5,123.43725441
1,3.1,2.5,126.360543615
1,3.1,2.6,123.150207417
1,3.1,2.6,124.138380694
1,3.1,2.6,123.777357422
1,3.1,2.6,122.338913162
1,3.1,2.6,122.202718149
1,3.1,2.7,120.272351501
1,3.1,2.7,125.404562467
1,3.1,2.7,127.114322871
1,3.1,2.7,127.061249747
1,3.1,2.7,120.058944717
1,3.2,2.5,123.353121793
1,3.2,2.5,124.561724138
1,3.2,2.5,122.957888673
1,3.2,2.5,121.051689463
1,3.2,2.5,119.739305639
1,3.2,2.6,122.220888227
1,3.2,2.6,122.911116855
1,3.2,2.6,121.447172623
1,3.2,2.6,124.348435
1,3.2,2.6,122.840628002
1,3.2,2.7,121.404001453
1,3.2,2.7,127.104241651
1,3.2,2.7,126.428450553
1,3.2,2.7,123.511648826
1,3.2,2.7,120.639809435
5,3.0,2.5,98.3737973673
5,3.0,2.5,97.7782193928
5,3.0,2.5,99.7914864734
5,3.0,2.5,96.7617378971
5,3.0,2.5,93.4544635081
5,3.0,2.6,98.1782238501
5,3.0,2.6,97.2952305244
5,3.0,2.6,99.4725235634
5,3.0,2.6,98.1252171986
5,3.0,2.6,100.768769765
5,3.0,2.7,101.687323024
5,3.0,2.7,101.284208239
5,3.0,2.7,100.503650014
5,3.0,2.7,99.5383933618
5,3.0,2.7,98.5225446183
5,3.1,2.5,102.838638524
5,3.1,2.5,102.41738024
5,3.1,2.5,95.7379885889
5,3.1,2.5,102.30024979
5,3.1,2.5,98.4192135457
5,3.1,2.6,96.9340939324
5,3.1,2.6,97.0969826995
5,3.1,2.6,96.439434484
5,3.1,2.6,103.788805048
5,3.1,2.6,96.1991233224
5,3.1,2.7,97.0554132887
5,3.1,2.7,105.35026277
5,3.1,2.7,100.101737747
5,3.1,2.7,100.390065496
5,3.1,2.7,103.150541231
5,3.2,2.5,96.3801509631
5,3.2,2.5,103.650980933
5,3.2,2.5,98.0136770769
5,3.2,2.5,102.835915738
5,3.2,2.5,97.3783974953
5,3.2,2.6,100.55920005
5,3.2,2.6,99.4223603742
5,3.2,2.6,98.5160162648
5,3.2,2.6,99.2618255239
5,3.2,2.6,100.759158167
5,3.2,2.7,97.7449626434
