Noise,SigD,SigI,PSNR
1,2.0,2.0,124.307499352
1,2.0,2.0,127.023118817
1,2.0,2.0,127.538653398
1,2.0,2.0,123.170226897
1,2.0,2.0,123.801589269
1,2.0,2.5,126.416346402
1,2.0,2.5,128.167758432
1,2.0,2.5,132.403535728
1,2.0,2.5,126.606023468
1,2.0,2.5,129.72250855
1,2.0,3.0,127.97497013
1,2.0,3.0,130.041418858
1,2.0,3.0,124.476343665
1,2.0,3.0,122.148127834
1,2.0,3.0,132.026799128
1,2.5,2.0,131.609120352
1,2.5,2.0,126.611746704
1,2.5,2.0,127.426242666
1,2.5,2.0,124.786719071
1,2.5,2.0,128.030640066
1,2.5,2.5,127.965110244
1,2.5,2.5,129.925036373
1,2.5,2.5,126.783799343
1,2.5,2.5,126.918856376
1,2.5,2.5,126.997773119
1,2.5,3.0,123.751110363
1,2.5,3.0,130.295549818
1,2.5,3.0,127.03805215
1,2.5,3.0,123.866683948
1,2.5,3.0,123.690313831
1,3.0,2.0,126.22676786
1,3.0,2.0,129.198338061
1,3.0,2.0,125.479032137
1,3.0,2.0,124.949515976
1,3.0,2.0,129.100099931
1,3.0,2.5,128.741043577
1,3.0,2.5,121.801334099
1,3.0,2.5,128.40344838
1,3.0,2.5,125.607744287
1,3.0,2.5,126.974470845
1,3.0,3.0,126.197446434
1,3.0,3.0,125.99862117
1,3.0,3.0,125.690624266
1,3.0,3.0,122.877284108
1,3.0,3.0,122.323974016
5,2.0,2.0,95.1879208657
5,2.0,2.0,94.779772185
5,2.0,2.0,97.318678275
5,2.0,2.0,93.0631909008
5,2.0,2.0,95.5883399686
5,2.0,2.5,93.3776729534
5,2.0,2.5,95.7092052377
5,2.0,2.5,99.3765044903
5,2.0,2.5,95.5740324136
5,2.0,2.5,93.9616972242
5,2.0,3.0,92.5772346264
5,2.0,3.0,93.4627129911
5,2.0,3.0,95.2397932855
5,2.0,3.0,89.5777275192
5,2.0,3.0,94.0504809402
5,2.5,2.0,100.640217714
5,2.5,2.0,98.6142816405
5,2.5,2.0,95.592471337
5,2.5,2.0,103.405182427
5,2.5,2.0,97.0005252185
5,2.5,2.5,96.2471216499
5,2.5,2.5,98.693651016
5,2.5,2.5,97.9394689141
5,2.5,2.5,100.804538143
5,2.5,2.5,99.5871097293
5,2.5,3.0,97.165507246
5,2.5,3.0,98.3632558378
5,2.5,3.0,94.0462566059
5,2.5,3.0,99.546759926
5,2.5,3.0,100.448279263
5,3.0,2.0,102.668298274
5,3.0,2.0,95.5517183589
5,3.0,2.0,94.9732123515
5,3.0,2.0,102.674608266
5,3.0,2.0,91.7151231927
5,3.0,2.5,96.7579679307
5,3.0,2.5,94.5032495302
5,3.0,2.5,101.061735552
5,3.0,2.5,97.4689377277
5,3.0,2.5,98.0974699508
5,3.0,3.0,104.961677314
5,3.0,3.0,94.4514207802
5,3.0,3.0,99.0110703688
5,3.0,3.0,98.9029561681
5,3.0,3.0,96.1602592825
10,2.0,2.0,78.9891229829
10,2.0,2.0,77.9792892394
10,2.0,2.0,81.7674134444
10,2.0,2.0,82.7389680886
10,2.0,2.0,79.098053613
10,2.0,2.5,75.4125109976
10,2.0,2.5,79.4302051938
10,2.0,2.5,78.7929004901
10,2.0,2.5,71.5890742891
10,2.0,2.5,69.4159707581
10,2.0,3.0,81.8416004967
10,2.0,3.0,71.5568512474
10,2.0,3.0,78.4959920443
