Noise,Beta,Window,T,PSNR
10,0.5,3,0.2,71.2356301882
10,0.5,3,0.2,68.220465174
10,0.5,3,0.2,69.0576167883
10,0.5,3,0.2,69.4992834045
10,0.5,3,0.2,70.5671418222
10,0.5,3,0.4,71.5227019074
10,0.5,3,0.4,68.6344823584
10,0.5,3,0.4,70.8994689763
10,0.5,3,0.4,71.0577370762
10,0.5,3,0.4,68.0599638116
10,0.5,3,0.6,72.6350361915
10,0.5,3,0.6,68.8715561769
10,0.5,3,0.6,71.1504264593
10,0.5,3,0.6,68.8812992038
10,0.5,3,0.6,71.3133039981
10,0.5,3,0.8,68.7183604574
10,0.5,3,0.8,69.9983165888
10,0.5,3,0.8,69.6347534533
10,0.5,3,0.8,70.2431739218
10,0.5,3,0.8,72.2035627112
10,0.5,5,0.2,73.8977686729
10,0.5,5,0.2,74.1572132406
10,0.5,5,0.2,71.81276624
10,0.5,5,0.2,73.7200386778
10,0.5,5,0.2,74.4838227765
10,0.5,5,0.4,73.2247982945
10,0.5,5,0.4,74.4467878344
10,0.5,5,0.4,74.1610512182
10,0.5,5,0.4,71.9524875291
10,0.5,5,0.4,75.3442217678
10,0.5,5,0.6,72.8422174105
10,0.5,5,0.6,70.6232217605
10,0.5,5,0.6,72.3748838358
10,0.5,5,0.6,74.1461285068
10,0.5,5,0.6,74.6865861517
10,0.5,5,0.8,72.3049553731
10,0.5,5,0.8,72.1157641616
10,0.5,5,0.8,76.2753972499
10,0.5,5,0.8,72.500598117
10,0.5,5,0.8,72.7001880946
10,0.5,7,0.2,76.7313829932
10,0.5,7,0.2,71.3128672606
10,0.5,7,0.2,75.1805845914
10,0.5,7,0.2,74.204899697
10,0.5,7,0.2,74.9215416434
10,0.5,7,0.4,76.7182677456
10,0.5,7,0.4,76.0648394661
10,0.5,7,0.4,75.7211496236
10,0.5,7,0.4,75.1363406858
10,0.5,7,0.4,74.4018136363
10,0.5,7,0.6,76.7345658986
10,0.5,7,0.6,71.654583778
10,0.5,7,0.6,73.5656142692
10,0.5,7,0.6,74.4866295119
10,0.5,7,0.6,75.296502286
10,0.5,7,0.8,75.9900476184
10,0.5,7,0.8,74.9477384202
10,0.5,7,0.8,76.5066203708
10,0.5,7,0.8,75.5860853393
10,0.5,7,0.8,71.5052965423
