Noise,Beta,Window,T,PSNR
10,1.0,3,0.925,71.2153705135
10,1.0,3,0.925,68.3548241278
10,1.0,3,0.95,69.3559080816
10,1.0,3,0.95,68.9862576581
10,1.0,3,0.95,72.7759145101
10,1.0,3,0.95,68.078787909
10,1.0,3,0.95,69.2294955549
10,1.0,3,0.975,70.3203726598
10,1.0,3,0.975,66.6885323101
10,1.0,3,0.975,71.3290675324
10,1.0,3,0.975,69.6537023036
10,1.0,3,0.975,70.9081329628
10,1.0,5,0.9,71.1644171753
10,1.0,5,0.9,67.0288546229
10,1.0,5,0.9,66.9654938502
10,1.0,5,0.9,65.1953327848
10,1.0,5,0.9,68.7519519755
10,1.0,5,0.925,65.9081037134
10,1.0,5,0.925,64.6362276597
10,1.0,5,0.925,66.775351432
10,1.0,5,0.925,67.5812129928
10,1.0,5,0.925,73.3801951475
10,1.0,5,0.95,66.9262173015
10,1.0,5,0.95,71.6723559548
10,1.0,5,0.95,66.5838902207
10,1.0,5,0.95,66.5672824038
10,1.0,5,0.95,64.3066999738
10,1.0,5,0.975,73.713903571
10,1.0,5,0.975,60.8424033611
10,1.0,5,0.975,68.5541381192
10,1.0,5,0.975,68.9360146868
10,1.0,5,0.975,59.0646518856
10,1.0,7,0.9,74.8875129642
10,1.0,7,0.9,63.4938907668
10,1.0,7,0.9,62.247055159
10,1.0,7,0.9,68.0526587932
10,1.0,7,0.9,67.2258833144
10,1.0,7,0.925,72.591477091
10,1.0,7,0.925,65.3288891791
10,1.0,7,0.925,69.6684782954
10,1.0,7,0.925,63.3426489736
10,1.0,7,0.925,62.5857444807
10,1.0,7,0.95,60.2596415567
10,1.0,7,0.95,70.0617946124
10,1.0,7,0.95,63.4780804602
10,1.0,7,0.95,71.0775846533
10,1.0,7,0.95,66.2523444675
10,1.0,7,0.975,70.6222392605
10,1.0,7,0.975,71.606512232
10,1.0,7,0.975,64.0699971653
10,1.0,7,0.975,59.8412279362
10,1.0,7,0.975,63.779575714
10,1.0,9,0.9,65.2239757387
10,1.0,9,0.9,68.6850617104
10,1.0,9,0.9,67.470422975
10,1.0,9,0.9,66.5758922323
10,1.0,9,0.9,65.9237364519
10,1.0,9,0.925,61.7380734755
10,1.0,9,0.925,70.2095274987
10,1.0,9,0.925,65.9541309058
10,1.0,9,0.925,62.4438604618
10,1.0,9,0.925,68.2352353565
10,1.0,9,0.95,60.4659511615
10,1.0,9,0.95,65.4369267834
10,1.0,9,0.95,64.7584170819
10,1.0,9,0.95,67.1287716939
10,1.0,9,0.95,66.0477555385
10,1.0,9,0.975,64.8535499359
10,1.0,9,0.975,66.2726487626
10,1.0,9,0.975,66.8980639687
10,1.0,9,0.975,60.6822823016
10,1.0,9,0.975,69.4498714161
20,0.5,3,0.9,56.8702458373
20,0.5,3,0.9,55.5590723364
20,0.5,3,0.9,51.8580622823
20,0.5,3,0.9,56.3835460482
20,0.5,3,0.9,54.2300627026
20,0.5,3,0.925,57.975499744
20,0.5,3,0.925,59.2629028986
20,0.5,3,0.925,55.4329661836
20,0.5,3,0.925,59.2226840808
20,0.5,3,0.925,55.1543499863
20,0.5,3,0.95,57.6119054565
20,0.5,3,0.95,55.1180791144
20,0.5,3,0.95,53.6387290578
20,0.5,3,0.95,59.495056515
20,0.5,3,0.95,56.6692443476
20,0.5,3,0.975,56.0763774894
20,0.5,3,0.975,60.5510043373
20,0.5,3,0.975,63.3881001133
20,0.5,3,0.975,60.5193692376
20,0.5,3,0.975,55.5868713841
20,0.5,5,0.9,60.1581810693
20,0.5,5,0.9,66.0309084277
20,0.5,5,0.9,57.8419663483
20,0.5,5,0.9,53.2929270292
20,0.5,5,0.9,56.4777398547
20,0.5,5,0.925,63.1402404262
20,0.5,5,0.925,58.0979901313
20,0.5,5,0.925,58.9610055125
20,0.5,5,0.925,62.2913799877
20,0.5,5,0.925,60.0810102873
20,0.5,5,0.95,58.8219487074
20,0.5,5,0.95,64.6887069559
20,0.5,5,0.95,54.7883827617
20,0.5,5,0.95,56.3959991872
20,0.5,5,0.95,56.8621216057
20,0.5,5,0.975,60.5379098333
20,0.5,5,0.975,58.3364378844
20,0.5,5,0.975,58.3313540321
20,0.5,5,0.975,58.0316125643
20,0.5,5,0.975,62.2248398853
20,0.5,7,0.9,58.6369496085
20,0.5,7,0.9,58.0231640575
20,0.5,7,0.9,59.0716502286
20,0.5,7,0.9,66.104859582
20,0.5,7,0.9,61.6545774855
20,0.5,7,0.925,59.0779727374
20,0.5,7,0.925,61.2664659096
20,0.5,7,0.925,55.9842416142
20,0.5,7,0.925,53.5036259148
20,0.5,7,0.925,54.1799295943
20,0.5,7,0.95,59.4298355612
20,0.5,7,0.95,55.8882699561
20,0.5,7,0.95,61.5407611794
20,0.5,7,0.95,59.6961783254
20,0.5,7,0.95,62.1616675931
20,0.5,7,0.975,58.4013033544
20,0.5,7,0.975,62.8817355959
20,0.5,7,0.975,57.2870990778
20,0.5,7,0.975,56.4854338317
20,0.5,7,0.975,53.9494872634
20,0.5,9,0.9,59.0871132311
20,0.5,9,0.9,67.1332576048
20,0.5,9,0.9,57.8145200538
20,0.5,9,0.9,64.9070879297
20,0.5,9,0.9,52.5501716101
20,0.5,9,0.925,56.8990401792
20,0.5,9,0.925,54.859066001
20,0.5,9,0.925,54.3273409884
20,0.5,9,0.925,57.0208899588
20,0.5,9,0.925,57.4192623497
20,0.5,9,0.95,60.8603677812
20,0.5,9,0.95,54.8056322041
20,0.5,9,0.95,60.3479170355
20,0.5,9,0.95,59.737922091
20,0.5,9,0.95,57.0989341588
20,0.5,9,0.975,64.2157041759
20,0.5,9,0.975,61.1260508932
20,0.5,9,0.975,57.6011786858
20,0.5,9,0.975,58.5157680782
20,0.5,9,0.975,58.5516494239
20,0.75,3,0.9,55.0641168984
20,0.75,3,0.9,55.3345490519
20,0.75,3,0.9,63.3767210598
20,0.75,3,0.9,58.1790747419
20,0.75,3,0.9,62.6544022956
20,0.75,3,0.925,61.1970231299
20,0.75,3,0.925,56.3463619027
20,0.75,3,0.925,58.9917606041
20,0.75,3,0.925,58.0974784235
20,0.75,3,0.925,59.2412836791
20,0.75,3,0.95,58.2031702677
20,0.75,3,0.95,60.7329513988
20,0.75,3,0.95,55.179715892
20,0.75,3,0.95,54.872465058
20,0.75,3,0.95,56.5789943429
20,0.75,3,0.975,54.9655412943
20,0.75,3,0.975,56.931740152
20,0.75,3,0.975,57.9244566628
20,0.75,3,0.975,55.5707767497
20,0.75,3,0.975,52.8701700383
20,0.75,5,0.9,57.8550081582
20,0.75,5,0.9,53.989719334
20,0.75,5,0.9,55.512198528
20,0.75,5,0.9,51.4520709826
20,0.75,5,0.9,58.3151255223
20,0.75,5,0.925,57.8852289455
20,0.75,5,0.925,59.1918071696
20,0.75,5,0.925,56.7306157152
20,0.75,5,0.925,58.8746262138
20,0.75,5,0.925,55.6715962372
20,0.75,5,0.95,56.0595260779
20,0.75,5,0.95,56.4573833231
20,0.75,5,0.95,58.0463245693
20,0.75,5,0.95,60.3662970709
20,0.75,5,0.95,58.0944286084
20,0.75,5,0.975,59.536429676
20,0.75,5,0.975,53.345291692
20,0.75,5,0.975,54.8985722848
20,0.75,5,0.975,55.2804527791
20,0.75,5,0.975,59.4803871806
20,0.75,7,0.9,56.0780456658
20,0.75,7,0.9,52.8773800893
20,0.75,7,0.9,53.4333298344
20,0.75,7,0.9,57.1051178453
20,0.75,7,0.9,54.9551206226
20,0.75,7,0.925,56.0845692334
20,0.75,7,0.925,55.2370719402
20,0.75,7,0.925,55.0853690661
20,0.75,7,0.925,55.2976936441
20,0.75,7,0.925,58.2138907516
20,0.75,7,0.95,54.3773339625
20,0.75,7,0.95,54.6369796061
20,0.75,7,0.95,56.9309529973
20,0.75,7,0.95,52.7378580436
20,0.75,7,0.95,55.2063152729
20,0.75,7,0.975,54.2763422852
20,0.75,7,0.975,55.6506175493
20,0.75,7,0.975,59.0001082228
20,0.75,7,0.975,58.887449482
20,0.75,7,0.975,62.4907886212
20,0.75,9,0.9,56.8448333145
20,0.75,9,0.9,55.7670046125
20,0.75,9,0.9,57.0597928358
20,0.75,9,0.9,59.9610419019
20,0.75,9,0.9,55.6818723118
20,0.75,9,0.925,53.7376312504
20,0.75,9,0.925,60.1518971795
20,0.75,9,0.925,52.9138650139
20,0.75,9,0.925,55.6515356982
20,0.75,9,0.925,53.6379116123
20,0.75,9,0.95,55.1921372089
20,0.75,9,0.95,58.2159978987
20,0.75,9,0.95,58.3304282603
20,0.75,9,0.95,58.5201211841
20,0.75,9,0.95,58.1143896524
20,0.75,9,0.975,55.130629371
20,0.75,9,0.975,55.0110530938
20,0.75,9,0.975,59.1713288418
20,0.75,9,0.975,55.5338236124
20,0.75,9,0.975,53.7134021917
20,1.0,3,0.9,54.3716770311
20,1.0,3,0.9,55.8201570526
20,1.0,3,0.9,55.3862630696
20,1.0,3,0.9,52.8544971413
20,1.0,3,0.9,53.9521739146
20,1.0,3,0.925,60.2598148857
20,1.0,3,0.925,55.9175289715
20,1.0,3,0.925,54.3511566136
20,1.0,3,0.925,55.544867018
20,1.0,3,0.925,56.7378743689
20,1.0,3,0.95,59.4779980789
20,1.0,3,0.95,55.0872022087
20,1.0,3,0.95,57.4413957197
20,1.0,3,0.95,60.1271067433
20,1.0,3,0.95,54.7623554059
20,1.0,3,0.975,55.7343193145
20,1.0,3,0.975,63.8586248533
20,1.0,3,0.975,57.1733401307
20,1.0,3,0.975,59.6829483376
20,1.0,3,0.975,53.4876083397
20,1.0,5,0.9,52.7918438329
20,1.0,5,0.9,58.8358474696
20,1.0,5,0.9,56.4411786368
20,1.0,5,0.9,53.180111169
20,1.0,5,0.9,55.4013819592
20,1.0,5,0.925,55.7019074373
20,1.0,5,0.925,54.7151584415
20,1.0,5,0.925,56.1408683423
20,1.0,5,0.925,60.4116090536
20,1.0,5,0.925,53.87424374
20,1.0,5,0.95,57.2747457638
20,1.0,5,0.95,53.2019125202
20,1.0,5,0.95,51.196387448
20,1.0,5,0.95,54.6538616698
20,1.0,5,0.95,62.7525713796
20,1.0,5,0.975,58.2827646244
20,1.0,5,0.975,56.3142506937
20,1.0,5,0.975,57.4465210773
20,1.0,5,0.975,53.5731428541
20,1.0,5,0.975,52.5773728466
20,1.0,7,0.9,54.6501659177
20,1.0,7,0.9,54.4641386664
20,1.0,7,0.9,53.5486711754
20,1.0,7,0.9,52.484596851
20,1.0,7,0.9,54.8373733649
20,1.0,7,0.925,57.2554599346
20,1.0,7,0.925,55.0266047128
20,1.0,7,0.925,52.8666018238
20,1.0,7,0.925,51.7055367107
20,1.0,7,0.925,54.422254473
20,1.0,7,0.95,54.6050066091
20,1.0,7,0.95,52.5016005883
20,1.0,7,0.95,54.9296422886
20,1.0,7,0.95,52.422070417
20,1.0,7,0.95,56.1954183185
20,1.0,7,0.975,58.2581055196
20,1.0,7,0.975,55.9168878764
20,1.0,7,0.975,53.5542803748
20,1.0,7,0.975,52.6575240705
20,1.0,7,0.975,54.1859464574
20,1.0,9,0.9,51.036915801
20,1.0,9,0.9,53.1119207696
20,1.0,9,0.9,52.0360790467
