Noise,Beta,Window,T,PSNR
1,0.5,3,0.25,99.9016502011
1,0.5,3,0.25,100.658107962
1,0.5,3,0.25,99.8064439409
1,0.5,3,0.25,100.056280219
1,0.5,3,0.25,100.437328427
1,0.5,3,0.5,100.93822721
1,0.5,3,0.5,101.592578037
1,0.5,3,0.5,101.786689879
1,0.5,3,0.5,100.640760642
1,0.5,3,0.5,100.291435124
1,0.5,3,0.75,99.2188427176
1,0.5,3,0.75,100.03408032
1,0.5,3,0.75,100.295290208
1,0.5,3,0.75,99.649789845
1,0.5,3,0.75,101.540543188
1,0.5,5,0.25,100.757685656
1,0.5,5,0.25,98.9208507723
1,0.5,5,0.25,98.3214692081
1,0.5,5,0.25,98.5043684782
1,0.5,5,0.25,99.311688786
1,0.5,5,0.5,98.4417393281
1,0.5,5,0.5,99.9741509603
1,0.5,5,0.5,100.086460748
1,0.5,5,0.5,98.5818146258
1,0.5,5,0.5,99.8827496934
1,0.5,5,0.75,99.7740522792
1,0.5,5,0.75,97.9523820565
1,0.5,5,0.75,98.8355119386
1,0.5,5,0.75,99.3276357326
1,0.5,5,0.75,99.3062981958
1,0.5,7,0.25,98.1289344866
1,0.5,7,0.25,99.0944936811
1,0.5,7,0.25,98.3125073259
1,0.5,7,0.25,99.4689681564
1,0.5,7,0.25,99.0492889572
1,0.5,7,0.5,99.2893904642
1,0.5,7,0.5,99.3865710005
1,0.5,7,0.5,99.4805180999
1,0.5,7,0.5,98.8497593653
1,0.5,7,0.5,99.2279696786
1,0.5,7,0.75,98.7862492418
1,0.5,7,0.75,99.0086509461
1,0.5,7,0.75,98.9266045166
1,0.5,7,0.75,99.7273889874
1,0.5,7,0.75,99.8989312795
1,0.5,9,0.25,98.4857841957
1,0.5,9,0.25,98.2662338869
1,0.5,9,0.25,98.5383870695
1,0.5,9,0.25,98.3914505239
1,0.5,9,0.25,98.5998353967
1,0.5,9,0.5,98.5102476123
1,0.5,9,0.5,97.7986148415
1,0.5,9,0.5,98.7358839318
1,0.5,9,0.5,99.0304302135
1,0.5,9,0.5,97.8819384029
1,0.5,9,0.75,98.6502508434
1,0.5,9,0.75,97.9908683599
1,0.5,9,0.75,98.4068636888
1,0.5,9,0.75,97.8061919816
1,0.5,9,0.75,99.3390481559
1,0.75,3,0.25,95.0783846608
1,0.75,3,0.25,94.9850410051
1,0.75,3,0.25,96.5350886463
1,0.75,3,0.25,96.0119826103
1,0.75,3,0.25,96.0535524051
1,0.75,3,0.5,96.4262193079
