Noise,Window,PSNR
1,3,67.2985108104
1,3,67.3034689423
1,3,67.4061007784
1,3,67.2450925238
1,3,67.3217702403
1,5,67.2293730043
1,5,67.2981803933
1,5,67.3175414714
1,5,67.2856884744
1,5,67.3595436191
1,7,67.2446438113
1,7,67.3108269392
1,7,67.3422905134
1,7,67.3044123261
1,7,67.3248606966
1,9,67.3633620653
1,9,67.2970725988
1,9,67.3235651055
1,9,67.423818326
1,9,67.3284217566
5,3,66.8669443787
5,3,66.0922626448
5,3,66.5342776992
5,3,66.7412316314
5,3,66.5951252527
5,5,66.7193449679
5,5,66.7125299131
5,5,66.8412386828
5,5,66.7998391774
5,5,66.4741873548
5,7,66.6565383295
5,7,67.038640071
5,7,66.6680653175
5,7,67.2518593832
5,7,66.4992361041
5,9,66.7154977062
5,9,66.6245999062
5,9,66.868135705
5,9,67.2015178429
5,9,67.0738868277
1,3,67.316574874
1,3,67.3462743768
1,3,67.4343897922
1,3,67.3168913554
1,3,67.283995099
1,5,67.3449540435
1,5,67.3289681438
1,5,67.3897531187
1,5,67.2906423158
1,5,67.3032181349
1,7,67.3079291849
1,7,67.3879422015
1,7,67.3409236371
1,7,67.5245516193
1,7,67.3882194725
1,9,67.3739963314
1,9,67.280825113
1,9,67.307564765
1,9,67.3468108618
1,9,67.3237626382
5,3,67.0472243403
5,3,66.8841458908
5,3,66.9274566917
5,3,66.5491064197
5,3,66.8074608437
5,5,66.3961995358
5,5,66.8790171077
5,5,66.9881769206
5,5,66.6487163995
5,5,66.4905929458
5,7,66.6635263433
5,7,66.6894693451
5,7,66.7061683233
5,7,66.5448690404
5,7,67.2113650241
5,9,66.9427834919
5,9,66.6811736924
5,9,66.8737204917
5,9,66.5943215222
5,9,67.0541090906
10,3,65.5029885398
10,3,64.7827315718
10,3,64.88062726
10,3,65.2711792449
10,3,64.5836810471
10,5,65.3125450192
10,5,64.7383053769
10,5,64.3611020289
10,5,66.2263926662
10,5,65.765925301
10,7,64.9795890172
10,7,65.0714968953
10,7,64.4897459976
10,7,64.2268372053
10,7,64.4801980038
10,9,64.866776745
10,9,65.102661301
10,9,65.6931098654
10,9,66.088716725
10,9,65.3177444829
20,3,61.3919224379
20,3,61.0653348591
20,3,60.2919021438
20,3,62.9532816181
20,3,60.5839182124
20,5,60.9655381986
20,5,60.7687356746
20,5,60.998044746
20,5,61.6386487983
20,5,60.5071873176
20,7,59.8198347561
20,7,61.2292769813
20,7,62.6250579436
20,7,60.0513992394
20,7,60.8017032764
20,9,62.6403035378
20,9,61.5641612906
20,9,59.5546012565
20,9,60.1930020508
20,9,62.0781991312
30,3,54.8748153297
30,3,53.8270934415
30,3,58.0605205505
30,3,56.6273662693
30,3,54.3393612119
30,5,58.2171617388
30,5,54.4929445395
30,5,59.7773704874
30,5,56.9768362785
30,5,58.1165298416
30,7,54.276927705
30,7,55.0942953893
30,7,56.4571994196
30,7,54.4070580852
30,7,55.7565520129
30,9,54.9810043158
30,9,56.1313415547
30,9,56.4353761193
30,9,57.6380695487
30,9,56.7925730918
1,3,67.3369479796
1,3,67.3368344893
1,3,67.2610442886
1,3,67.3183889558
1,3,67.3978533876
1,5,67.4187410213
1,5,67.2542721981
1,5,67.2489397656
1,5,67.2917199069
1,5,67.3057587644
1,7,67.3789047676
1,7,67.377267592
1,7,67.3366921596
1,7,67.3095805768
1,7,67.3076608827
1,9,67.2677520539
1,9,67.2753278497
1,9,67.3072509978
1,9,67.260464496
1,9,67.3024493668
5,3,67.1935544606
5,3,66.9043871224
5,3,66.6436307497
5,3,66.3097249929
5,3,66.5426211218
5,5,66.8360998775
5,5,66.4652827445
5,5,66.5646932317
5,5,66.3764669304
5,5,66.6799130157
5,7,66.3831552332
5,7,66.6261321463
5,7,66.6036182451
5,7,66.6913144551
5,7,66.9698162515
5,9,66.5420498944
5,9,66.7910761305
5,9,66.9433954815
5,9,66.3773483407
5,9,66.2895541807
10,3,66.289413315
10,3,65.3834792812
10,3,65.3963836058
10,3,66.4143169281
10,3,65.3984856238
10,5,65.5056325601
10,5,65.2056985396
10,5,64.5940079722
10,5,64.5502096692
10,5,66.1323027583
10,7,65.0924878552
10,7,66.0775601187
10,7,65.4161120164
10,7,64.6432131664
10,7,64.7536571543
10,9,64.397551733
10,9,64.3147380569
10,9,65.0204068013
10,9,65.470755316
10,9,65.059256139
20,3,60.1337465786
20,3,60.4169342354
20,3,60.5085973277
20,3,61.9261289194
20,3,58.8664143165
20,5,60.0590965507
20,5,59.7606032349
20,5,59.8200348864
20,5,61.3692119389
20,5,60.3799307112
20,7,60.8868481313
20,7,60.2869081435
20,7,59.9682181228
20,7,61.7697562402
20,7,58.8666905244
20,9,60.7256471907
20,9,60.1756574824
20,9,59.1741054449
20,9,61.3996452014
20,9,61.694494277
30,3,57.0854615915
30,3,58.5183212689
30,3,54.9866417336
30,3,58.9839766396
30,3,56.4358993525
30,5,55.4468571664
30,5,56.9619424776
30,5,57.8968439948
30,5,57.6468988928
30,5,55.9211032912
30,7,56.8715695841
30,7,55.9212624006
30,7,57.0597478173
30,7,57.2230461624
30,7,57.7563285028
30,9,56.81541447
30,9,55.9576260967
30,9,54.8078049736
30,9,54.9167973934
30,9,57.7691347266
1,1,67.3962919871
1,1,67.2820530325
1,1,67.3385667089
1,1,67.3272497039
1,1,67.366589075
1,1,67.3772829693
1,1,67.2841860209
1,1,67.3571248878
1,1,67.2798111652
1,1,67.3720855322
1,1,67.4813320586
1,1,67.3389286998
1,1,67.3468961645
1,1,67.353472139
1,1,67.2687768382
1,1,67.3348478578
1,1,67.2777065494
1,1,67.3105901468
1,1,67.2908149293
1,1,67.3570260377
1,1,67.2240690305
1,1,67.434279952
1,1,67.2893928775
1,1,67.3609636019
1,1,67.317175016
5,1,66.8669425765
5,1,66.8634856141
5,1,66.4211892672
5,1,66.7809197693
5,1,66.7436669825
5,1,66.9096071194
5,1,66.8025136845
5,1,66.7616329466
5,1,66.5323167429
5,1,66.7863304618
5,1,67.1970669098
5,1,66.5570134109
5,1,67.1505823378
5,1,66.9570517891
5,1,67.1549170382
5,1,67.0989829968
5,1,66.94969333
5,1,67.0308834804
5,1,66.8432025153
5,1,66.6728103378
5,1,66.7413886425
5,1,66.8455922067
5,1,66.7346078796
5,1,67.2671251922
5,1,66.7582412481
10,1,64.721047482
10,1,65.1250908937
10,1,65.5477548569
10,1,64.6831973874
10,1,64.9235313286
10,1,64.839486346
10,1,65.7809538289
10,1,64.9368558057
10,1,64.9221766077
10,1,64.5441594806
10,1,64.9192197149
10,1,65.3622639631
10,1,64.2668474686
10,1,64.9886718308
10,1,65.7849331401
10,1,64.7492799395
10,1,64.5803406489
10,1,65.2390839395
10,1,65.6307677265
10,1,64.6741228347
10,1,64.8105576125
10,1,64.5099172149
10,1,66.3121814218
10,1,64.7425572319
10,1,65.3478300848
20,1,62.7011676476
20,1,61.8897914918
20,1,59.7170946005
20,1,61.6335258142
20,1,61.1096568198
20,1,61.1687322513
20,1,59.9091202187
20,1,63.9834476585
20,1,61.285716669
20,1,60.5416030084
20,1,60.6726080964
20,1,61.1583432398
20,1,60.5665363885
20,1,63.1154238413
20,1,61.0320572723
20,1,61.6400019726
20,1,61.2548660995
20,1,57.7127328634
20,1,60.5383642016
20,1,61.320175493
20,1,60.829034457
20,1,61.3257757202
20,1,59.8615496176
20,1,59.8613624909
20,1,59.8511549214
30,1,54.6546022664
30,1,55.1655911258
30,1,57.686731335
30,1,56.3613562937
30,1,56.26614574
30,1,58.1617570661
30,1,55.54285985
30,1,54.1749098475
30,1,56.1809914018
30,1,57.8687446823
30,1,56.0580568603
30,1,55.2973893185
30,1,57.9533192109
30,1,56.4325696189
30,1,56.930709733
30,1,57.2489935112
30,1,54.2420739444
30,1,56.0577112829
30,1,55.5419208739
30,1,55.753546708
30,1,56.3586262648
30,1,55.1049603012
30,1,57.9481852409
30,1,54.2369583849
30,1,58.2741229071
