Noise,Window,PSNR
10,3,65.8716758286
10,3,66.1532475549
10,3,63.2369689737
10,3,67.2063834099
10,3,64.7471296014
10,5,66.6911769139
10,5,66.0969487241
10,5,67.9142861691
10,5,67.1259583907
10,5,64.3317652189
10,7,65.9948150083
10,7,67.1387493792
10,7,66.8428143558
10,7,65.3891511283
10,7,66.9190433413
10,9,65.265158591
10,9,67.8172591388
10,9,65.7114056188
10,9,66.5617229691
10,9,65.3285307478
20,3,58.6406942285
20,3,57.9602815935
20,3,57.3190592994
20,3,54.6760461094
20,3,56.5008811512
20,5,58.0103454852
20,5,61.8371572226
20,5,57.2791568374
20,5,57.0128191131
20,5,58.3195614141
20,7,57.1160126437
20,7,57.7061018346
20,7,58.4377737492
20,7,57.8677933687
20,7,58.5727101866
20,9,58.1334293626
20,9,58.3172596665
20,9,57.909101093
20,9,57.6341953268
20,9,58.5697475513
30,3,50.5104706976
30,3,48.2775356085
30,3,50.1961534823
30,3,50.7250390254
30,3,54.7063990475
30,5,50.2860475768
30,5,50.8520503417
30,5,50.935285491
30,5,52.4735139803
30,5,52.8609441245
30,7,52.0089510844
30,7,50.1570509604
30,7,53.2253427323
30,7,50.6681014355
30,7,51.3193523643
30,9,51.2302316943
30,9,52.606677061
30,9,51.0389918896
30,9,50.739032403
30,9,55.5753550454
1,3,72.0458091653
1,3,72.1202278626
1,3,72.211211421
1,3,72.1609567798
1,3,72.0989235099
1,5,72.1844277451
1,5,72.2605236287
1,5,72.0329938024
1,5,72.1366394058
1,5,72.12562463
1,7,72.1278512059
1,7,72.4052130733
1,7,72.1274431757
1,7,72.1492934248
1,7,72.1697276363
1,9,72.1533772605
1,9,72.1699896693
1,9,72.1637467531
1,9,72.0388704607
1,9,72.1211989489
5,3,70.3986531537
5,3,70.6851615599
5,3,70.5663899631
5,3,70.927256611
5,3,70.0430457886
5,5,70.8295268763
5,5,69.1066578146
5,5,70.5870370046
5,5,70.0176246259
5,5,70.5405717928
5,7,69.9760903735
5,7,70.6595295801
5,7,70.4116975674
5,7,69.8349125288
5,7,69.5934308558
5,9,69.9339523857
5,9,68.6965809099
5,9,69.31226452
5,9,71.4508948322
5,9,70.7881553677
1,3,72.1797133434
1,3,72.1567860836
1,3,72.1551852133
1,3,72.1429542115
1,3,72.1112650138
1,5,72.0762569095
1,5,72.319309994
1,5,72.186090775
1,5,72.0038887525
1,5,72.0112659785
1,7,72.1318450858
1,7,72.1427678685
1,7,72.1615249799
1,7,72.1518255037
1,7,72.1868810735
1,9,72.188927445
1,9,72.1873682726
1,9,72.2434043906
1,9,72.0914222482
1,9,72.0688949417
5,3,69.5390230144
5,3,70.8037143178
5,3,70.756009703
5,3,69.8523179142
5,3,69.837004248
5,5,70.2330524852
5,5,70.047936257
5,5,70.5350528118
5,5,70.982241046
5,5,70.8856056286
5,7,70.4831754322
5,7,70.372890259
5,7,69.2217688305
5,7,69.867418726
5,7,71.3843920983
5,9,70.5190215127
5,9,70.5407205019
5,9,69.6503925356
5,9,69.9163216795
5,9,70.3954468785
10,3,66.2093223509
10,3,65.0553466175
10,3,65.4593405552
10,3,65.063476994
10,3,65.6199189515
10,5,64.9489072437
10,5,65.0935698666
10,5,68.2571790999
10,5,66.4087364083
10,5,65.1416025764
10,7,65.2840137292
10,7,65.3124052096
10,7,66.2813144358
10,7,66.4362695987
10,7,64.8044510587
10,9,66.1590875634
10,9,66.0694724021
10,9,64.0231816735
10,9,67.0934149529
10,9,67.6135652897
20,3,56.4980373648
20,3,54.833068286
20,3,57.6799523734
20,3,58.1118758527
20,3,57.1431677173
20,5,59.103598084
20,5,55.7063041985
20,5,56.0534951778
20,5,54.6352621013
20,5,56.7670051381
20,7,58.8203056495
20,7,57.5356504071
20,7,57.0288074469
20,7,60.0085015932
20,7,56.2252861213
20,9,57.1158654002
20,9,58.6858445452
20,9,58.7245018731
20,9,57.8883733325
20,9,57.0759962193
30,3,50.6868168177
30,3,52.5898505456
30,3,48.3444791496
30,3,51.8772781714
30,3,48.1530294568
30,5,51.70349665
30,5,51.5922020627
30,5,51.856358493
30,5,51.1053731504
30,5,51.1621072421
30,7,48.0547268805
30,7,55.0733221204
30,7,53.1989494145
30,7,52.4825229548
30,7,52.1054176586
30,9,51.0335671573
30,9,51.5245319063
30,9,49.275929609
30,9,55.4210667536
30,9,53.5476762642
1,1,71.9696668032
1,1,72.1614600216
1,1,72.1439002671
1,1,72.0747441711
1,1,72.269003402
1,1,72.1392016212
1,1,72.151508548
1,1,72.2066295017
1,1,72.1834422986
1,1,72.1847033891
1,1,72.2126099638
1,1,72.0539094063
1,1,72.1864285406
1,1,72.3260439871
1,1,72.1545099567
1,1,72.1084189526
1,1,72.0942070905
1,1,72.269269394
1,1,72.2356948485
1,1,72.2082262047
1,1,72.1280688337
1,1,72.0500478086
1,1,72.1680001833
1,1,72.1888409046
1,1,72.0079021128
5,1,70.6278397948
5,1,70.5968338637
5,1,70.0960430946
5,1,70.800529378
5,1,69.7403688426
5,1,70.1133648647
5,1,70.2408210411
5,1,70.7549795786
5,1,71.1171091623
5,1,69.8715886215
5,1,69.4734452648
5,1,69.7130206212
5,1,70.1070632841
5,1,70.0261673471
5,1,70.2929182183
5,1,70.0382731445
5,1,71.7118201022
5,1,69.8953671097
5,1,70.9071333473
5,1,69.9215237026
5,1,70.483213437
5,1,70.0313620304
5,1,70.1698101205
5,1,70.2173398648
5,1,71.1271582156
10,1,66.7839139942
10,1,65.6433691014
10,1,68.1048095617
10,1,66.2394540397
10,1,67.3850668356
10,1,65.5969617409
10,1,66.3304283848
10,1,65.6020895738
10,1,67.1285888655
10,1,66.5609013859
10,1,66.407783047
10,1,66.7916082805
10,1,64.1925656586
10,1,65.6145161651
10,1,65.4178681707
10,1,66.7826343294
10,1,65.13549772
10,1,62.0909505757
10,1,66.7424544667
10,1,66.3143468122
10,1,66.9236552895
10,1,66.2191066846
10,1,66.6446542937
10,1,64.3158168391
10,1,65.3989926442
20,1,58.5362649519
20,1,60.0297663097
20,1,60.102997348
20,1,56.3331130673
20,1,57.8235974983
20,1,55.7863490661
20,1,56.8196796635
20,1,54.9295721385
20,1,57.7057371401
20,1,56.9572442392
20,1,59.9390080684
20,1,58.9869196222
20,1,57.5591196412
20,1,56.8703453057
20,1,57.2965412138
20,1,56.3368175885
20,1,56.4540144739
20,1,57.8726952697
20,1,57.0509020373
20,1,57.3400172997
20,1,58.019847545
20,1,60.6144767631
20,1,61.2425089985
20,1,58.213884609
20,1,56.5510697101
30,1,51.463446021
30,1,50.6530361039
30,1,54.2949087813
30,1,50.7475977535
30,1,50.1831655014
30,1,52.4859006396
30,1,48.8994154343
30,1,52.6826898647
30,1,50.4746113538
30,1,51.2283070427
30,1,50.42177067
30,1,50.8018112267
30,1,54.8724467496
30,1,52.7405290733
30,1,56.1724696547
30,1,51.330737507
30,1,52.1395207783
30,1,54.0337578487
